32	1	2	4	30	31	1003	2000	2001	3002	4004
"[NaN, ""Didius Julianus"", ""Didius Julianus"", NaN, ""Didius Julianus"", ""Didius Julianus"", ""Didius Julianus"", NaN]"				"[""Won auction held by the Praetorian Guard for the position of emperor"", ""Won auction held by the Praetorian Guard for the position of emperor"", NaN]"	"[""193 AD - 193 AD"", NaN, ""193 AD - 193 AD"", ""193 A.D."", NaN, 193]"	"[""Marcus Didius Julianus"", NaN]"	133 or 137 AD - 193 AD	Executed on orders of the Senate	Emperor	
"[""Tacitus"", ""Tacitus"", NaN, NaN, ""Tacitus"", ""Tacitus"", NaN]"				"[""Elected by the Senate to replace Aurelian, after a short interregnum"", ""Elected by the Senate to replace Aurelian, after a short interregnum"", NaN]"	"[""275 AD - 276 AD"", NaN, ""275 AD - 276 AD"", ""275 - 276 A.D."", NaN, NaN]"	[NaN, NaN]	? - 276 AD	Natural causes (possibly assassinated)	Emperor	
"[""Florianus"", ""Florianus"", NaN, NaN, ""Florianus"", ""Florianus"", NaN]"				"[""Possibly half-brother of Tacitus, elected by the army in the west to replace him"", ""Possibly half-brother of Tacitus, elected by the army in the west to replace him"", NaN]"	"[""AD - 276 AD"", NaN, ""AD - 276 AD"", ""276 A.D."", NaN, NaN]"	[NaN, NaN]	? - 276 AD	Assassinated by his own troops, in favour of Probus	Emperor	
"[""Probus"", ""Probus"", NaN, NaN, ""Probus"", ""Probus"", NaN]"				"[""Governor of the eastern provinces, proclaimed emperor by Danubian legions in opposition to Florianus"", ""Governor of the eastern provinces, proclaimed emperor by Danubian legions in opposition to Florianus"", NaN]"	"[""276 AD - r 282 AD"", NaN, ""276 AD - r 282 AD"", ""276 - 282 A.D."", NaN, NaN]"	[NaN, NaN]	232 AD - 282 AD	Assassinated by his own troops, in favour of Carus	Emperor	
"[""Carinus"", ""Carinus"", NaN, NaN, ""Carinus"", ""Carinus"", NaN]"				"[""Son of Carus, succeeded him jointly with his brother Numerian"", ""Son of Carus, succeeded him jointly with his brother Numerian"", NaN]"	"[""283 AD - 285 AD"", NaN, ""283 AD - 285 AD"", ""283 - 285 A.D."", NaN, NaN]"	[NaN, NaN]	? - 285 AD	Died in battle against Diocletian?	Emperor	
"[""Marcian"", ""Marcian"", ""Marcian"", NaN, NaN, ""Marcian"", ""Marcian"", ""Marcian""]"				"[""Nominated as successor (and husband) by Pulcheria, sister of Theodosius II"", NaN, ""Nominated as successor (and husband) by Pulcheria, sister of Theodosius II"", NaN]"	"[""450 AD - 457 AD"", NaN, ""450 AD - 457 AD"", ""450 - 457 A.D."", ""450-7"", NaN]"	[NaN, NaN]	396 AD - 457 AD	Natural causes	Emperor	
"[""Valens"", ""Valens"", NaN, NaN, ""Valens"", ""Valens"", NaN]"				"[""Brother of Valentinian I, appointed co-augustus (for the east) by him"", ""Brother of Valentinian I, appointed co-augustus (for the east) by him"", NaN]"	"[""364 AD - 378 AD"", NaN, ""364 AD - 378 AD"", ""364 - 378 A.D."", NaN, NaN]"	[NaN, NaN]	328 AD	August 9, 378 AD Killed in Battle of Adrianople against the Goths	Emperor	
"[""Diocletian"", ""Diocletian"", NaN, NaN, ""Diocletian"", ""Diocletian"", NaN]"				"[""Proclaimed emperor by army after death of Numerian, and in opposition to Carinus, adopted Maximian as senior co-emperor in 286 AD"", ""Proclaimed emperor by army after death of Numerian, and in opposition to Carinus, adopted Maximian as senior co-emperor in 286 AD"", NaN]"	"[""284 AD - 305 AD"", NaN, ""284 AD - 305 AD"", ""284 - 305 A.D."", NaN, NaN]"	[NaN, NaN]	244 AD - 311 AD	Abdicated, died of natural causes	Emperor	
"[""Maximian"", ""Maximianus"", NaN, NaN, ""Maximian"", ""Maximianus"", NaN]"				"[""Adopted as senior co-emperor ('Augustus') in the west by Diocletian in 286 AD"", ""Adopted as senior co-emperor ('Augustus') in the west by Diocletian in 286 AD"", NaN]"	"[""286 AD - 305 AD"", NaN, ""286 AD - 305 AD"", ""286 - 305 + 306 - 308 A.D."", NaN, NaN]"	[NaN, NaN]	c. 250 AD - 310 AD	Abdicated with Diocletian, twice tried to regain throne with, and then from Maxentius, captured by Constantine I and committed suicide at his behest	Emperor	
"[""Aurelian"", ""Aurelianus"", NaN, NaN, ""Aurelian"", ""Aurelianus"", NaN]"				"[""Proclaimed emperor by Danubian legions after Claudius Gothicus's death, in opposition to Quintillus"", ""Proclaimed emperor by Danubian legions after Claudius Gothicus's death, in opposition to Quintillus"", NaN]"	"[""(?) 270 AD - 275 AD"", NaN, ""(?) 270 AD - 275 AD"", ""270 - 275 A.D."", NaN, NaN]"	[NaN, NaN]	214 AD/215 AD - 275 AD	Assassinated by Praetorian Guard	Emperor	
"[""Carus"", ""Carus"", NaN, NaN, ""Carus"", ""Carus"", NaN]"				"[""Praetorian Prefect to Probus, seized power either before or after Probus was murdered"", ""Praetorian Prefect to Probus, seized power either before or after Probus was murdered"", NaN]"	"[""282 AD - 283 AD"", NaN, ""282 AD - 283 AD"", ""282 - 283 A.D."", NaN, NaN]"	[NaN, NaN]	c. 230 AD - 283 AD	Natural causes? (Possibly killed by lightning)	Emperor	
"[""Numerian"", ""Numerianus"", NaN, NaN, ""Numerian"", ""Numerianus"", NaN]"				"[""Son of Carus, succeeded him jointly with his brother Carinus"", ""Son of Carus, succeeded him jointly with his brother Carinus"", NaN]"	"[""283 AD - 284 AD?"", NaN, ""283 AD - 284 AD?"", ""283 - 284 A.D."", NaN, NaN]"	[NaN, NaN]	? - 284 AD	Unclear, possibly assassinated	Emperor	
"[""Theodosius II"", ""Theodosius II"", ""Theodosius II"", ""Theodosius II"", NaN, NaN, ""Theodosius II"", ""Theodosius II"", ""Theodosius II"", ""Theodosius II""]"				"[NaN, ""Son of Arcadius"", ""Son of Arcadius, succeeded to the throne after his father's death"", ""Son of Arcadius, succeeded to the throne after his father's death"", NaN, ""Son of Arcadius""]"	"[""408 AD - 450 AD"", NaN, ""408 AD - 450 AD"", ""402 - 450 A.D."", ""716-7 abd"", ""408-50"", NaN]"	[NaN, NaN, NaN]	401 AD - 450 AD	Natural causes	Emperor	"[NaN, ""Eudoxia""]"
"[""Honorius"", ""Honorius"", NaN, NaN, ""Honorius"", ""Honorius"", NaN]"				"[""Son of Theodosius I, appointed as 'junior' Augustus for the west by Theodosius in 393 (after the death of Valentinian II), became 'senior' Augustus for the west after his father's death"", ""Son of Theodosius I, appointed as 'junior' Augustus for the west by Theodosius in 393 (after the death of Valentinian II), became 'senior' Augustus for the west after his father's death"", NaN]"	"[""393 AD - 423 AD"", NaN, ""393 AD - 423 AD"", ""395 - 423 A.D."", NaN, NaN]"	[NaN, NaN]	384 AD - 423 AD	Natural causes	Emperor	
"[""Theodosius I"", ""Theodosius I (The Great)"", NaN, NaN, ""Theodosius I"", ""Theodosius I (The Great)"", NaN]"				"[""Appointed as Augustus for the east by Gratian after the death of Valens, became sole 'senior' Augustus after death of Valentinian II"", ""Appointed as Augustus for the east by Gratian after the death of Valens, became sole 'senior' Augustus after death of Valentinian II"", NaN]"	"[""379 AD - 395 AD"", NaN, ""379 AD - 395 AD"", ""379 - 395 A.D."", NaN, NaN]"	[NaN, NaN]	347 AD	January 17, 395 AD Natural causes	Emperor	
"[""Arcadius"", ""Arcadius"", ""Arcadius"", NaN, NaN, ""Arcadius"", ""Arcadius"", ""Arcadius""]"				"[""Son of Theodosius I, appointed as 'junior' Augustus for the east by Theodosius in 383 (after the death of Gratian), became 'senior' Augustus for the east after his father's death"", ""Son of Theodosius the Great"", ""Son of Theodosius I, appointed as 'junior' Augustus for the east by Theodosius in 383 (after the death of Gratian), became 'senior' Augustus for the east after his father's death"", ""Son of Theodosius the Great""]"	"[""383 AD - 408 AD"", NaN, ""383 AD - 408 AD"", ""395 - 408 A.D."", ""395-408"", NaN]"	[NaN, NaN]	c. 377 AD - 408 AD	Natural causes	Emperor	
"[""Gratian"", ""Gratian"", NaN, NaN, ""Gratian"", ""Gratian"", NaN]"				"[""Son of Valentinian I, appointed 'junior' Augustus by him in 367, became 'senior' augustus (for the west) after Valentinian's death."", ""Son of Valentinian I, appointed 'junior' Augustus by him in 367, became 'senior' augustus (for the west) after Valentinian's death."", NaN]"	"[""367 AD - 383 AD"", NaN, ""367 AD - 383 AD"", ""367 - 383 A.D."", NaN, NaN]"	[NaN, NaN]	359 AD	August 25, 383 AD Murdered by rebellious army faction	Emperor	
"[""Jovian"", ""Jovian"", NaN, NaN, ""Jovian"", ""Jovian"", NaN]"				"[""General of Julian's army, proclaimed emperor by the troops on Julian's death"", ""General of Julian's army, proclaimed emperor by the troops on Julian's death"", NaN]"	"[""363 AD - 364 AD"", NaN, ""363 AD - 364 AD"", ""363 - 364 A.D."", NaN, NaN]"	[NaN, NaN]	331 AD	February 17, 364 AD Natural causes (Suffocated on fumes)	Emperor	
"[""Severus Alexander"", ""Alexander Severus"", ""Severus Alexander"", ""Severus Alexander"", NaN, ""Alexander Severus"", ""Severus Alexander"", NaN]"	0,6154	7+1	13.0	"[""Grandson of Septimius Severus's sister-in-law, cousin and adoptive heir of Elagabalus"", ""Grandson of Septimius Severus's sister-in-law, cousin and adoptive heir of Elagabalus"", NaN]"	"[""222 AD - 235 AD"", ""222-235"", ""222-235"", ""222 AD - 235 AD"", ""222 - 235 A.D."", NaN, NaN]"	[NaN, NaN]	08 AD - 235 AD	Murdered by the army	Emperor	
"[""Elagabalus"", ""Elagabalus"", ""Elagabalus"", ""Elagabalus"", NaN, ""Elagabalus"", ""Elagabalus"", NaN]"	1,2500	1+4	4.0	"[""Grandson of Septimius Severus's sister-in-law, alleged illegitimate son of Caracalla, proclaimed emperor by Syrian legions"", ""Grandson of Septimius Severus's sister-in-law, alleged illegitimate son of Caracalla, proclaimed emperor by Syrian legions"", NaN]"	"[""218 AD - 222 AD"", ""218-222"", ""218-222"", ""218 AD - 222 AD"", ""218 - 222 A.D."", NaN, NaN]"	[NaN, NaN]	c. 203 AD - 222 AD	Murdered by Praetorian Guard	Emperor	
"[""Maximinus I"", ""Maximinus Thrax"", NaN, NaN, ""Maximinus Thrax"", ""Maximinus I"", NaN]"				"[""Proclaimed emperor by German legions after the murder of Alexander Severus"", ""Proclaimed emperor by German legions after the murder of Alexander Severus"", NaN]"	"[""235 AD - 238 AD"", NaN, ""235 AD - 238 AD"", ""235 - 238 A.D."", NaN, NaN]"	[NaN, NaN]	c.173 AD - 238 AD	Assassinated by Praetorian Guard	Emperor	
"[""Gordianus II - Africanus"", ""Gordian II"", NaN, NaN, ""Gordian II"", ""Gordianus II - Africanus"", NaN]"				"[""Proclaimed emperor, alongside father Gordian I, in opposition to Maximinus. Technically a usurper, but retrospectively legitimised by the accession of Gordian III"", ""Proclaimed emperor, alongside father Gordian I, in opposition to Maximinus. Technically a usurper, but retrospectively legitimised by the accession of Gordian III"", NaN]"	"[""238 AD - 238 AD"", NaN, ""238 AD - 238 AD"", ""238 A.D."", NaN, NaN]"	[NaN, NaN]	c.192 AD, ? - 238 AD	Killed during the Battle of Carthage, fighting a pro-Maximinus army	Emperor	
"[""Philip I - The Arab"", ""Philippus"", ""Philip the Arab"", ""Philippus"", NaN, ""Philip the Arab"", ""Philip I - The Arab"", NaN]"	0,4000	2	5.0	"[""Praetorian Prefect to Gordian III, took power after his death"", ""Praetorian Prefect to Gordian III, took power after his death"", NaN]"	"[""244-249"", ""244 AD - 249 AD"", ""244-249"", ""244 AD - 249 AD"", ""244 - 249 A.D."", NaN, NaN]"	[NaN, NaN]	c. 204 AD - 249 AD	Killed in battle against Decius, near Verona	Emperor	
"[""Justin II"", ""Justin II"", NaN, NaN, ""Justin II"", NaN, ""Justin II""]"				"[""Nephew of Justinian II"", ""Nephew of Justinian I"", ""Nephew of Justinian I"", ""Nephew of Justinian II""]"	"[""565 AD - 578 AD"", NaN, ""565 AD - 578 AD"", NaN, -578, NaN]"	[NaN, NaN]	c. 520 AD - 578 AD	Became insane, Tiberius II Constantine ruled as regent from December 574 and became emperor on Justin's death in 578		Sophia, neice of Theodora
"[""Romulus Augustus"", ""Romulus Augustus"", NaN, NaN, ""Romulus Augustus"", ""Romulus Augustus"", NaN]"				"[""Appointed by his father, Flavius Orestes"", ""Appointed by his father, Flavius Orestes"", NaN]"	"[""475 AD - 476 AD"", NaN, ""475 AD - 476 AD"", ""475 - 476 A.D."", NaN, NaN]"	[NaN, NaN]	? - 480 AD	Deposed by Odoacer, who then ruled in the name of Julius Nepos until the latter's death, which formally ended the western empire, most likely lived out his life on a private villa in obscurity	Emperor	
"[""Antoninus Pius"", ""Antoninus Pius"", NaN, ""Antoninus Pius"", ""Antoninus Pius"", ""Didius Julianus"", ""Antoninus Pius"", ""Antoninus Pius"", NaN]"	0,4348	7+3	23.0	"[""Adopted son and heir of Hadrian"", ""Adopted son and heir of Hadrian"", NaN]"	"[""138-161"", ""138 AD - 161 AD"", ""138-161"", ""138 AD - 161 AD"", ""138 - 161 A.D."", NaN, 193]"	"[""Marcus Didius Julianus"", NaN]"	86 AD - 161 AD	Natural causes	Emperor	
"[""Septimius Severus"", ""Septimius Severus"", ""Septimius Severus"", ""Septimius Severus"", NaN, ""Septimius Severus"", ""Septimius Severus"", NaN]"	0,2222	4	18.0	"[""Seized power with support of Pannonian legionsa"", ""Seized power with support of Pannonian legionsa"", NaN]"	"[""193 AD - 211 AD"", ""193-211"", ""193-211"", ""193 AD - 211 AD"", ""193 - 211 A.D."", NaN, NaN]"	[NaN, NaN]	145 AD - 211 AD	Natural causes	Emperor	
"[""Geta"", ""Geta"", NaN, NaN, ""Geta"", ""Geta"", NaN]"				"[""Son of Septimius Severus, co-emperor with Severus and Caracalla from 209 AD until February 211 AD, co-emperor with Caracalla until December 211 AD"", ""Son of Septimius Severus, co-emperor with Severus and Caracalla from 209 AD until February 211 AD, co-emperor with Caracalla until December 211 AD"", NaN]"	"[""209 AD - 211 AD"", NaN, ""209 AD - 211 AD"", ""211 - 212 A.D."", NaN, NaN]"	[NaN, NaN]	189 AD - 211 AD	Murdered on the orders of Caracalla	Emperor	
"[""Macrinus with Diadumenian"", ""Macrinus"", NaN, NaN, ""Macrinus with Diadumenian"", ""Macrinus"", NaN]"				"[""Praetorian Prefect to Caracalla, probably conspired to have Caracalla murdered and proclaimed himself emperor after Caracalla's death, appointed his son Diadumenian junior emperor in May 217"", ""Praetorian Prefect to Caracalla, probably conspired to have Caracalla murdered and proclaimed himself emperor after Caracalla's death, appointed his son Diadumenian junior emperor in May 217"", NaN]"	"[""217 AD - 218 AD"", NaN, ""217 AD - 218 AD"", ""217 - 218 A.D."", NaN, NaN]"	[NaN, NaN]	c. 165 AD - 218 AD	Both executed in favour of Elagabalus	Emperor	
"[""Caracalla"", ""Caracalla"", ""Caracalla"", ""Caracalla"", NaN, ""Caracalla"", ""Caracalla"", NaN]"	0,1667	1	6.0	"[""Son of Septimius Severus, co-emperor with Severus from 198 AD, with Severus and Geta from 209 AD until February 211 AD, co-emperor with Geta until December 211 AD"", ""Son of Septimius Severus, co-emperor with Severus from 198 AD, with Severus and Geta from 209 AD until February 211 AD, co-emperor with Geta until December 211 AD"", NaN]"	"[""198 AD - 217 AD"", ""211-217"", ""211-217"", ""198 AD - 217 AD"", ""211 - 217 A.D."", NaN, NaN]"	[NaN, NaN]	188 AD - 217 AD	Murdered by a soldier, probably as part of a conspiracy involving Macrinus	Emperor	
"[""Gordian I"", ""Gordianus I - Africanus"", NaN, NaN, ""Gordian I"", ""Gordianus I - Africanus"", NaN]"				"[""Proclaimed emperor, whilst Pro-consul in Africa, during a revolt against Maximinus. Ruled jointly with his son Gordian II, and in opposition to Maximinus. Technically a usurper, but retrospectively legitimised by the accession of Gordian III"", ""Proclaimed emperor, whilst Pro-consul in Africa, during a revolt against Maximinus. Ruled jointly with his son Gordian II, and in opposition to Maximinus. Technically a usurper, but retrospectively legitimised by the accession of Gordian III"", NaN]"	"[""238 AD - 238 AD"", NaN, ""238 AD - 238 AD"", ""238 A.D."", NaN, NaN]"	[NaN, NaN]	c.159 AD - 238 AD	Committed suicide upon hearing of the death of Gordian II.	Emperor	
"[""Justin I"", ""Justin I"", ""Justin I"", NaN, NaN, ""Justin I"", ""Justin I"", ""Justin I""]"				"[""Commander of the palace guard under Anastasius I), elected as emperor with support of army"", NaN, ""Commander of the palace guard under Anastasius I), elected as emperor with support of army"", NaN]"	"[""518 AD - 527 AD"", NaN, ""518 AD - 527 AD"", ""518 - 527 A.D."", ""518-27"", NaN]"	[NaN, NaN]	c. 450 AD - 527 AD	Natural causes	Emperor	
"[""Justinian"", ""Justinian I"", ""Justinian I"", NaN, NaN, ""Justinian I"", ""Justinian"", ""Justinian I""]"				"[""Nephew and nominated heir of Justin I"", ""Nephew of Justin"", ""Nephew and nominated heir of Justin I"", ""Nephew of Justin""]"	"[""527 AD - 565 AD"", NaN, ""527 AD - 565 AD"", ""527 - 565 A.D."", ""527-65"", NaN]"	"[NaN, ""Flavius Petrus Sabbatius Justinianus""]"	c. 482 AD - 565 AD	Natural causes	Emperor	Theodora
"[""Johannes"", ""Joannes"", NaN, NaN, ""Joannes"", ""Johannes"", NaN]"				"[""A senior civil servant under Honorius, proclaimed emperor by Castinus, initially undisputed"", ""A senior civil servant under Honorius, proclaimed emperor by Castinus, initially undisputed"", NaN]"	"[""423 AD - 425 AD"", NaN, ""423 AD - 425 AD"", ""423 - 425 A.D."", NaN, NaN]"	[NaN, NaN]	? - 425 AD	Deafeated in battle by Theodosius II and Valentinian III, captured and executed	Usurper	
"[""Constantius III"", ""Consantius III"", NaN, NaN, ""Consantius III"", ""Constantius III"", NaN]"				"[""Married to Theodosius I's daughter Galla Placidia, elevated to co-Augustus for the west by Honorius"", ""Married to Theodosius I's daughter Galla Placidia, elevated to co-Augustus for the west by Honorius"", NaN]"	"[""421 AD - , 421 AD"", NaN, ""421 AD - , 421 AD"", ""411 A.D."", NaN, NaN]"	[NaN, NaN]	? - 421 AD	Natural causes	Emperor	
"[""Vespasian"", ""Vespasian"", NaN, NaN, ""Vespasian"", ""Vespasian"", NaN]"				"[""Seized power with the support of the eastern Legions (in opposition to Vitellius)"", ""Seized power with the support of the eastern Legions (in opposition to Vitellius)"", NaN]"	"[""69 AD - 79 AD"", NaN, ""69 AD - 79 AD"", ""69 - 79 A.D."", NaN, NaN]"	[NaN, NaN]	9 AD - 79 AD	Natural causes	Emperor	
"[""Nero"", ""Nero"", NaN, NaN, ""Nero"", ""Nero"", NaN]"				"[""Grandson of Germanicus, step and adopted son of Claudius."", ""Grandson of Germanicus, step and adopted son of Claudius."", NaN]"	"[""54 AD - 68 AD"", NaN, ""54 AD - 68 AD"", ""54 - 68 A.D."", NaN, NaN]"	[NaN, NaN]	37 AD - 68 AD	Committed suicide after being declared a public enemy by the Senate.	Emperor	
"[""Tiberius"", ""Tiberius"", NaN, NaN, ""Tiberius"", ""Tiberius"", NaN]"				"[""Son of Augustus's wife Liia by a previous marriage, adopted son of Augustus."", ""Son of Augustus's wife Liia by a previous marriage, adopted son of Augustus."", NaN]"	"[""14 AD - 37 AD"", NaN, ""14 AD - 37 AD"", ""14 - 37 A.D."", NaN, NaN]"	[NaN, NaN]	42 BC - 37AD	Probably old age, possibly assassinated	Emperor	
"[""Maxentius"", ""Maxentius"", NaN, NaN, ""Maxentius"", ""Maxentius"", NaN]"				"[""Son of Maximian, seized power in 306 after death of Constantius Chlorus, in opposition to Severus and Constantine I, made Caesar (west) by Maximian in 307 AD after the death of Severus"", ""Son of Maximian, seized power in 306 after death of Constantius Chlorus, in opposition to Severus and Constantine I, made Caesar (west) by Maximian in 307 AD after the death of Severus"", NaN]"	"[""306 AD - 312 AD"", NaN, ""306 AD - 312 AD"", ""306 - 312 A.D."", NaN, NaN]"	[NaN, NaN]	c. 278 AD	312 AD Died at the Battle of the Milvian Bridge, against Constantine I	Emperor	
"[""Valerian I"", ""Valerian"", NaN, NaN, ""Valerian"", ""Valerian I"", NaN]"				"[""Governor of Noricum and Raetia, proclaimed emperor by Rhine legions after death of Gallus, accepted as emperor after death of Aemilianus"", ""Governor of Noricum and Raetia, proclaimed emperor by Rhine legions after death of Gallus, accepted as emperor after death of Aemilianus"", NaN]"	"[""253 AD - 260 AD"", NaN, ""253 AD - 260 AD"", ""253 - 260 A.D."", NaN, NaN]"	[NaN, NaN]	c. 200 AD - 260 AD	Captured in Battle of Edessa against Persians, died in captivity	Emperor	
"[""Trajan Decius"", ""Decius"", ""Decius with Herennius Etruscus"", ""Decius"", NaN, ""Decius with Herennius Etruscus"", ""Trajan Decius"", NaN]"	1,5000	1+2	2.0	"[""Governor under Philip the Arab, proclaimed emperor by Danubian legions and defeated Philip in battle, made his son Herennius Etruscus co-emperor in early 251 AD"", ""Governor under Philip the Arab, proclaimed emperor by Danubian legions and defeated Philip in battle, made his son Herennius Etruscus co-emperor in early 251 AD"", NaN]"	"[""249-251"", ""249 AD - 251 AD"", ""249-251"", ""249 AD - 251 AD"", ""249 - 251 A.D."", NaN, NaN]"	[NaN, NaN]	c. 201 AD - 251 AD	Both killed in the Battle of Abrittus fighting against the Goths	Emperor	
"[""Gallienus"", ""Gallienus"", NaN, NaN, ""Gallienus"", ""Gallienus"", NaN]"				"[""Son of Valerian, made co-emperor in 253 AD"", ""Son of Valerian, made co-emperor in 253 AD"", NaN]"	"[""253 AD - 268 AD"", NaN, ""253 AD - 268 AD"", ""253 - 268 A.D."", NaN, NaN]"	[NaN, NaN]	? - 268 AD	Murdered in unclear circumstances	Emperor	
"[""Galba"", ""Galba"", NaN, NaN, ""Galba"", ""Galba"", NaN]"				"[""Seized power after Nero's suicide, with support of the Spanish legions"", ""Seized power after Nero's suicide, with support of the Spanish legions"", NaN]"	"[""68 AD - 69 AD"", NaN, ""68 AD - 69 AD"", ""68 - 69 A.D."", NaN, NaN]"	[NaN, NaN]	3 BC - 69 AD	Murdered by Praetorian Guard	Emperor	
"[""Otho"", ""Otho"", NaN, NaN, ""Otho"", ""Otho"", NaN]"				"[""Appointed by Praetorian Guard"", ""Appointed by Praetorian Guard"", NaN]"	"[""69 AD - 69 AD"", NaN, ""69 AD - 69 AD"", ""69 A.D."", NaN, NaN]"	[NaN, NaN]	32 AD - 69 AD	Committed suicide after losing Battle of Bedriacum to Vitellius	Emperor	
"[""Valentinian I"", ""Valentinian I"", NaN, NaN, ""Valentinian I"", ""Valentinian I"", NaN]"				"[""Elected to replace Jovian by the army"", ""Elected to replace Jovian by the army"", NaN]"	"[""364 AD - 375 AD"", NaN, ""364 AD - 375 AD"", ""364 - 375 A.D."", NaN, NaN]"	[NaN, NaN]	321 AD	November 17, 375 AD Natural causes	Emperor	
