born - died	cause of death	coin	emperor	nocoins	reign	reign as emperor	succession	years
225 ad - 244 ad	"unknown	 possibly murdered on orders of philip the arab"	1,3333	gordian iii	8	238-244	238 ad - 244 ad	"proclaimed emperor by supporters of gordian i & ii, then by the senate	 joint-emperor with pupienus and balbinus until july 238 ad."	6.0
			gordianus i - africanus					
37 ad - 68 ad	committed suicide after being declared a public enemy by the senate.		nero			54 ad - 68 ad	grandson of germanicus, step and adopted son of claudius.	
			maximinus					
			trebonianus gallus					
c. 250 ad - 325 ad	"defeated in civil war against constantine i in 324 ad and captured	 executed on the orders of constantine the next year"		licinius with valerius valens martinianus			308 ad - 324 ad	"appointed augustus in the west by galerius in 308 bc, in opposition to maxentius	 became augustus in the east in 311 ad after the death of galerius (shared with maximinus)	 defeated maximinus in civil war to become sole eastern augustus in 313 bc	 appointed valerius valens in 317 ad, and martinianus in 324 ad as western augustus, in opposition to constantine, both nominally ruled for a few months before being executed"	
384 ad - 423 ad	natural causes		honorius			393 ad - 423 ad	"son of theodosius i	 appointed as 'junior' augustus for the west by theodosius in 393 (after the death of valentinian ii)	 became 'senior' augustus for the west after his father's death"	
? - 284 ad	"unclear	 possibly assassinated"		numerian			283 ad - 284 ad?	son of carus, succeeded him jointly with his brother carinus	
86 ad - 161 ad	natural causes	0,4348	antoninus pius	7+3	138-161	138 ad - 161 ad	adopted son and heir of hadrian	23.0
347 ad	january 17, 395 ad natural causes		theodosius i			379 ad - 395 ad	"appointed as augustus for the east by gratian after the death of valens	 became sole 'senior' augustus after death of valentinian ii"	
396 ad - 457 ad	natural causes		marcian			450 ad - 457 ad	nominated as successor (and husband) by pulcheria, sister of theodosius ii	
? - 268 ad	murdered in unclear circumstances		gallienus			253 ad - 268 ad	son of valerian, made co-emperor in 253 ad	
145 ad - 211 ad	natural causes	0,2222	septimius severus	4	193-211	193 ad - 211 ad	seized power with support of pannonian legionsa	18.0
? - 421 ad	natural causes		consantius iii			421 ad - , 421 ad	married to theodosius i's daughter galla placidia, elevated to co-augustus for the west by honorius	
188 ad - 217 ad	"murdered by a soldier	 probably as part of a conspiracy involving macrinus"	0,1667	caracalla	1	211-217	198 ad - 217 ad	"son of septimius severus	 co-emperor with severus from 198 ad	 with severus and geta from 209 ad until february 211 ad	 co-emperor with geta until december 211 ad"	6.0
? - 425 ad	deafeated in battle by theodosius ii and valentinian iii, captured and executed		joannes			423 ad - 425 ad	"a senior civil servant under honorius, proclaimed emperor by castinus	 initially undisputed"	
c. 272 ad - 337 ad	natural causes		constantine i			306 ad - 337 ad	"son of constantius chlorus, proclaimed emperor by his father's troops	 accepted as caesar (west) by galerius in 306 ad	 promoted to augustus (west) in 307 ad by maximian after death of severus	 refused relegation to caesar in 309 ad"	
			augustus (octavian)					
12 ad - 41 ad	assassinated in a conspiracy involving senators and praetorian guards.		caligula			37 ad - 41 ad	son of tiberius's nephew germanicus.	
232 ad - 282 ad	assassinated by his own troops, in favour of carus		probus			276 ad - r 282 ad	governor of the eastern provinces, proclaimed emperor by danubian legions in opposition to florianus	
c. 520 ad - 578 ad	"became insane	 tiberius ii constantine ruled as regent from december 574 and became emperor on justin's death in 578"		justin ii			565 ad - 578 ad	nephew of justinian i	
331 ad	february 17, 364 ad natural causes (suffocated on fumes)		jovian			363 ad - 364 ad	"general of julian's army	 proclaimed emperor by the troops on julian's death"	
42 bc - 37ad	probably old age, possibly assassinated		tiberius			14 ad - 37 ad	"son of augustus's wife liia by a previous marriage	 adopted son of augustus."	
c. 201 ad - 251 ad	both killed in the battle of abrittus fighting against the goths		decius with herennius etruscus			249 ad - 251 ad	"governor under philip the arab	 proclaimed emperor by danubian legions and defeated philip in battle	 made his son herennius etruscus co-emperor in early 251 ad"	
? - 285 ad	died in battle against diocletian?		carinus			283 ad - 285 ad	son of carus, succeeded him jointly with his brother numerian	
401 ad - 474 ad	natural causes		leo i			457 ad - 474 ad	proclaimed emperor by the magister militum aspar after marcian's death	
c. 203 ad - 222 ad	murdered by praetorian guard	1,2500	elagabalus	1+4	218-222	218 ad - 222 ad	"grandson of septimius severus's sister-in-law, alleged illegitimate son of caracalla	 proclaimed emperor by syrian legions"	4.0
c. 200 ad - 260 ad	captured in battle of edessa against persians, died in captivity		valerian			253 ad - 260 ad	"governor of noricum and raetia, proclaimed emperor by rhine legions after death of gallus	 accepted as emperor after death of aemilianus"	
401 ad - 450 ad	natural causes		theodosius ii			408 ad - 450 ad	son of arcadius, succeeded to the throne after his father's death	
10 bc - 54 ad	probably poisoned by his wife agrippina the younger, in favour of her son nero.		claudius			41 ad - 54 ad	"nephew of tiberius, brother of germanicus and uncle of caligula	 proclaimed emperor by the praetorian guard."	
c. 278 ad	312 ad died at the battle of the milvian bridge, against constantine i		maxentius			306 ad - 312 ad	"son of maximian, seized power in 306 after death of constantius chlorus, in opposition to severus and constantine i	 made caesar (west) by maximian in 307 ad after the death of severus"	
425 ad - 491 ad	natural causes		zeno			474 ad - 475 ad & 476 ad - 491 ad	father of leo ii	
316 ad	340 ad died in battle against constans		constantine ii			337 ad - 340 ad	"son of constantine i	 appointed caesar in 317 ad, succeeded as joint augustus with his brothers constantius ii and constans"	
c. 250 ad - 306 ad	natural causes		constantius i chlorus			305 ad - 306 ad	adopted as junior co-emperor ('caesar') and heir by maximian in 293 ad	
c. 396 ad - 455 ad	murdered, probably stoned to death by the roman mob		petronius maximus			455 ad - 455 ad	proclaimed himself emperor with the support of the army, after the death of valentinian iii	
53 ad - 117 ad	natural causes	0,1579	trajan	3	98-117	98 ad - 117 ad	adopted son and heir of nerva	19.0
c. 250 ad - 310 ad	"abdicated with diocletian	 twice tried to regain throne with, and then from maxentius	 captured by constantine i and committed suicide at his behest"		maximian			286 ad - 305 ad	adopted as senior co-emperor ('augustus') in the west by diocletian in 286 ad	
			maximinus i					
c. 204 ad - 249 ad	killed in battle against decius, near verona		philip the arab			244 ad - 249 ad	praetorian prefect to gordian iii, took power after his death	
c. 482 ad - 565 ad	natural causes		justinian i			527 ad - 565 ad	nephew and nominated heir of justin i	
3 bc - 69 ad	murdered by praetorian guard		galba			68 ad - 69 ad	seized power after nero's suicide, with support of the spanish legions	
c. 385 ad - 456 ad	"deposed by his magister militum, ricimer	 became bishop of placentia	 murdered at some point afterwards"		avitus			455 ad - 456 ad	magister militum under petronius maximus, proclaimed emperor by the visigoth king theoderic ii after petronius's death	
419 ad - 455 ad	assassinated, possibly at the behest of petronius maximus		valentinian iii			424 ad - 455 ad	"son of constantius iii, appointed caesar for the west by theodosius ii after the death of honorius, in opposition to the joannes	 became augustus for the west after the defeat of joannes"	
39 ad - 81 ad	natural causes (plague)		titus			79 ad - 81 ad	son of vespasian	
76 ad - 138 ad	natural causes	0,1429	hadrian	2+1	117-138	117 ad - 138 ad	adopted son and heir of trajan	21.0
9 ad - 79 ad	natural causes		vespasian			69 ad - 79 ad	seized power with the support of the eastern legions (in opposition to vitellius)	
420 ad, ?	"461 ad deposed by his troops (probably at the behest of ricimer)	 died shortly afterwards in unclear circumstances"		majorian			457 ad - 461 ad	appointed emperor by ricimer	
133 or 137 ad - 193 ad	executed on orders of the senate		didius julianus			193 ad - 193 ad	won auction held by the praetorian guard for the position of emperor	
214 ad/215 ad - 275 ad	assassinated by praetorian guard		aurelian			(?) 270 ad - 275 ad	proclaimed emperor by danubian legions after claudius gothicus's death, in opposition to quintillus	
121 ad - 180 ad	natural causes	0,1053	marcus aurelius	1+1	161-180	161 ad - 180 ad	"adopted son and heir of antoninus pius	 co-emperor with lcius verus until 169 ad"	19.0
			macrinus					
320 ad - 350 ad	assassinated on the orders of the usurper magnentius		constans			337 ad - 350 ad	"son of constantine i	 succeeded as joint augustus with his brothers constantine ii and constantius ii"	
? - 276 ad	assassinated by his own troops, in favour of probus		florianus			ad - 276 ad	possibly half-brother of tacitus, elected by the army in the west to replace him	
189 ad - 211 ad	murdered on the orders of caracalla		geta			209 ad - 211 ad	"son of septimius severus	 co-emperor with severus and caracalla from 209 ad until february 211 ad	 co-emperor with caracalla until december 211 ad"	
51 ad - 96 ad	assassinated by court officials	0,0667	domitian	1	81-96	81 ad - 96 ad	son of vespasian	15.0
c. 260 ad - 311 ad	natural causes		galerius			305 ad - 311 ad	adopted as junior co-emperor ('caesar') and heir by diocletian in 293 ad	
c. 230 ad - 283 ad	natural causes? (possibly killed by lightning)		carus			282 ad - 283 ad	"praetorian prefect to probus	 seized power either before or after probus was murdered"	
? - 276 ad	natural causes (possibly assassinated)		tacitus			275 ad - 276 ad	elected by the senate to replace aurelian, after a short interregnum	
