24	0	1	3	4	25	1000	2001	2005
"[""Wells Fargo Plaza"", ""First Interstate Bank Plaza"", ""Wells Fargo Plaza"", NaN, ""First Interstate Bank Plaza""]"	70	[71, 71, NaN]	"[""992 ft"", ""992 ft"", NaN, 971, 296.0]"	[1983.0, 1983.0]	"[""Houston"", ""Houston, TX"", ""Houston"", NaN, ""Houston, TX""]"		USA	
"[""JPMorgan Chase Tower"", ""Texas Commerce Tower"", ""JPMorgan Chase Tower"", NaN, ""Texas Commerce Tower""]"	65	[75, 75, NaN]	"[""1.002 ft"", ""1.002 ft"", NaN, 1001, 305.0]"	[1982.0, 1982.0]	"[""Houston"", ""Houston, TX"", ""Houston"", NaN, ""Houston, TX""]"		USA	
"[""Two Prudential Plaza [Prudential Plaza]"", ""Two Prudential Plaza"", ""Two Prudential Plaza [Prudential Plaza]"", NaN, ""Two Prudential Plaza""]"	68	[64, 64, NaN]	"[""995 ft"", ""995 ft"", NaN, 920, 280.0]"	[1990.0, 1990.0]	"[""Chicago"", ""Chicago, IL"", ""Chicago"", NaN, ""Chicago, IL""]"		USA	
"[""Rinku Gate Tower"", ""Rinku Gate Tower Building"", ""Rinku Gate Tower Building"", NaN, ""Rinku Gate Tower""]"	190	[56, 56, NaN]	"[""840 ft"", ""840 ft"", NaN, 840, 256.0]"	[1996.0, 1996.0]	"[""Osaka"", ""Izumisano"", ""Izumisano"", NaN, ""Osaka""]"		Japan	
"[""Ryugyong Hotel"", ""Ryugyong Hotel"", ""Ryugyong Hotel"", NaN, ""Ryugyong Hotel""]"	42	[105, 105, NaN]	"[""1.083 ft"", ""1.083 ft"", NaN, 984, 300.0]"	[NaN, NaN]	"[""Pyongyang"", ""Pyongyang"", ""Pyongyang"", NaN, ""Pyongyang""]"		N. Korea	[1] [2]
"[""Burj Al Arab"", ""Burj al Arab Hotel"", ""Burj Al Arab"", NaN, ""Burj al Arab Hotel""]"	49	[60, 60, NaN]	"[""1.053 ft"", ""1.053 ft"", NaN, 1053, 321.0]"	[1999.0, 1999.0]	"[""Dubai"", ""Dubai"", ""Dubai"", NaN, ""Dubai""]"		UAE	[1]
"[""Commerzbank"", ""Commerzbank Tower [Geb\ufffdudekomplex Commerzbank AG]"", ""Commerzbank Tower [Geb\ufffdudekomplex Commerzbank AG]"", NaN, ""Commerzbank""]"	173	[58, 58, NaN]	"[""850 ft"", ""850 ft"", NaN, 978, 298.0]"	[1997.0, 1997.0]	"[""Frankfurt"", ""Frankfurt am Main"", ""Frankfurt am Main"", NaN, ""Frankfurt""]"		Germany	[1] [2]
"[""Citigroup Center"", ""Citicorp Tower"", ""Citigroup Center"", NaN, ""Citicorp Tower""]"	110	[59, 59, NaN]	"[""915 ft"", ""915 ft"", NaN, 915, 279.0]"	[1977.0, 1977.0]	"[""New York City"", ""New York, NY"", ""New York City"", NaN, ""New York, NY""]"		USA	[1] [2]
"[""Bank of America Plaza [Main Centre]"", ""Bankof America Plaza"", ""Bank of America Plaza [Main Centre]"", NaN, ""Bankof America Plaza""]"	103	[72, 72, NaN]	"[""921 ft"", ""921 ft"", NaN, 921, 281.0]"	[1985.0, 1985.0]	"[""Dallas"", ""Dallas, TX"", ""Dallas"", NaN, ""Dallas, TX""]"		USA	[1]
"[""OUB Centre [One Raffles Place]"", ""OUB Centre"", ""OUB Centre [One Raffles Place]"", NaN, ""OUB Centre""]"	107	[63, 63, NaN]	"[""919 ft"", ""919 ft"", NaN, 919, 280.0]"	[1988.0, 1988.0]	"[""Singapur"", ""Singapore"", ""Singapur"", NaN, ""Singapore""]"		Singapore	[1]
"[""Al Faisaliah Centre more"", ""Al Faisaliyah Center"", ""Al Faisaliyah Center"", NaN, ""Al Faisaliah Centre more""]"	134	[30, 30, NaN]	"[""876 ft"", ""876 ft"", NaN, 876, 267.0]"	[2000.0, 2000.0]	"[""Riyadh"", ""Riad"", ""Riad"", NaN, ""Riyadh""]"		Saudi Arabia	
"[""Transamerica Pyramid"", ""Transamerica Pyramid [Transamerica Center]"", ""Transamerica Pyramid [Transamerica Center]"", NaN, ""Transamerica Pyramid""]"	170	[48, 48, NaN]	"[""853 ft"", ""853 ft"", NaN, 853, 260.0]"	[1972.0, 1972.0]	"[""San Francisco, CA"", ""San Francisco"", ""San Francisco"", NaN, ""San Francisco, CA""]"		USA	[1]
"[""Suntrust Plaza"", ""SunTrust Plaza [SunTrust Plaza]"", ""SunTrust Plaza [SunTrust Plaza]"", NaN, ""Suntrust Plaza""]"	138	[60, 60, NaN]	"[""871 ft"", ""871 ft"", NaN, 871, 265.0]"	[1992.0, 1992.0]	"[""Atlanta, GE"", ""Atlanta"", ""Atlanta"", NaN, ""Atlanta, GE""]"		USA	
"[""World Trade Center"", ""World Trade Center"", NaN, ""World Trade Center"", ""World Trade Center""]"		[NaN, 110, 110.0]	"[NaN, ""417 m"", ""417 m"", 1352, 412.0]"	"[NaN, ""1972 - 1974""]"	"[""New York City"", ""New York, NY"", NaN, ""New York City"", ""New York, NY""]"	1972 - 1974	USA	[1 - before] [2 - after]
"[""Baiyoke Tower II [Baiyoke Towers]"", ""Baiyoke Tower II"", ""Baiyoke Tower II [Baiyoke Towers]"", NaN, ""Baiyoke Tower II""]"	67	[85, 85, NaN]	"[""997 ft"", ""997 ft"", NaN, 1050, 320.0]"	[1997.0, 1997.0]	"[""Bangkok"", ""Bangkok"", ""Bangkok"", NaN, ""Bangkok""]"		Thailand	[1]
"[""Shun Hing Square"", ""Shun Hing Square"", ""Di Wang Tower"", ""Shun Hing Square [Shun Hing Square]"", ""Shun Hing Square [Shun Hing Square]"", NaN, ""Shun Hing Square"", ""Shun Hing Square"", ""Di Wang Tower""]"	19	[69, 69, NaN]	"[""1.260 ft"", ""1.260 ft"", NaN, ""1260"", ""1066"", ""1066"", 384.0, 325.0, 325.0]"	[1996.0, 1996.0]	"[""Shenzhen"", ""Shenzen"", ""Shenzen"", ""Shenzhen"", ""Shenzhen"", NaN, ""Shenzhen"", ""Shenzen"", ""Shenzen""]"		"[""P.R.China"", ""P.R. China"", ""P.R. China""]"	"[NaN, ""[1]"", ""[1]""]"
"[""Citic Plaza"", ""Sky Central Plaza"", ""CITIC Plaza [CITIC Plaza]"", ""CITIC Plaza [CITIC Plaza]"", NaN, ""Citic Plaza"", ""Sky Central Plaza""]"	18	[80, 80, NaN]	"[""1.283 ft"", ""1.283 ft"", NaN, ""1283"", ""1056"", 391.0, 322.0]"	[1997.0, 1997.0]	"[""Guangzhou"", ""Guangzhou"", ""Guangzhou"", ""Guangzhou"", NaN, ""Guangzhou"", ""Guangzhou""]"		"[""P.R.China"", ""P.R. China""]"	"[""[1]"", ""[1]""]"
"[""2 International Finance Centre"", ""Two International Finance Centre [International Finance Centre]"", ""Two International Finance Centre [International Finance Centre]"", NaN, ""2 International Finance Centre""]"	13	[88, 88, NaN]	"[""1.362 ft"", ""1.362 ft"", NaN, 1335, 407.0]"	[2003.0, 2003.0]	"[""Hong Kong"", ""Hong Kong"", ""Hong Kong"", NaN, ""Hong Kong""]"		P.R.China	
"[""Tianjin Radio and TV Tower"", ""Tianjin Global Financial Center"", ""Tianjin Global Financial Center"", NaN, ""Tianjin Radio and TV Tower""]"	36	[72, 72, NaN]	"[""1.105 ft"", ""1.105 ft"", NaN, 1362, 415.0]"	[2011.0, 2011.0]	"[""Tianjin"", ""Tianjin"", ""Tianjin"", NaN, ""Tianjin""]"		P.R.China	[1] [2]
"[""Amoco Building"", ""Aon Center"", ""Aon Center"", NaN, ""Amoco Building""]"	32	[83, 83, NaN]	"[""1.136 ft"", ""1.136 ft"", NaN, 1136, 346.0]"	[1973.0, 1973.0]	"[""Chicago, IL"", ""Chicago"", ""Chicago"", NaN, ""Chicago, IL""]"		USA	[1]
"[""American International Building"", ""American International Building"", ""American International Building"", NaN, ""American International Building""]"	89	[66, 66, NaN]	"[""952 ft"", ""952 ft"", NaN, 952, 290.0]"	[1932.0, 1932.0]	"[""New York City"", ""New York, NY"", ""New York City"", NaN, ""New York, NY""]"		USA	
"[""311 South Wacker"", ""311 South Wacker"", ""311 South Wacker"", NaN, ""311 South Wacker""]"	86	[65, 65, NaN]	"[""961 ft"", ""961 ft"", NaN, 961, 293.0]"	[1990.0, 1990.0]	"[""Chicago"", ""Chicago, IL"", ""Chicago"", NaN, ""Chicago, IL""]"		USA	[1]
"[""MesseTurm"", ""Messe Tower"", ""MesseTurm"", NaN, ""Messe Tower""]"	185	[55, 55, NaN]	"[""842 ft"", ""842 ft"", NaN, 840, 256.0]"	[1990.0, 1990.0]	"[""Frankfurt am Main"", ""Frankfurt"", ""Frankfurt am Main"", NaN, ""Frankfurt""]"		Germany	[1]
"[""Key Tower [Key Center]"", ""Key Tower"", ""Key Tower [Key Center]"", NaN, ""Key Tower""]"	91	[57, 57, NaN]	"[""947 ft"", ""947 ft"", NaN, 948, 289.0]"	[1991.0, 1991.0]	"[""Cleveland"", ""Cleveland, OH"", ""Cleveland"", NaN, ""Cleveland, OH""]"		USA	
"[""Columbia Center"", ""Bank of America Tower"", ""Columbia Center"", NaN, ""Bank of America Tower""]"	94	[76, 76, NaN]	"[""937 ft"", ""937 ft"", NaN, 968, 295.0]"	[1985.0, 1985.0]	"[""Seattle"", ""Seattle, WS"", ""Seattle"", NaN, ""Seattle, WS""]"		USA	
"[""One Liberty Place [Liberty Place]"", ""Two Liberty Place [Liberty Place]"", ""One Liberty Place"", ""One Liberty Place [Liberty Place]"", ""Two Liberty Place [Liberty Place]"", NaN, ""One Liberty Place""]"	[93, 175]	[61, 58, 61, 58, NaN]	"[""945 ft"", ""848 ft"", ""945 ft"", ""848 ft"", NaN, 945, 288.0]"	[1987.0, 1990.0, 1987.0, 1990.0]	"[""Philadelphia"", ""Philadelphia"", ""Philadelphia"", ""Philadelphia"", ""Philadelphia"", NaN, ""Philadelphia""]"		USA	[1] [2]
"[""The Center"", ""The Centre"", ""The Center"", NaN, ""The Centre""]"	33	[73, 73, NaN]	"[""1.135 ft"", ""1.135 ft"", NaN, 1149, 350.0]"	[1998.0, 1998.0]	"[""Hong Kong"", ""Hong Kong"", ""Hong Kong"", NaN, ""Hong Kong""]"		P.R. China	[1]
"[""Tuntex Sky Tower"", ""Tuntex & Chientai Tower"", ""Tuntex Sky Tower"", NaN, ""Tuntex & Chientai Tower""]"	31	[85, 85, NaN]	"[""1.140 ft"", ""1.140 ft"", NaN, 1140, 348.0]"	[1997.0, 1997.0]	"[""Kaohsiung"", ""Kaoshiung"", ""Kaohsiung"", NaN, ""Kaoshiung""]"		Taiwan	[1] [2]
"[""Osaka World Trade Center"", ""Osaka World Trade Center"", ""Osaka World Trade Center"", NaN, ""Osaka World Trade Center""]"	200	[55, 55, NaN]	"[""827 ft"", ""827 ft"", NaN, 827, 252.0]"	[1995.0, 1995.0]	"[""Osaka"", ""Osaka"", ""Osaka"", NaN, ""Osaka""]"		Japan	
"[""NationsBank Plaza"", ""Bank of America Plaza"", ""Bank of America Plaza"", NaN, ""NationsBank Plaza""]"	54	[55, 55, NaN]	"[""1.023 ft"", ""1.023 ft"", NaN, 1023, 312.0]"	[1992.0, 1992.0]	"[""Atlanta, GE"", ""Atlanta"", ""Atlanta"", NaN, ""Atlanta, GE""]"		USA	
"[""Library Tower"", ""US Bank Tower"", ""US Bank Tower"", NaN, ""Library Tower""]"	55	[73, 73, NaN]	"[""1.018 ft"", ""1.018 ft"", NaN, 1018, 310.0]"	[1989.0, 1989.0]	"[""Los Angeles, CA"", ""Los Angeles"", ""Los Angeles"", NaN, ""Los Angeles, CA""]"		USA	[1]
"[""Telekom Malaysia Headquarters"", ""Menara Telekom"", ""Menara Telekom"", NaN, ""Telekom Malaysia Headquarters""]"	56	[55, 55, NaN]	"[""1.017 ft"", ""1.017 ft"", NaN, 1017, 310.0]"	[2001.0, 2001.0]	"[""Kuala Lumpur"", ""Kuala Lumpur"", ""Kuala Lumpur"", NaN, ""Kuala Lumpur""]"		Malaysia	[1] [2] [3]
