country;capital;newCol0;newCol1;newCol2;newCol3;newCol4;newCol5;newCol6;newCol7;newCol8;newCol9;newCol10;newCol11;newCol12;newCol
burundi;bujumbura;;bujumbura;bujumbura;;;bujumbura;;;;;;;bujumbura;bujumbura
cambodia;phnom penh;phnom penh;;phnom penh;;;phnom penh;;;;;phnom penh;;phnom penh;phnom penh
cameroon;yaounde;;;yaounde;;;yaounde;;;;;yaounde;;yaounde;yaounde
canada;ottawa;;;ottawa;;;ottawa;;;;;ottawa;;ottawa;ottawa
cape verde;praia;;;praia;;;praia;;;;;praia;;praia;praia
central african republic;bangui;;;bangui;;;bangui;;;;;bangui;;bangui;bangui
chad;n djamena;;;n'djamena;;;n'djamena;;;;;n'djamena;;n'djamena;n'djamena
chile;santiago;;;santiago;;;santiago;;;;;santiago;;santiago;santiago
china;beijing;beijing;;beijing;;;beijing;;;;;beijing;;beijing;beijing
colombia;bogot ã;;;bogota;;;bogota;;;;;bogota;;bogota;bogota
comoros;moroni;;;moroni;;;moroni;;;;;moroni;;moroni;moroni
costa rica;san jose;;;san jose;;;san jose;;;;;san jose;;san jose;san jose
croatia;zagreb;;;zagreb;;;zagreb;;;;zagreb;zagreb;;zagreb;zagreb
cuba;havana;;;havana;;;havana;;;;;havana;;havana;havana
cyprus;nicosia;;;nicosia;;;nicosia;;;;;nicosia;;nicosia;nicosia
czech republic;prague;;;prague;;;prague;;;;prague;prague;;prague;prague
democratic republic congo;kinshasa;;;;;;;;;;;;;;
djibouti;djibouti;;;djibouti;;;djibouti;;;djibouti;;;;djibouti;djibouti
dominica;roseau;;;roseau;;;roseau;;;;;;;roseau;roseau
dominican republic;santo domingo;;;santo domingo;;;santo domingo;;;;;;;santo domingo;santo domingo
east timor;dili;dili;;;;;dili;;;;;;;;dili
ecuador;quito;;;quito;;;quito;;;;;;;quito;quito
egypt;cairo;;;cairo;;;cairo;;;;cairo;;;cairo;cairo
el salvador;san salvador;;;san salvador;;;san salvador;;;;;;;san salvador;san salvador
equatorial guinea;malabo;;;malabo;;;malabo;;;;;;;malabo;malabo
eritrea;asmara;;;asmara;;;asmara;;;;;;;asmara;asmara
estonia;tallinn;;;tallinn;;;tallinn;;;;;;;tallinn;tallinn
ethiopia;addis ababa;;;addis ababa;;;addis ababa;;;;;;;addis ababa;addis ababa
federated states micronesia;palikir;;;palikir;;;;;;;;;;;palikir
fiji;suva;;;suva;;;suva;;;;;;;suva;suva
finland;helsinki;;;helsinki;;;helsinki;;;;helsinki;;;helsinki;helsinki
france;paris;;;paris;;;paris;;;;paris;;;paris;paris
gabon;libreville;;;libreville;;;libreville;;;;;;;libreville;libreville
gambia;banjul;;;;;;;;;;;;;;
georgia;atlanta;;;t'bilisi;;;t'bilisi;;;;;;;t'bilisi;t'bilisi
germany;berlin;;;berlin;;;berlin;;;;berlin;;;berlin;berlin
ghana;accra;;;accra;;;accra;;;;;;;accra;accra
greece;athens;;;athens;;;athens;;;;athens;;;athens;athens
grenada;st george;;;saint george's;;;;;;;;;;saint george's;saint george's
guatemala;guatemala city;;;guatemala;;guatemala;guatemala;;;;;;;guatemala;guatemala
guinea;conakry;;;conakry;;;conakry;;;;;;;conakry;conakry
guinea bissau;bissau;;;bissau;;;bissau;;;;;;;bissau;bissau
guyana;georgetown;;;georgetown;;;georgetown;;;;;;;georgetown;georgetown
haiti;port au prince;;;port-au-prince;;;port-au-prince;;;;;;;port-au-prince;port-au-prince
honduras;tegucigalpa;;;tegucigalpa;;;tegucigalpa;;;;;;;tegucigalpa;tegucigalpa
hungary;budapest;;;budapest;;;budapest;;;;budapest;;;budapest;budapest
iceland;reykjavik;;;reykjavik;;;reykjavik;;;;dublin;;;reykjavik;reykjavik
india;new delhi;new delhi;;new delhi;;;new delhi;;;;;;;new delhi;new delhi
indonesia;jakarta;jakarta;;jakarta;;;jakarta;;;;;;;jakarta;jakarta
iran;tehran;tehran;;tehran;;;tehran;;;;;;;tehran;tehran
iraq;baghdad;baghdad;;baghdad;;;baghdad;;;;;;;baghdad;baghdad
israel;jerusalem;tel aviv;;jerusalem;;;jerusalem;;;;;;;jerusalem;tel aviv
italy;rome;;;rome;;;rome;;;;rome;;;rome;rome
ivory coast;yamoussoukro;;;;;;;;;;;;;;
jamaica;kingston;;;kingston;;;kingston;;;;;;;;kingston
japan;tokyo;tokyo;;tokyo;;;;;;;;;;;tokyo
jordan;amman;amman;;amman;;;amman;;;;;;;;amman
kazakhstan;astana;astana;;astana;;;astana;;;;;;;;astana
kenya;nairobi;;;nairobi;;;nairobi;;;;;;;;nairobi
kiribati;tarawa;;;tarawa;;;tarawa;;;;;;;;tarawa
kosovo;pristina;;;pristina;;;;;;;;;;;pristina
kuwait;kuwait;kuwait city;;kuwait;;;kuwait;;;;;;;;kuwait city
kyrgyzstan;bishkek;bishtek;;bishkek;;;bishkek;;;;;;;;bishtek
laos;vientiane;vientiane;;vientiane;;;;;;;;;;;vientiane
latvia;riga;;;riga;;;riga;;;;;;;;riga
lebanon;beirut;beirut;;beirut;;;beirut;;;;;;;;beirut
lesotho;maseru;;;maseru;;;maseru;;;;;;;;maseru
liberia;monrovia;;;monrovia;;;monrovia;;;;;;;;monrovia
libya;tripoli;;;tripoli;;;;;;;;;;;tripoli
liechtenstein;vaduz;;;vaduz;;;vaduz;;;;;;;;vaduz
lithuania;vilnius;;;vilnius;;;vilnius;;;;;;;;vilnius
luxembourg;luxembourg;;;luxembourg;;;luxembourg;;;;;;;;luxembourg
macedonia;skopje;;;skopje;;;;;;;skopje;;;;skopje
madagascar;antananarivo;;;antananarivo;;;antananarivo;;;;;;;;antananarivo
malawi;lilongwe;;;lilongwe;;;lilongwe;;;;;;;;lilongwe
malaysia;kuala lumpur;kuala lumpur;;kuala lumpur;;;kuala lumpur;;;;;;;;kuala lumpur
maldives;male;male;;male;;;male;;;;;;;;male
mali;bamako;;;bamako;;;bamako;;;;;;;;bamako
malta;valletta;;;valletta;;;valletta;;;;;;;;valletta
marshall islands;majuro;;;majuro;;;;;;;;;;;majuro
mauritania;nouakchott;;;nouakchott;;;nouakchott;;;;;;;;nouakchott
mauritius;port louis;;;port louis;;;;;;;;;;;port louis
mexico;mexico city;;;mexico;;;mexico;mexico;;;;;;;mexico
moldova;chi åÿin äƒu;;;chisinau;;;;;;;;;;;chisinau
monaco;monaco;;;monaco;;;;monaco;;;monte carlo;;;;monaco
mongolia;ulaanbaatar;ulaan baatar;;ulaanbaatar;;;;;;;;;;;ulaan baatar
montenegro;podgorica;;;podgorica;;;;;;;podgorica;;;;podgorica
morocco;rabat;;;rabat;;;;;;;;;;;rabat
mozambique;maputo;;;maputo;;;maputo;;;;;;;;maputo
namibia;windhoek;;;windhoek;;;windhoek;;;;;;;;windhoek
nauru;yaren;;;no official capital;;;;;;;;;;;no official capital
nepal;kathmandu;kathmandu;;kathmandu;;;kathmandu;;;;;;;;kathmandu
netherlands;amsterdam;;;amsterdam;;;amsterdam/the hague (seat of gvnt);;;;amsterdam;;;;amsterdam
new zealand;wellington;;;wellington;;;wellington;;;;;;;;wellington
nicaragua;managua;;;managua;;;managua;;;;;;;;managua
niger;niamey;;;niamey;;;niamey;;;;;;;;niamey
nigeria;abuja;;;abuja;;;abuja;;;;;;;;abuja
niue;alofi;;;alofi;;;;;;;;;;;alofi
north korea;pyongyang;pyongyang;;p'yongyang;;;;;;;;;;;pyongyang
northern cyprus;nicosia;;;;;;;;;;;;;;
norway;oslo;;;oslo;;;oslo;;;;oslo;;;;oslo
pakistan;islamabad;islamabad;;islamabad;;;islamabad;;;;;;;;islamabad
palau;melekeok;;;melekeok;;;koror;;;;;;;;melekeok
palestine;east jerusalem;;;;;;;;;;;;;;
panama;panama;;;panama;;;panama;;;;;;;;panama
papua new guinea;port moresby;port moresby;;port moresby;;;port moresby;;;;;;;;port moresby
paraguay;asunci ã n;;;asuncion;;;asuncion;;;;;;;;asuncion
peru;lima;;;lima;;;lima;;;;;;;;lima
philippines;manila;manila;;manila;;;manila;;;;;;;;manila
poland;warsaw;;;warsaw;;;warsaw;;;;warsaw;;;;warsaw
portugal;lisbon;;;lisbon;;;lisbon;;;;;;;;lisbon
qatar;doha;doha;;doha;;;doha;;;;;;;;doha
republic congo;brazzaville;;;;;;;;;;;;;;
romania;bucharest;;;bucharest;;;bucuresti;;;;;;;;bucharest
russia;moscow;;;moscow;;;;;;;moscow;;;;moscow
rwanda;kigali;;;kigali;;;kigali;;;;;;;;kigali
s o tom pr ncipe;s o tom;;;;;;;;;;;;;;
sahrawi arab democratic republic;el aai n;;;;;;;;;;;;;;
saint kitts nevis;basseterre;;;basseterre;;;basseterre;;;;;;;;basseterre
saint lucia;castries;;;castries;;;castries;;;;;;;;castries
saint vincent grenadines;kingstown;;;;;;;;;;;;;;
samoa;apia;;;apia;;;apia;;;;;;;;apia
san marino;san marino;;;san marino;;;san marino;;;;;;san marino;;san marino
saudi arabia;riyadh;riyadh;;riyadh;;;riyadh;;;;;;;;riyadh
senegal;dakar;;;dakar;;;dakar;;;;;;;;dakar
serbia;belgrade;;;belgrade;;;;;;;belgrade;;;;belgrade
seychelles;victoria;;;victoria;;;;;;;;;;;victoria
sierra leone;freetown;;;freetown;;;freetown;;;;;;;;freetown
singapore;singapore;singapore;;singapore;;;;;;;;;singapore;;singapore
slovakia;bratislava;;;bratislava;;;bratislava;;;;bratislava;;;;bratislava
slovenia;ljubljana;;;ljubljana;;;ljubljana;;;;;;;;ljubljana
solomon islands;honiara;;;honiara;;;honiara;;;;;;;;honiara
somalia;mogadishu;;;mogadishu;;;mogadishu;;;;;;;;mogadishu
somaliland;hargeisa;;;;;;;;;;;;;;
south africa;pretoria;;;pretoria ?;;;pretoria (adm.) / cap town (legislative) / bloemfontein (judicial);;;;;;;;pretoria ?
south korea;seoul;seoul;;seoul;;;;;;;;;;;seoul
south ossetia;tskhinvali;;;;;;;;;;;;;;
south sudan;juba;;;;;;;;;;;;;;
spain;madrid;;;madrid;;;madrid;;;;madrid;;;;madrid
sri lanka;colombo;colombo;;colombo;;;;;;;;;;;colombo
sudan;khartoum;;;khartoum;;;khartoum;;;;;;;;khartoum
suriname;paramaribo;;;paramaribo;;;paramaribo;;;;;;;;paramaribo
swaziland;mbabane;;;mbabane ?;;;mbabane (adm.);;;;;;;;mbabane ?
sweden;stockholm;;;stockholm;;;stockholm;;;;stockholm;;;;stockholm
switzerland;bern;;;bern;;;bern;;;;bern;;;;bern
syria;damascus;damascus;;damascus;;;;;;;;;;;damascus
taiwan;taipei;taipei;;taipei;;;;;;;;;;;taipei
tajikistan;dushanbe;dushanbe;;dushanbe;;;dushanbe;;;;;;;;dushanbe
tanzania;dodoma;;;dar es salaam;;;;;;;;;;;dar es salaam
thailand;bangkok;bangkok;;bangkok;;;bangkok;;;;;;;;bangkok
togo;lome;;;lome;;;lome;;;;;;;;lome
tonga;nuku alofa;;;nuku'alofa;;;nuku'alofa;;;;;;;;nuku'alofa
transnistria;tiraspol;;;;;;;;;;;;;;
trinidad tobago;port spain;;;;;;;;;;;;;;
tunisia;tunis;;;tunis;;;tunis;;;;;;;;tunis
turkey;ankara;;;ankara;;;ankara;;;;istanbul;;;;ankara
turkmenistan;ashgabat;ashgabat;;ashgabat;;;ashgabat;;;;;;;;ashgabat
tuvalu;funafuti;;;fongafale;;;funafuti;;;;;;;;fongafale
uganda;kampala;;;kampala;;;kampala;;;;;;;;kampala
ukraine;kiev;;;kiev;;;kiev (rus);;;;;;;;kiev
united arab emirates;abu dhabi;abu dhabi;;abu dhabi;;;abu dhabi;;;;;;;;abu dhabi
united kingdom;london;;;london;;;;;;;london;;;;london
united states;washington d c;;;;;;;;;;;;;;
uruguay;montevideo;;;montevideo;;;montevideo;;;;;;;;montevideo
uzbekistan;tashkent;tashkent;;tashkent;;;tashkent;;;;;;;;tashkent
vanuatu;port vila;;;port-vila;;;port-vila;;;;;;;;port-vila
vatican city;vatican city;;;;;;;;;;vatican city;;;;vatican city
venezuela;caracas;;;caracas;;;caracas;;;;;;;;caracas
vietnam;hanoi;hanoi;;hanoi;;;;;;;;;;;hanoi
yemen;sana;sanaa;;sanaa;;;;;;;;;;;sanaa
zambia;lusaka;;;lusaka;;;banjul;;;;;;;;lusaka
zimbabwe;harare;;;harare;;;harare;;;;;;;;harare
