0	1	8	9	20	21	22	23	2004	2005
"[""Indianapolis International Airport"", ""Indianapolis International Airport"", ""Indianapolis International Airport"", ""Indianapolis International Airport"", NaN]"	"[""Indianapolis"", ""Indianapolis""]"	"[""IN"", ""IN"", ""IN""]"	"[""IND"", ""IND"", ""IND""]"	[NaN, NaN]	[NaN, NaN]	[NaN, NaN]	[NaN, NaN]		
"[""Huntsville International Airport"", ""Huntsville International Airport"", ""Huntsville International Airport"", ""Huntsville International Airport"", NaN]"	"[""Huntsville"", ""Huntsville""]"	"[""AL"", ""AL"", ""AL""]"	"[""HSV"", ""HSV"", ""HSV""]"	[NaN, NaN]	[NaN, NaN]	[NaN, NaN]	[NaN, NaN]		
"[""Macarthur Airport"", ""Macarthur Airport"", ""Macarthur Airport"", ""Macarthur Airport"", NaN]"	"[""Islip"", ""Islip""]"	"[""NY"", ""NY"", ""NY""]"	"[""ISP"", ""ISP"", ""ISP""]"	[NaN, NaN]	[NaN, NaN]	[NaN, NaN]	[NaN, NaN]		
"[""Juneau International Airport"", ""Juneau International Airport"", ""Juneau International Airport"", ""Juneau International Airport"", NaN]"	"[""Juneau"", ""Juneau""]"	"[""AK"", ""AK"", ""AK""]"	"[""JNU"", ""JNU"", ""JNU""]"	[NaN, NaN]	[NaN, NaN]	[NaN, NaN]	[NaN, NaN]		
"[""San Antonio International Airport"", ""San Antonio International Airport"", ""San Antonio International Airport"", ""San Antonio International Airport"", NaN]"	"[""San Antonio"", ""San Antonio""]"	"[""TX"", ""TX"", ""TX""]"	"[""SAT"", ""SAT"", ""SAT""]"	[NaN, NaN]	[NaN, NaN]	[NaN, NaN]	[NaN, NaN]		
"[""San Diego International Airport"", ""San Diego International Airport"", ""San Diego International Airport"", ""San Diego International Airport"", NaN]"	"[""San Diego"", ""San Diego""]"	"[""CA"", ""CA"", ""CA""]"	"[""SAN"", ""SAN"", ""SAN""]"	[NaN, NaN]	[NaN, NaN]	[NaN, NaN]	[NaN, NaN]		
"[""San Francisco International Airport"", ""San Francisco International Airport"", ""San Francisco International Airport"", ""San Francisco International Airport"", ""San Francisco International Airport"", ""San Francisco International Airport""]"	"[""San Francisco"", ""San Francisco""]"	"[""CA"", ""CA"", ""CA""]"	"[""SFO"", ""SFO"", ""SFO""]"	"[""San Mateo County, California, United States"", ""San Mateo County, California, United States""]"	"[""SFO/KSFO"", ""SFO/KSFO""]"	"[20.0, ""0.3%""]"	"[""37,338,942"", ""37,338,942""]"	20.0	1.0
"[""San Jose International Airport"", ""San Jose International Airport"", ""San Jose International Airport"", ""San Jose International Airport"", NaN]"	"[""San Jose"", ""San Jose""]"	"[""CA"", ""CA"", ""CA""]"	"[""SJC"", ""SJC"", ""SJC""]"	[NaN, NaN]	[NaN, NaN]	[NaN, NaN]	[NaN, NaN]		
"[""Ronald Reagan Washington National Airport"", ""Ronald Reagan Washington National Airport"", ""Ronald Reagan Washington National Airport"", ""Ronald Reagan Washington National Airport"", NaN]"	"[""Washington"", ""Washington""]"	"[""DC"", ""DC"", ""DC""]"	"[""DCA"", ""DCA"", ""DCA""]"	[NaN, NaN]	[NaN, NaN]	[NaN, NaN]	[NaN, NaN]		
"[""Sacramento International Airport"", ""Sacramento International Airport"", ""Sacramento International Airport"", ""Sacramento International Airport"", NaN]"	"[""Sacramento"", ""Sacramento""]"	"[""CA"", ""CA"", ""CA""]"	"[""SMF"", ""SMF"", ""SMF""]"	[NaN, NaN]	[NaN, NaN]	[NaN, NaN]	[NaN, NaN]		
"[""Saipan International Airport"", ""Saipan International Airport"", ""Saipan International Airport"", ""Saipan International Airport"", NaN]"	"[""Saipan Island"", ""Saipan Island""]"	"[""CQ"", ""CQ"", ""CQ""]"	"[""GSN"", ""GSN"", ""GSN""]"	[NaN, NaN]	[NaN, NaN]	[NaN, NaN]	[NaN, NaN]		
"[""Salt Lake City International Airport"", ""Salt Lake City International Airport"", ""Salt Lake City International Airport"", ""Salt Lake City International Airport"", NaN]"	"[""Salt Lake City"", ""Salt Lake City""]"	"[""UT"", ""UT"", ""UT""]"	"[""SLC"", ""SLC"", ""SLC""]"	[NaN, NaN]	[NaN, NaN]	[NaN, NaN]	[NaN, NaN]		
"[""Santa Barbara Airport"", ""Santa Barbara Airport"", ""Santa Barbara Airport"", ""Santa Barbara Airport"", NaN]"	"[""Santa Barbara"", ""Santa Barbara""]"	"[""CA"", ""CA"", ""CA""]"	"[""SBA"", ""SBA"", ""SBA""]"	[NaN, NaN]	[NaN, NaN]	[NaN, NaN]	[NaN, NaN]		
"[""Sarasota-Bradenton International Airport"", ""Sarasota-Bradenton International Airport"", ""Sarasota-Bradenton International Airport"", ""Sarasota-Bradenton International Airport"", NaN]"	"[""Sarasota"", ""Sarasota""]"	"[""FL"", ""FL"", ""FL""]"	"[""SRQ"", ""SRQ"", ""SRQ""]"	[NaN, NaN]	[NaN, NaN]	[NaN, NaN]	[NaN, NaN]		
"[""Amarillo International Airport"", ""Amarillo International Airport"", ""Amarillo International Airport"", ""Amarillo International Airport"", NaN]"	"[""Amarillo"", ""Amarillo""]"	"[""TX"", ""TX"", ""TX""]"	"[""AMA"", ""AMA"", ""AMA""]"	[NaN, NaN]	[NaN, NaN]	[NaN, NaN]	[NaN, NaN]		
"[""Jackson-Evers International Airport"", ""Jackson-Evers International Airport"", ""Jackson-Evers International Airport"", ""Jackson-Evers International Airport"", NaN]"	"[""Jackson"", ""Jackson""]"	"[""MS"", ""MS"", ""MS""]"	"[""JAN"", ""JAN"", ""JAN""]"	[NaN, NaN]	[NaN, NaN]	[NaN, NaN]	[NaN, NaN]		
"[""Northwest Arkansas Regional Airport"", ""Northwest Arkansas Regional Airport"", ""Northwest Arkansas Regional Airport"", ""Northwest Arkansas Regional Airport"", NaN]"	"[""Fayetteville"", ""Fayetteville""]"	"[""AR"", ""AR"", ""AR""]"	"[""XNA"", ""XNA"", ""XNA""]"	[NaN, NaN]	[NaN, NaN]	[NaN, NaN]	[NaN, NaN]		
"[""Albuquerque International Sunport"", ""Albuquerque International Sunport"", ""Albuquerque International Sunport"", ""Albuquerque International Sunport"", NaN]"	"[""Albuquerque"", ""Albuquerque""]"	"[""NM"", ""NM"", ""NM""]"	"[""ABQ"", ""ABQ"", ""ABQ""]"	[NaN, NaN]	[NaN, NaN]	[NaN, NaN]	[NaN, NaN]		
"[""Anchorage International Airport"", ""Anchorage International Airport"", ""Anchorage International Airport"", ""Anchorage International Airport"", NaN]"	"[""Anchorage"", ""Anchorage""]"	"[""AK"", ""AK"", ""AK""]"	"[""ANC"", ""ANC"", ""ANC""]"	[NaN, NaN]	[NaN, NaN]	[NaN, NaN]	[NaN, NaN]		
"[""Manchester Airport"", ""Manchester Airport"", ""Manchester Airport"", ""Manchester Airport"", NaN]"	"[""Manchester"", ""Manchester""]"	"[""NH"", ""NH"", ""NH""]"	"[""MHT"", ""MHT"", ""MHT""]"	[NaN, NaN]	[NaN, NaN]	[NaN, NaN]	[NaN, NaN]		
"[""Dane County Regional Airport"", ""Dane County Regional Airport"", ""Dane County Regional Airport"", ""Dane County Regional Airport"", NaN]"	"[""Madison"", ""Madison""]"	"[""WI"", ""WI"", ""WI""]"	"[""MSN"", ""MSN"", ""MSN""]"	[NaN, NaN]	[NaN, NaN]	[NaN, NaN]	[NaN, NaN]		
"[""Blue Grass Airport"", ""Blue Grass Airport"", ""Blue Grass Airport"", ""Blue Grass Airport"", NaN]"	"[""Lexington"", ""Lexington""]"	"[""KY"", ""KY"", ""KY""]"	"[""LEX"", ""LEX"", ""LEX""]"	[NaN, NaN]	[NaN, NaN]	[NaN, NaN]	[NaN, NaN]		
"[""Wichita Mid-Continent Airport"", ""Wichita Mid-Continent Airport"", ""Wichita Mid-Continent Airport"", ""Wichita Mid-Continent Airport"", NaN]"	"[""Wichita"", ""Wichita""]"	"[""KS"", ""KS"", ""KS""]"	"[""ICT"", ""ICT"", ""ICT""]"	[NaN, NaN]	[NaN, NaN]	[NaN, NaN]	[NaN, NaN]		
"[""Denver International Airport"", ""Denver International Airport"", ""Denver International Airport"", ""Denver International Airport"", ""Denver International Airport"", ""Denver International Airport""]"	"[""Denver"", ""Denver""]"	"[""CO"", ""CO"", ""CO""]"	"[""DEN"", ""DEN"", ""DEN""]"	"[""Denver, Colorado, United States"", ""Denver, Colorado, United States""]"	"[""DEN/KDEN"", ""DEN/KDEN""]"	"[10.0, ""2.1%""]"	"[""50,167,485"", ""50,167,485""]"	10.0	
"[""Midland International Airport"", ""Midland International Airport"", ""Midland International Airport"", ""Midland International Airport"", NaN]"	"[""Midland"", ""Midland""]"	"[""TX"", ""TX"", ""TX""]"	"[""MAF"", ""MAF"", ""MAF""]"	[NaN, NaN]	[NaN, NaN]	[NaN, NaN]	[NaN, NaN]		
"[""Baton Rouge International Airport"", ""Baton Rouge International Airport"", ""Baton Rouge International Airport"", ""Baton Rouge International Airport"", NaN]"	"[""Baton Rouge"", ""Baton Rouge""]"	"[""LA"", ""LA"", ""LA""]"	"[""BTR"", ""BTR"", ""BTR""]"	[NaN, NaN]	[NaN, NaN]	[NaN, NaN]	[NaN, NaN]		
"[""Atlantic City International Airport"", ""Atlantic City International Airport"", ""Atlantic City International Airport"", ""Atlantic City International Airport"", NaN]"	"[""Egg Harbor Twp"", ""Egg Harbor Twp""]"	"[""NJ"", ""NJ"", ""NJ""]"	"[""ACY"", ""ACY"", ""ACY""]"	[NaN, NaN]	[NaN, NaN]	[NaN, NaN]	[NaN, NaN]		
"[""Detroit Metro Airport"", ""Detroit Metro Airport"", ""Detroit Metropolitan Wayne County Airport"", ""Detroit Metro Airport"", ""Detroit Metro Airport"", ""Detroit Metropolitan Wayne County Airport""]"	"[""Detroit"", ""Detroit""]"	"[""MI"", ""MI"", ""MI""]"	"[""DTW"", ""DTW"", ""DTW""]"	"[""Detroit, Michigan, United States"", ""Detroit, Michigan, United States""]"	"[""DTW/KDTW"", ""DTW/KDTW""]"	"[35.0, ""10.8%""]"	"[""31,357,388"", ""31,357,388""]"	35.0	11.0
"[""Newport News/Williamsburg International Airport"", ""Newport News/Williamsburg International Airport"", ""Newport News/Williamsburg International Airport"", ""Newport News/Williamsburg International Airport"", NaN]"	"[""Newport News"", ""Newport News""]"	"[""VA"", ""VA"", ""VA""]"	"[""PHF"", ""PHF"", ""PHF""]"	[NaN, NaN]	[NaN, NaN]	[NaN, NaN]	[NaN, NaN]		
"[""Lubbock International Airport"", ""Lubbock International Airport"", ""Lubbock International Airport"", ""Lubbock International Airport"", NaN]"	"[""Lubbock"", ""Lubbock""]"	"[""TX"", ""TX"", ""TX""]"	"[""LBB"", ""LBB"", ""LBB""]"	[NaN, NaN]	[NaN, NaN]	[NaN, NaN]	[NaN, NaN]		
"[""Valley International Airport"", ""Valley International Airport"", ""Valley International Airport"", ""Valley International Airport"", NaN]"	"[""Harlingen"", ""Harlingen""]"	"[""TX"", ""TX"", ""TX""]"	"[""HRL"", ""HRL"", ""HRL""]"	[NaN, NaN]	[NaN, NaN]	[NaN, NaN]	[NaN, NaN]		
"[""Norfolk International Airport"", ""Norfolk International Airport"", ""Norfolk International Airport"", ""Norfolk International Airport"", NaN]"	"[""Norfolk"", ""Norfolk""]"	"[""VA"", ""VA"", ""VA""]"	"[""ORF"", ""ORF"", ""ORF""]"	[NaN, NaN]	[NaN, NaN]	[NaN, NaN]	[NaN, NaN]		
"[""Richmond International Airport"", ""Richmond International Airport"", ""Richmond International Airport"", ""Richmond International Airport"", NaN]"	"[""Richmond"", ""Richmond""]"	"[""VA"", ""VA"", ""VA""]"	"[""RIC"", ""RIC"", ""RIC""]"	[NaN, NaN]	[NaN, NaN]	[NaN, NaN]	[NaN, NaN]		
"[""Fairbanks International Airport"", ""Fairbanks International Airport"", ""Fairbanks International Airport"", ""Fairbanks International Airport"", NaN]"	"[""Fairbanks"", ""Fairbanks""]"	"[""AK"", ""AK"", ""AK""]"	"[""FAI"", ""FAI"", ""FAI""]"	[NaN, NaN]	[NaN, NaN]	[NaN, NaN]	[NaN, NaN]		
"[""El Paso International Airport"", ""El Paso International Airport"", ""El Paso International Airport"", ""El Paso International Airport"", NaN]"	"[""El Paso"", ""El Paso""]"	"[""TX"", ""TX"", ""TX""]"	"[""ELP"", ""ELP"", ""ELP""]"	[NaN, NaN]	[NaN, NaN]	[NaN, NaN]	[NaN, NaN]		
"[""Des Moines International Airport"", ""Des Moines International Airport"", ""Des Moines International Airport"", ""Des Moines International Airport"", NaN]"	"[""Des Moines"", ""Des Moines""]"	"[""IA"", ""IA"", ""IA""]"	"[""DSM"", ""DSM"", ""DSM""]"	[NaN, NaN]	[NaN, NaN]	[NaN, NaN]	[NaN, NaN]		
"[""Fort Lauderdale Hollywood International Airport"", ""Fort Lauderdale Hollywood International Airport"", ""Fort Lauderdale Hollywood International Airport"", ""Fort Lauderdale Hollywood International Airport"", NaN]"	"[""Fort Lauderdale"", ""Fort Lauderdale""]"	"[""FL"", ""FL"", ""FL""]"	"[""FLL"", ""FLL"", ""FLL""]"	[NaN, NaN]	[NaN, NaN]	[NaN, NaN]	[NaN, NaN]		
"[""Bishop International Airport"", ""Bishop International Airport"", ""Bishop International Airport"", ""Bishop International Airport"", NaN]"	"[""Flint"", ""Flint""]"	"[""MI"", ""MI"", ""MI""]"	"[""FNT"", ""FNT"", ""FNT""]"	[NaN, NaN]	[NaN, NaN]	[NaN, NaN]	[NaN, NaN]		
"[""Kahului Airport"", ""Kahului Airport"", ""Kahului Airport"", ""Kahului Airport"", NaN]"	"[""Kahului"", ""Kahului""]"	"[""HI"", ""HI"", ""HI""]"	"[""OGG"", ""OGG"", ""OGG""]"	[NaN, NaN]	[NaN, NaN]	[NaN, NaN]	[NaN, NaN]		
"[""Guam International Airport"", ""Guam International Airport"", ""Guam International Airport"", ""Guam International Airport"", NaN]"	"[""Agana"", ""Agana""]"	"[""GU"", ""GU"", ""GU""]"	"[""GUM"", ""GUM"", ""GUM""]"	[NaN, NaN]	[NaN, NaN]	[NaN, NaN]	[NaN, NaN]		
"[""Savannah/Hilton Head International Airport"", ""Savannah/Hilton Head International Airport"", ""Savannah/Hilton Head International Airport"", ""Savannah/Hilton Head International Airport"", NaN]"	"[""Savannah"", ""Savannah""]"	"[""GA"", ""GA"", ""GA""]"	"[""SAV"", ""SAV"", ""SAV""]"	[NaN, NaN]	[NaN, NaN]	[NaN, NaN]	[NaN, NaN]		
"[""Atlanta International Airport"", ""Atlanta International Airport"", ""Hartsfield-Jackson Atlanta International Airport"", ""Atlanta International Airport"", ""Atlanta International Airport"", ""Hartsfield-Jackson Atlanta International Airport""]"	"[""Atlanta"", ""Atlanta""]"	"[""GA"", ""GA"", ""GA""]"	"[""ATL"", ""ATL"", ""ATL""]"	"[""Atlanta, Georgia, United States"", ""Atlanta, Georgia, United States""]"	"[""ATL/KATL"", ""ATL/KATL""]"	"[1.0, ""2.2%""]"	"[""88,032,086"", ""88,032,086""]"	1.0	
"[""Palm Beach International Airport"", ""Palm Beach International Airport"", ""Palm Beach International Airport"", ""Palm Beach International Airport"", NaN]"	"[""West Palm Beach"", ""West Palm Beach""]"	"[""FL"", ""FL"", ""FL""]"	"[""PBI"", ""PBI"", ""PBI""]"	[NaN, NaN]	[NaN, NaN]	[NaN, NaN]	[NaN, NaN]		
"[""Lihue Airport"", ""Lihue Airport"", ""Lihue Airport"", ""Lihue Airport"", NaN]"	"[""Lihue"", ""Lihue""]"	"[""HI"", ""HI"", ""HI""]"	"[""LIH"", ""LIH"", ""LIH""]"	[NaN, NaN]	[NaN, NaN]	[NaN, NaN]	[NaN, NaN]		
"[""Kona International Airport"", ""Kona International Airport"", ""Kona International Airport"", ""Kona International Airport"", NaN]"	"[""Keahole"", ""Keahole""]"	"[""HI"", ""HI"", ""HI""]"	"[""KOA"", ""KOA"", ""KOA""]"	[NaN, NaN]	[NaN, NaN]	[NaN, NaN]	[NaN, NaN]		
"[""Austin Straubel International Airport"", ""Austin Straubel International Airport"", ""Austin Straubel International Airport"", ""Austin Straubel International Airport"", NaN]"	"[""Green Bay"", ""Green Bay""]"	"[""WI"", ""WI"", ""WI""]"	"[""GRB"", ""GRB"", ""GRB""]"	[NaN, NaN]	[NaN, NaN]	[NaN, NaN]	[NaN, NaN]		
"[""Cedar Rapids Eastern Iowa Airport"", ""Cedar Rapids Eastern Iowa Airport"", ""Cedar Rapids Eastern Iowa Airport"", ""Cedar Rapids Eastern Iowa Airport"", NaN]"	"[""Cedar Rapids"", ""Cedar Rapids""]"	"[""IA"", ""IA"", ""IA""]"	"[""CID"", ""CID"", ""CID""]"	[NaN, NaN]	[NaN, NaN]	[NaN, NaN]	[NaN, NaN]		
"[""Boise Airport"", ""Boise Airport"", ""Boise Airport"", ""Boise Airport"", NaN]"	"[""Boise"", ""Boise""]"	"[""ID"", ""ID"", ""ID""]"	"[""BOI"", ""BOI"", ""BOI""]"	[NaN, NaN]	[NaN, NaN]	[NaN, NaN]	[NaN, NaN]		
"[""New Orleans International Airport"", ""New Orleans International Airport"", ""New Orleans International Airport"", ""New Orleans International Airport"", NaN]"	"[""New Orleans"", ""New Orleans""]"	"[""LA"", ""LA"", ""LA""]"	"[""MSY"", ""MSY"", ""MSY""]"	[NaN, NaN]	[NaN, NaN]	[NaN, NaN]	[NaN, NaN]		
"[""Louisville International Airport"", ""Louisville International Airport"", ""Louisville International Airport"", ""Louisville International Airport"", NaN]"	"[""Louisville"", ""Louisville""]"	"[""KY"", ""KY"", ""KY""]"	"[""SDF"", ""SDF"", ""SDF""]"	[NaN, NaN]	[NaN, NaN]	[NaN, NaN]	[NaN, NaN]		
"[""Boston Logan International Airport"", ""Boston Logan International Airport"", ""Logan International Airport"", ""Boston Logan International Airport"", ""Boston Logan International Airport"", ""Logan International Airport""]"	"[""Boston"", ""Boston""]"	"[""MA"", ""MA"", ""MA""]"	"[""BOS"", ""BOS"", ""BOS""]"	"[""Boston, Massachusetts, United States"", ""Boston, Massachusetts, United States""]"	"[""BOS/KBOS"", ""BOS/KBOS""]"	"[43.0, ""2.3%""]"	"[""25,512,086"", ""25,512,086""]"	43.0	2.0
"[""Portland International Jetport"", ""Portland International Jetport"", ""Portland International Jetport"", ""Portland International Jetport"", NaN]"	"[""Portland"", ""Portland""]"	"[""ME"", ""ME"", ""ME""]"	"[""PWM"", ""PWM"", ""PWM""]"	[NaN, NaN]	[NaN, NaN]	[NaN, NaN]	[NaN, NaN]		
"[""Gerald R. Ford International Airport"", ""Gerald R. Ford International Airport"", ""Gerald R. Ford International Airport"", ""Gerald R. Ford International Airport"", NaN]"	"[""Grand Rapids"", ""Grand Rapids""]"	"[""MI"", ""MI"", ""MI""]"	"[""GRR"", ""GRR"", ""GRR""]"	[NaN, NaN]	[NaN, NaN]	[NaN, NaN]	[NaN, NaN]		
"[""Chicago O\ufffdHare International Airport"", ""Chicago O\ufffdHare International Airport"", ""O'Hare International Airport"", ""Chicago O\ufffdHare International Airport"", ""Chicago O\ufffdHare International Airport"", ""O'Hare International Airport""]"	"[""Chicago"", ""Chicago""]"	"[""IL"", ""IL"", ""IL""]"	"[""ORD"", ""ORD"", ""ORD""]"	"[""Chicago, Illinois, United States"", ""Chicago, Illinois, United States""]"	"[""ORD/KORD"", ""ORD/KORD""]"	"[4.0, ""6.1%""]"	"[""64,158,343"", ""64,158,343""]"	4.0	2.0
"[""Cincinnati/Northern Kentucky International Airport"", ""Cincinnati/Northern Kentucky International Airport"", ""Cincinnati/Northern Kentucky International Airport"", ""Cincinnati/Northern Kentucky International Airport"", NaN]"	"[""Cincinnati"", ""Cincinnati""]"	"[""OH"", ""OH"", ""OH""]"	"[""CVG"", ""CVG"", ""CVG""]"	[NaN, NaN]	[NaN, NaN]	[NaN, NaN]	[NaN, NaN]		
"[""Cleveland Hopkins International Airport"", ""Cleveland Hopkins International Airport"", ""Cleveland Hopkins International Airport"", ""Cleveland Hopkins International Airport"", NaN]"	"[""Cleveland"", ""Cleveland""]"	"[""OH"", ""OH"", ""OH""]"	"[""CLE"", ""CLE"", ""CLE""]"	[NaN, NaN]	[NaN, NaN]	[NaN, NaN]	[NaN, NaN]		
"[""Dallas Love Field"", ""Dallas Love Field"", ""Dallas Love Field"", ""Dallas Love Field"", NaN]"	"[""Dallas"", ""Dallas""]"	"[""TX"", ""TX"", ""TX""]"	"[""DAL"", ""DAL"", ""DAL""]"	[NaN, NaN]	[NaN, NaN]	[NaN, NaN]	[NaN, NaN]		
"[""Dallas/Fort Worth International Airport"", ""Dallas-Fort Worth International Airport"", ""Dallas/Fort Worth International Airport"", ""Dallas/Fort Worth International Airport"", ""Dallas/Fort Worth International Airport"", ""Dallas-Fort Worth International Airport""]"	"[""Dallas"", ""Dallas""]"	"[""TX"", ""TX"", ""TX""]"	"[""DFW"", ""DFW"", ""DFW""]"	"[""Dallas/Fort Worth, Texas, United States"", ""Dallas/Fort Worth, Texas, United States""]"	"[""DFW/KDFW"", ""DFW/KDFW""]"	"[8.0, ""1.9%""]"	"[""56,030,457"", ""56,030,457""]"	8.0	1.0
"[""John F. Kennedy International Airport"", ""John F. Kennedy International Airport"", ""John F. Kennedy International Airport"", ""John F. Kennedy International Airport"", ""Taoyuan International Airport"", ""John F. Kennedy International Airport"", ""John F. Kennedy International Airport""]"	"[""New York"", ""New York""]"	"[""NY"", ""NY"", ""NY""]"	"[""JFK"", ""JFK"", ""JFK""]"	"[""Queens, New York City, New York, United States"", ""Taoyuan, Taiwan, Republic of China"", ""Queens, New York City, New York, United States""]"	"[""JFK/KJFK"", ""TPE"", ""JFK/KJFK""]"	"[12.0, ""9.0%"", ""3.9%""]"	"[""45,915,069"", ""19,158,638"", ""45,915,069""]"	12.0	1.0
"[""Memphis Airport"", ""Memphis Airport"", ""Memphis Airport"", ""Memphis Airport"", NaN]"	"[""Memphis"", ""Memphis""]"	"[""TN"", ""TN"", ""TN""]"	"[""MEM"", ""MEM"", ""MEM""]"	[NaN, NaN]	[NaN, NaN]	[NaN, NaN]	[NaN, NaN]		
"[""Mcghee Tyson Airport"", ""Mcghee Tyson Airport"", ""Mcghee Tyson Airport"", ""Mcghee Tyson Airport"", NaN]"	"[""Knoxville"", ""Knoxville""]"	"[""TN"", ""TN"", ""TN""]"	"[""TYS"", ""TYS"", ""TYS""]"	[NaN, NaN]	[NaN, NaN]	[NaN, NaN]	[NaN, NaN]		
"[""Nashville International Airport"", ""Nashville International Airport"", ""Nashville International Airport"", ""Nashville International Airport"", NaN]"	"[""Nashville"", ""Nashville""]"	"[""TN"", ""TN"", ""TN""]"	"[""BNA"", ""BNA"", ""BNA""]"	[NaN, NaN]	[NaN, NaN]	[NaN, NaN]	[NaN, NaN]		
"[""Piedmont Triad International Airport"", ""Piedmont Triad International Airport"", ""Piedmont Triad International Airport"", ""Piedmont Triad International Airport"", NaN]"	"[""Greensboro"", ""Greensboro""]"	"[""NC"", ""NC"", ""NC""]"	"[""GSO"", ""GSO"", ""GSO""]"	[NaN, NaN]	[NaN, NaN]	[NaN, NaN]	[NaN, NaN]		
