16	0	2	3	15	17	47	63	5001	5004	5006	100004	100005	100006	100009	100011	100012	100028
"[""Lake Murten"", ""Lake Murten"", ""Lake Murten /Lac de Morat /Murtensee"", NaN, ""Lake Murten"", ""Lake Murten"", NaN, ""Lake Murten /Lac de Morat /Murtensee"", NaN, NaN, NaN, NaN]"			[NaN, NaN, NaN, NaN, NaN]	"[""13 ?C"", ""15 ?C"", ""15 ?C"", ""13 ?C""]"	"[""429.33 m"", ""429.39 m"", ""429.39 m"", ""429.33 m""]"	"[""Canton of Fribourg/Vaud"", NaN, NaN, ""Switzerland"", ""Canton of Fribourg/Vaud""]"	[NaN, NaN, NaN, NaN]	[NaN, NaN]	[NaN, NaN]	[NaN, NaN]		[NaN, NaN, NaN]					
"[""Lake Neuch?tel"", ""Lake Neuch?tel"", ""Lake Neuch?tel / Lac de Neuch?tel / Neuenburgersee"", NaN, ""Lake Neuch?tel"", ""Lake Neuch?tel"", NaN, ""Lake Neuch?tel / Lac de Neuch?tel / Neuenburgersee"", NaN, NaN, NaN, NaN]"			[NaN, NaN, NaN, NaN, NaN]	"[""14 ?C"", ""15 ?C"", ""15 ?C"", ""14 ?C""]"	"[""429.33 m"", ""429.39 m"", ""429.39 m"", ""429.33 m""]"	"[NaN, NaN, NaN, ""Switzerland"", NaN]"	[NaN, NaN, NaN, NaN]	[NaN, NaN]	[NaN, NaN]	[NaN, NaN]		[NaN, NaN, NaN]					
"[""Lake Geneva"", ""Lake Geneva"", ""Lake Geneva"", NaN, ""Lake Geneva"", ""Lake Geneva"", NaN, ""Lake Geneva"", NaN, ""Lake Geneva"", ""Lac L\u00e9man, Lac de Gen\u00e8ve"", NaN]"			[NaN, NaN, NaN, 580.03, NaN]	"[""14 ?C"", ""13 ?C"", ""13 ?C"", ""14 ?C""]"	[NaN, NaN, NaN, NaN]	"[""Switzerland, France"", NaN, NaN, ""Switzerland, France"", ""Switzerland, France""]"	[NaN, NaN, NaN, 372.0]	[NaN, NaN]	[NaN, 1.0]	[NaN, NaN]		[NaN, 310.0, NaN]		N	Geneva, Vaud, Valais, France	Rhone	
"[""Lake Lucerne"", ""Lake Lucerne"", ""Lake Lucerne /Vierwaldst?ttersee"", NaN, ""Lake Lucerne"", ""Lake Lucerne"", NaN, ""Lake Lucerne /Vierwaldst?ttersee"", NaN, NaN, NaN, NaN]"			[NaN, NaN, NaN, NaN, NaN]	"[""13 ?C"", ""13 ?C"", ""13 ?C"", ""13 ?C""]"	"[""433.70 m"", ""433.69 m"", ""433.69 m"", ""433.70 m""]"	"[""Central Switzerland"", NaN, NaN, ""Switzerland"", ""Central Switzerland""]"	[NaN, NaN, NaN, NaN]	[NaN, NaN]	[NaN, NaN]	[NaN, NaN]		[NaN, NaN, NaN]					
"[""Lake Lugano"", ""Lake Lugano"", ""Lake Lugano /Lago di Lugano"", NaN, ""Lake Lugano"", ""Lake Lugano"", NaN, ""Lake Lugano /Lago di Lugano"", NaN, NaN, NaN, NaN]"			[NaN, NaN, NaN, NaN, NaN]	"[""16 ?C"", ""17 ?C"", ""17 ?C"", ""16 ?C""]"	[NaN, NaN, NaN, NaN]	"[""Ticino, Lombardy"", NaN, NaN, ""Switzerland, Italy"", ""Ticino, Lombardy""]"	[NaN, NaN, NaN, NaN]	[NaN, NaN]	[NaN, NaN]	[NaN, NaN]		[NaN, NaN, NaN]					
"[""Lake Maggiore"", ""Lake Maggiore"", ""Lake Maggiore / Verbano / Lago Maggiore"", NaN, ""Lake Maggiore"", ""Lake Maggiore"", NaN, ""Lake Maggiore / Verbano / Lago Maggiore"", NaN, NaN, NaN, NaN]"			[NaN, NaN, NaN, NaN, NaN]	"[""16 ?C"", ""17 ?C"", ""17 ?C"", ""16 ?C""]"	"[""194.01 m"", ""194.01 m"", ""194.01 m"", ""194.01 m""]"	"[""Lombardy and Piedmont, Italy, Canton Ticino, Switzerland"", NaN, NaN, ""Italy, Switzerland"", ""Lombardy and Piedmont, Italy, Canton Ticino, Switzerland""]"	[NaN, NaN, NaN, NaN]	[NaN, NaN]	[NaN, NaN]	[NaN, NaN]		[NaN, NaN, NaN]					
"[""Greifensee"", ""Greifensee"", ""Greifensee"", NaN, ""Greifensee"", ""Greifensee"", NaN, ""Greifensee"", NaN, ""Greifensee"", ""Greifensee"", NaN]"			"[NaN, NaN, NaN, ""Aug 17"", NaN]"	"[""14 ?C"", ""17 ?C"", ""17 ?C"", ""14 ?C""]"	"[""435.13 m"", ""435.16 m"", ""435.16 m"", ""435.13 m""]"	"[""Canton of Zurich"", NaN, NaN, ""Switzerland"", ""Canton of Zurich""]"	[NaN, NaN, NaN, 435.1]	[NaN, NaN]	[NaN, 20.0]	[NaN, NaN]		[NaN, 34.0, NaN]		N	Zurich	Rhine	
"[""Ontariosee"", ""Lake Ontario"", ""Lake Ontario"", ""Lake Ontario"", NaN, NaN, ""Ontariosee"", ""Lake Ontario"", ""Lake Ontario"", NaN, NaN, NaN]"	75.0	not available	"[""10 000"", ""10 000"", ""7,340\u00a0sq\u00a0mi (19,000\u00a0km2)"", NaN, 244.0]"	[NaN, NaN, NaN]	[NaN, NaN, NaN]	"[""North America"", NaN, ""USA-Kanada"", ""Canada, United States"", ""North America""]"	"[""244"", 75, 244, ""246\u00a0ft (75\u00a0m)"", NaN]"	"[311, ""Lake Ontario""]"	[13.0, NaN]	"[1639, ""393\u00a0cu\u00a0mi (1,640\u00a0km3)""]"	283 ft (86 m)	"[""804\u00a0ft (245\u00a0m)"", NaN, 311.0]"	['Hamilton, ON','Kingston, ON','Mississauga, ON','Oshawa, ON','Rochester, NY','Toronto, ON']				
"[""Iliamna Lake"", ""Iliamna-Lake"", NaN, NaN, NaN, ""Iliamna-Lake"", ""Iliamna Lake"", NaN, NaN, NaN, NaN]"			[NaN, NaN, NaN, NaN, NaN]	[NaN, NaN, NaN]	[NaN, NaN, NaN]	"[""Lake and Peninsula Borough, Alaska"", NaN, ""USA"", ""United States"", ""Lake and Peninsula Borough, Alaska""]"	"["">150"", "">150"", NaN, NaN]"	[120, NaN]	[46.0, NaN]	"[""-"", NaN]"		[NaN, NaN, NaN]					
"[""Lake Superior"", ""Lake Superior"", ""Oberer-See"", ""Lake Superior"", NaN, NaN, ""Oberer-See"", ""Lake Superior"", ""Lake Superior"", NaN, NaN, NaN]"	184.0	not available	"[""28 700*"", ""28 700*"", ""31,700\u00a0sq\u00a0mi (82,000\u00a0km2)"", NaN, 406.0]"	[NaN, NaN, NaN]	[NaN, NaN, NaN]	"[""North America"", NaN, ""USA-Kanada"", ""Canada, United States"", ""North America""]"	"[184, ""405"", 405, ""600.0\u00a0ft (182.9\u00a0m)"", NaN]"	"[616, ""Lake Superior""]"	[2.0, NaN]	"[12.1, ""2,900\u00a0cu\u00a0mi (12,000\u00a0km3)""]"	483 ft (147 m)	"[""1,333\u00a0ft (406\u00a0m)"", NaN, 563.0]"	['Duluth, MN','Marquette, MI','Sault Ste. Marie, MI','Sault Ste. Marie, ON','Superior, WI','Thunder Bay, ON']				
"[""Lake Huron"", ""Lake Huron"", ""Huronsee"", ""Lake Huron"", NaN, NaN, ""Huronsee"", ""Lake Huron"", ""Lake Huron"", NaN, NaN, NaN]"	177.0	not available	"[""36 000*"", ""36 000*"", ""23,000\u00a0sq\u00a0mi (60,000\u00a0km2)"", NaN, 229.0]"	[NaN, NaN, NaN]	[NaN, NaN, NaN]	"[""North America"", NaN, ""USA-Kanada"", ""Canada, United States"", ""North America""]"	"[177, ""229"", 229, ""577\u00a0ft (176\u00a0m)"", NaN]"	"[397, ""Lake Huron""]"	[4.0, NaN]	"[3540, ""850\u00a0cu\u00a0mi (3,500\u00a0km3)""]"	195 ft (59 m)	"[""748\u00a0ft (228\u00a0m)"", NaN, 332.0]"	['Alpena, MI','Bay City, MI','Owen Sound, ON','Port Huron, MI','Sarnia, ON']				
"[""Lake Zug / Zugersee"", ""Lake Zug"", ""Lake Zug"", NaN, ""Lake Zug"", ""Lake Zug"", NaN, ""Lake Zug / Zugersee"", NaN, NaN, NaN, NaN]"			[NaN, NaN, NaN, NaN, NaN]	"[""14 ?C"", ""13 ?C"", ""14 ?C"", ""13 ?C""]"	"[""413.51 m"", ""413.50 m"", ""413.51 m"", ""413.50 m""]"	"[NaN, NaN, NaN, ""Switzerland"", NaN]"	[NaN, NaN, NaN, NaN]	[NaN, NaN]	[NaN, NaN]	[NaN, NaN]		[NaN, NaN, NaN]					
"[""Wostoksee"", ""Lake Vostok"", NaN, NaN, NaN, ""Wostoksee"", ""Lake Vostok"", NaN, NaN, NaN, NaN]"			[NaN, NaN, NaN, NaN, NaN]	[NaN, NaN, NaN]	[NaN, NaN, NaN]	"[NaN, NaN, ""Antarktis"", ""Antarctica"", NaN]"	[1000, 1000, NaN, NaN]	[250, NaN]	[17.0, NaN]	[5400, NaN]		[NaN, NaN, NaN]					
"[""Lac-Seul"", ""Lac Seul"", ""Lac Seul"", NaN, NaN, ""Lac-Seul"", NaN, NaN, NaN, NaN, NaN]"	357.0	1 373	"[""1 657"", ""1 657"", NaN, NaN, NaN]"	[NaN, NaN, NaN]	[NaN, NaN, NaN]	"[NaN, NaN, ""Kanada"", NaN, NaN]"	"[""47"", 357, 47, NaN, NaN]"	[241, NaN]	[75.0, NaN]	"[""-"", NaN]"		[NaN, NaN, NaN]					
"[""Lake Thun"", ""Lake Thun / Thunersee"", ""Lake Thun"", NaN, ""Lake Thun"", ""Lake Thun"", NaN, ""Lake Thun / Thunersee"", NaN, NaN, NaN, NaN]"			[NaN, NaN, NaN, NaN, NaN]	"[""14 ?C"", ""12 ?C"", ""14 ?C"", ""12 ?C""]"	"[""557.75 m"", ""557.70 m"", ""557.75 m"", ""557.70 m""]"	"[""Canton of Berne"", NaN, NaN, ""Switzerland"", ""Canton of Berne""]"	[NaN, NaN, NaN, NaN]	[NaN, NaN]	[NaN, NaN]	[NaN, NaN]		[NaN, NaN, NaN]					
"[""Walensee"", ""Lake Walen /Walensee / Lake Walenstadt"", ""Walensee"", NaN, ""Walensee"", ""Walensee"", NaN, ""Lake Walen /Walensee / Lake Walenstadt"", NaN, NaN, NaN, NaN]"			[NaN, NaN, NaN, NaN, NaN]	"[""13 ?C"", ""11 ?C"", ""13 ?C"", ""11 ?C""]"	"[""419.99 m"", ""419.97 m"", ""419.99 m"", ""419.97 m""]"	"[""St. Gallen, Glarus"", NaN, NaN, ""Switzerland"", ""St. Gallen, Glarus""]"	[NaN, NaN, NaN, NaN]	[NaN, NaN]	[NaN, NaN]	[NaN, NaN]		[NaN, NaN, NaN]					
"[""Lake Zurich"", ""Lake Zurich"", ""Lake Zurich / Z?richsee"", NaN, ""Lake Zurich"", ""Lake Zurich"", NaN, ""Lake Zurich / Z?richsee"", NaN, NaN, NaN, NaN]"			[NaN, NaN, NaN, NaN, NaN]	"[""15 ?C"", ""13 ?C"", ""15 ?C"", ""13 ?C""]"	"[""405.86 m"", ""405.85 m"", ""405.86 m"", ""405.85 m""]"	"[NaN, NaN, NaN, ""Switzerland"", NaN]"	[NaN, NaN, NaN, NaN]	[NaN, NaN]	[NaN, NaN]	[NaN, NaN]		[NaN, NaN, NaN]					
"[""Lake-Champlain"", ""Lake Champlain"", NaN, NaN, NaN, ""Lake-Champlain"", ""Lake Champlain"", NaN, NaN, NaN, NaN]"			[NaN, NaN, NaN, NaN, NaN]	[NaN, NaN, NaN]	[NaN, NaN, NaN]	"[""North America"", NaN, ""USA-Kanada"", ""Canada, United States"", ""North America""]"	[121, 121, NaN, NaN]	[180, NaN]	[92.0, NaN]	"[""-"", NaN]"		[NaN, NaN, NaN]					
"[""P?ij?nne"", ""P?ij?nne"", NaN, NaN, NaN, ""P?ij?nne"", ""P?ij?nne"", NaN, NaN, NaN, NaN]"			[NaN, NaN, NaN, NaN, NaN]	[NaN, NaN, NaN]	[NaN, NaN, NaN]	"[NaN, NaN, ""Finnland"", ""Finland"", NaN]"	[95, 95, NaN, NaN]	"[""-"", NaN]"	[98.0, NaN]	"[""-"", NaN]"		[NaN, NaN, NaN]					
