43	1	86	92	1000	5000	5002	5003	5004	5005
"[""Physical Review Letters"", ""PHYSICAL REVIEW LETTERS"", NaN, NaN, ""Physical Review Letters"", NaN, ""PHYSICAL REVIEW LETTERS""]"	[NaN, NaN, NaN]	[NaN, NaN, NaN, 27.0, NaN]	"[202, ""No Specific Information"", 202.0]"	[NaN, NaN]	No Specific Information	Yes	No Specific Policy	AMERICAN PHYSICAL SOCIETY	No Specific Information
"[""WALL STREET JOURNAL USA"", ""WALL STREET JOURNAL USA"", NaN, ""WALL STREET JOURNAL USA"", NaN, ""WALL STREET JOURNAL USA"", NaN]"	[NaN, 5.5, 3.4]	[11.0, 5.5, NaN, 14.0, NaN, 11.0]	[NaN, NaN]	[NaN, NaN]					
"[""NATURE"", ""Nature"", NaN, NaN, ""Nature"", NaN, ""NATURE""]"	[NaN, NaN, NaN]	[NaN, NaN, NaN, 2.0, NaN]	"[""6"", 1732, 1732.0]"	[NaN, NaN]	6	Yes	Yes	NATURE PUBLISHING GROUP	Publisher OR Author
"[""MOLECULAR AND CELLULAR BIOLOGY"", ""Molecular and Cellular Biology"", NaN, NaN, ""Molecular and Cellular Biology"", NaN, ""MOLECULAR AND CELLULAR BIOLOGY""]"	[NaN, NaN, NaN]	[NaN, NaN, NaN, 17.0, NaN]	"[""6"", 312, 312.0]"	[NaN, NaN]	6	No Specific Information	Yes	AMERICAN SOCIETY FOR MICROBIOLOGY	Publisher Only
"[""MONTHLY NOTICES OF THE ROYAL ASTRONOMICAL SOCIETY"", ""Monthly Notices of the Royal Astronomical Society"", NaN, NaN, ""Monthly Notices of the Royal Astronomical Society"", NaN, ""MONTHLY NOTICES OF THE ROYAL ASTRONOMICAL SOCIETY""]"	[NaN, NaN, NaN]	[NaN, NaN, NaN, 32.0, NaN]	"[""12"", 181, 181.0]"	[NaN, NaN]	12	Yes	Yes	WILEY-BLACKWELL	Publisher Only
"[""The Journal of Immunology"", ""JOURNAL OF IMMUNOLOGY"", NaN, NaN, ""The Journal of Immunology"", NaN, ""JOURNAL OF IMMUNOLOGY""]"	[NaN, NaN, NaN]	[NaN, NaN, NaN, 48.0, NaN]	"[130, ""12"", 130.0]"	[NaN, NaN]	12	No Specific Information	Yes	AMERICAN ASSOCIATION OF IMMUNOLOGISTS	Author Only
"[""Science"", ""SCIENCE"", NaN, NaN, ""Science"", NaN, ""SCIENCE""]"	[NaN, NaN, NaN]	[NaN, NaN, NaN, 1.0, NaN]	"[1780, ""6"", 1780.0]"	[NaN, NaN]	6	No Specific Information	Yes	AMERICAN ASSOCIATION FOR THE ADVANCEMENT OF SCIENCE	Author Only
"[""Journal of Geophysical Research"", ""JOURNAL OF GEOPHYSICAL RESEARCH-ATMOSPHERES"", NaN, NaN, ""Journal of Geophysical Research"", NaN, ""JOURNAL OF GEOPHYSICAL RESEARCH-ATMOSPHERES""]"	[NaN, NaN, NaN]	[NaN, NaN, NaN, 67.0, NaN]	"[105, ""No Specific Information"", 105.0]"	[NaN, NaN]	No Specific Information	Yes	No Specific Policy	AMERICAN GEOPHYSICAL UNION	No Specific Information
"[""Dainik Jagran"", ""Dainik Jagran"", ""Dainik Jagran"", ""Dainik Jagran"", ""Dainik Jagran"", NaN, ""Dainik Jagran"", NaN]"	[27.5, 30.25, 15.4]	[1.0, 30.25, 1.0, 1.0, 1.0, NaN, 1.0]	[NaN, NaN]	[NaN, NaN]					
"[""Dinakaran"", ""Dinakaran"", ""Dinakaran"", ""Dinakaran"", NaN, NaN, NaN]"	[5.0, 5.0, NaN]	[5.0, 5.0, 5.0, 18.0, NaN, NaN]	[NaN, NaN]	[NaN, NaN]					
"[""More Media >>"", ""More Media >>"", ""More Media >>"", ""More Media >>"", ""More Media >>"", NaN, ""More Media >>"", NaN]"	[NaN, NaN, NaN]	[NaN, NaN, NaN, NaN, NaN, NaN, NaN]	[NaN, NaN]	[NaN, NaN]					
"[""IBN live"", ""IBN live"", NaN, ""IBN live"", NaN, ""IBN live"", NaN]"	[NaN, 5.5, 2.8]	[16.0, 5.5, NaN, 13.0, NaN, 16.0]	[NaN, NaN]	[NaN, NaN]					
"[""Dainik Bhaskar"", ""Dainik Bhaskar"", ""Dainik Bhaskar"", ""Dainik Bhaskar"", ""Dainik Bhaskar"", NaN, ""Dainik Bhaskar"", NaN]"	[14.0, 24.8, 14.0]	[2.0, 2.0, 24.8, 2.0, 3.0, NaN, 2.0]	[NaN, NaN]	[NaN, NaN]					
"[""BIOCHEMICAL AND BIOPHYSICAL RESEARCH COMMUNICATIONS"", ""Biochemical and Biophysical Research Communications"", NaN, NaN, ""Biochemical and Biophysical Research Communications"", NaN, ""BIOCHEMICAL AND BIOPHYSICAL RESEARCH COMMUNICATIONS""]"	[NaN, NaN, NaN]	[NaN, NaN, NaN, 58.0, NaN]	"[""12"", 117, 117.0]"	[NaN, NaN]	12	Yes	Yes	ELSEVIER	Publisher Only
"[""AMERICAN JOURNAL OF GASTROENTEROLOGY"", ""The American Journal of Gastroenterology"", NaN, NaN, ""The American Journal of Gastroenterology"", NaN, ""AMERICAN JOURNAL OF GASTROENTEROLOGY""]"	[NaN, NaN, NaN]	[NaN, NaN, NaN, 60.0, NaN]	"[""6"", 110, 110.0]"	[NaN, NaN]	6	Yes	Yes	NATURE PUBLISHING GROUP	Publisher OR Author
"[""foxnews"", ""foxnews"", ""foxnews"", NaN, NaN, ""foxnews"", NaN]"	[3.0, NaN, 3.3]	[12.0, 10.0, 10.0, NaN, NaN, 12.0]	[NaN, NaN]	[NaN, NaN]					
"[""Times of India"", ""Times of India"", NaN, ""Times of India"", NaN, ""Times of India"", NaN]"	[NaN, 12.0, 4.8]	[6.0, 12.0, NaN, 6.0, NaN, 6.0]	[NaN, NaN]	[NaN, NaN]					
"[""USA Today"", ""USA Today"", ""USA Today"", NaN, NaN, ""USA Today"", NaN]"	[2.0, NaN, 2.525]	[17.0, 17.0, 17.0, NaN, NaN, 17.0]	[NaN, NaN]	[NaN, NaN]					
"[""Journal of the American Chemical Society"", ""JOURNAL OF THE AMERICAN CHEMICAL SOCIETY"", NaN, NaN, ""Journal of the American Chemical Society"", NaN, ""JOURNAL OF THE AMERICAN CHEMICAL SOCIETY""]"	[NaN, NaN, NaN]	[NaN, NaN, NaN, 15.0, NaN]	"[358, ""12"", 358.0]"	[NaN, NaN]	12	Yes	Yes	AMERICAN CHEMICAL SOCIETY	Publisher OR Author
"[""The New York Times"", ""New York Times"", NaN, NaN, ""The New York Times"", ""New York Times"", NaN]"	[NaN, NaN, 3.25]	[13.0, NaN, NaN, 31.0, 13.0]	[185, 185.0]	[NaN, NaN]					
"[""JOURNAL OF VIROLOGY"", ""The Journal of Virology"", NaN, NaN, ""The Journal of Virology"", NaN, ""JOURNAL OF VIROLOGY""]"	[NaN, NaN, NaN]	[NaN, NaN, NaN, 29.0, NaN]	"[""6"", 188, 188.0]"	[NaN, NaN]	6	No Specific Information	Yes	AMERICAN SOCIETY FOR MICROBIOLOGY	Publisher Only
"[""Malayala Manorama"", ""Malayala Manorama"", ""Malayala Manorama"", NaN, NaN, ""Malayala Manorama"", NaN]"	[4.0, NaN, 4.0]	[9.0, 6.0, 6.0, NaN, NaN, 9.0]	[NaN, NaN]	[NaN, NaN]					
"[""Dina Thanthi"", ""Dina Thanthi"", ""Dina Thanthi"", ""Dina Thanthi"", NaN, NaN, NaN]"	[2.1, 7.0, NaN]	[7.0, 14.0, 14.0, 9.0, NaN, NaN]	[NaN, NaN]	[NaN, NaN]					
"[""Dinamalar"", ""Dinamalar"", ""Dinamalar"", ""Dinamalar"", ""Dinamalar"", NaN, ""Dinamalar"", NaN]"	[3.5, 5.0, 3.5]	[8.0, 5.0, 10.0, 8.0, 17.0, NaN, 10.0]	[NaN, NaN]	[NaN, NaN]					
"[""Punjab Kesari"", ""Punjab Kesari"", ""Punjab Kesari"", ""Punjab Kesari"", NaN, NaN, NaN]"	[1.75, 5.0, NaN]	[5.0, 20.0, 20.0, 16.0, NaN, NaN]	[NaN, NaN]	[NaN, NaN]					
