19	abun- dance	category	scientific name	season
long-eared owl			asio otus	b
purple martin	fc	bird	progne subis	b
song sparrow	c	bird	melospiza melodia	b
rose-breasted grosbeak	x	bird	pheucticus ludovicianus	b
red-winged blackbird	c	bird	agelaius phoeniceus	b
ruby-throated hummingbird		bird	archilochus colubris	b
evening grosbeak		bird	coccothraustes vespertinus	w
scissor-tailed flycatcher	x	bird	tyrannus forficatus	
brown creeper	c	bird	certhia americana	b
american redstart		bird	setophaga ruticilla	b
barn owl	r	bird	tyto alba	b
grasshopper sparrow	x	bird	ammodramus savannarum	b
american woodcock		bird	scolopax minor	b
sedge wren		bird	cistothorus platensis	b
savannah sparrow	fc	bird	passerculus sandwichensis	b
ovenbird		bird	seiurus aurocapillus	b
blue grosbeak		bird	guiraca caerulea	b
yellow-throated vireo		bird	vireo flavifrons	b
loggerhead shrike	r	bird	lanius ludovicianus	b
fox sparrow	fc	bird	passerella iliaca	w
eastern meadowlark		bird	sturnella magna	b
eastern screech owl				
white-eyed vireo		bird	vireo griseus	b
roughleg				
ruby-crowned kinglet	fc	bird	regulus calendula	w
blackburnian warbler		bird	dendroica fusca	b
hooded warbler		bird	wilsonia citrina	b
pine siskin	fc		carduelis pinus	w
chipping sparrow	u	bird	spizella passerina	b
common nighthawk	r	bird	chordeiles minor	b
blue-winged warbler		bird	vermivora pinus	b
lark sparrow		bird	chondestes grammacus	b
carolina wren		bird	thryothorus ludovicianus	b
belted kingfisher	c	bird	ceryle alcyon	b
eastern kingbird		bird	tyrannus tyrannus	b
ruffed grouse		bird	bonasa umbellus	b
hermit thrush	c	bird	catharus guttatus	w
eastern towhee		bird	pipilo erythrophthalmus	b
wilson's warbler	c	bird	wilsonia pusilla	
