?	alt (ft)	alt (m)	appears in	area	country	grid ref	guide	height (ft)??	height (m)??	map	no	trips
1	1,718	524	the far eastern fells	far e fells	bonscale pike	ny453200	fe	1719	524	ne	160	-
4	2,630	802	the western fells	w fells	kirk fell	ny 195 105	w	2631	802	nw	33	12
6	2,333	711	the far eastern fells	far e fells	branstree	ny477100	fe	2339	713	se	81	12
2	1,424	434	the eastern fells	e fells	arnison crag	ny 394 150	e	1421	433	ne	194	1
3			the eastern fells	e fells	st sunday crag	ny369134		2759	841		22	1
3	2,159	658	the north western fells	nw fells	whiteless pike	ny 180 189	nw	2165	660	nw	106	-
10	2,351	717	the central fells	c fells	thunacar knott	ny 279 080	c	2372	723	sw	76	123456789
1	1,191	363	the far eastern fells	far e fells	troutbeck tongue	ny422064	fe	1194	364	se	207	-
	1,747	532	the far eastern fells		arthur's pike	ny 461 206	fe	1749	533	ne	157	
7	2,569	783	the far eastern fells	far e fells	thornthwaite crag	ny 431 100	fe	2572	784	ne	44	1234
7	2,288	697	the western fells	w fells	caw fell	ny131109	w	2287	697	nw	88	1234
1	1,995	608	the central fells	c fells	high seat	ny287180	c	1995	608	nw	128	-
1	1,920	585	the northern fells	n fells	brae fell	ny289351	n	1923	586	nw	133	-
1	1,568	478	the far eastern fells	far e fells	sour howes	ny 142 157	fe	1585	483	se	179	-
2				far e fells	the knott	ny437127		2425	739		66	1
3	2,286	697	the far eastern fells	far e fells	gray crag	ny427117	fe	2293	699	ne	90	-
	2,140	652	the southern fells		harter fell (eskdale)	sd 218 997	s	2146	654	sw	112	
4	2,863	873	the eastern fells	e fells	fairfield	ny358117	e	2864	873	ne	13	1
2	1,101	336	the central fells	c fells	loughrigg fell	ny347051	c	1099	335	se	211	1
2	2,499	762	the southern fells	s fells	slight side	ny 369 134	s	2500	762	sw	57	1
6	2,417	737	the north western fells	nw fells	robinson	ny 257 124	nw	2418	737	nw	67	1234
3	1,379	420	the central fells	c fells	gibson knott	ny317100	c	1378	420	se	197	1
	2,157	658	the northern fells		high pike (caldbeck)	ny 319 350	n	2159	658	ne	107	
1	2,131	650	the northern fells	n fells	great sca fell	ny 291 339	n	2136	651	nw	113	-
5	2,816	858		s fells	crinkle crags	ny 249 049	s	2818	859	sw	17	1234
3	2,058	627	the western fells	w fells	yewbarrow	ny 173 085	w	2057	627	sw	122	1
3	1,665	507	the central fells	c fells	high tove	ny 289 165	c	1690	515	nw	167	1
6			the southern fells	s fells	the old man of coniston	sd272978		2635	803		31	1234
3	2,205	672	the north western fells	nw fells	scar crags	ny 140 084	nw	2205	672	nw	101	12
3	1,775	541	the western fells	w fells	lank rigg	ny 278 247	w	1775	541	nw	152	1
1	1,857	566	the far eastern fells	far e fells	angletarn pikes	ny414148	fe	1860	567	ne	143	-
	1,970	600	the southern fells		seathwaite fell	ny 273 114	s	1972	601	nw	130	
1	1,720	524	the northern fells	n fells	great cockup	ny 273 333	n	1726	526	nw	158	-
1	1,450	442	the eastern fells	e fells	nab scar	ny356073	e	1476	450	se	190	-
					pike o' blisco							
3	2,265	690	the northern fells	n fells	great calva	ny 291 312	n	2264	690	nw	95	1
4	2,329	710	the northern fells	n fells	knott	ny296329	n	2329	710	nw	82	1
1	1,657	505	the eastern fells	e fells	little mell fell	ny423240	e	1657	505	ne	172	-
5	2,889	881	the eastern fells	e fells	raise	ny 167 183	e	2897	883	ne	12	12
2	1,163	354		c fells	high rigg	ny 308 220	c	1171	357	nw	208	-
1			the northern fells	n fells	mungrisdale common	ny311293		2077	633		122	-
9	2,927	892	the western fells	w fells	pillar	ny171121	w	2927	892	nw	8	1234
5	2,807	856	the eastern fells	e fells	great dodd	ny 342 206	e	2812	857	ne	19	12
3	2,837	865	the northern fells	n fells	skiddaw little man	ny 354 287	n	2838	865	nw	15	1
2	1,234	376	the central fells	c fells	walla crag	ny 276 213	c	1234	376	nw	204	-
5	2,381	726	the eastern fells	e fells	clough head	ny 334 225	e	2382	726	ne	74	12
1	1,842	561	the far eastern fells	far e fells	brock crags	ny 417 137	fe	1841	561	ne	144	-
5	2,288	697	the central fells	c fells	pavey ark	ny284079	c	2297	700	sw	89	123
6	1,983	604	the southern fells	s fells	illgill head	ny169049	s	1998	609	sw	128	12345
1	1,494	455	the north western fells	nw fells	barrow	ny227218	nw	1493	455	nw	187	-
5	2,698	822	the eastern fells	e fells	hart crag	ny 369 112	e	2697	822	ne	27	12
1	1,170	357	the north western fells	nw fells	sale fell	ny195297	nw	1178	355	nw	208	-
3	2,040	622	the eastern fells	e fells	birks	ny 382 145	e	2041	622	ne	123	1
5	2,126	648	the western fells	w fells	fleetwith pike	ny205141	w	2126	648	nw	114	123
1	1,661	506	the western fells	w fells	hen comb	ny 132 181	w	1670	509	nw	170	-
4	2,832	863	the eastern fells	e fells	white side	ny 337 167	e	2831	863	ne	16	1
5	1,676	511	the western fells	w fells	mellbreak	ny148186	w	1680	512	nw	166	1
4	2,259	689	the southern fells	s fells	cold pike	ny262035	s	2300	701	sw	88	123
1	1,466	447	the northern fells	n fells	binsey	ny 225 356	n	1467	447	nw	191	-
1	1,040	317	the southern fells	s fells	holme fell	ny 315 006	s	1040	317	sw	213	-
1	1,425	434	the eastern fells	e fells	glenridding dodd	ny380175	e	1450	442	ne	193	-
1	1,612	491		n fells	dodd	ny 244 273	n	1647	502	nw	174	-
5	2,611	796	the southern fells	s fells	brim fell	sd 271 986	s	2612	796	sw	36	1234
4	2,593	790	the north western fells	nw fells	grisedale pike	ny 198 226	nw	2595	791	nw	40	12
	2,500	762			high raise (langdale)	ny 281 095	c			nw	57	
5	2,019	615	the western fells	w fells	great borne	ny 124 164	w	2021	616	nw	125	12
5	2,496	761	the far eastern fells	far e fells	mardale ill bell	ny448101	fe	2493	760	ne	59	1233
4	2,414	736	the central fells	c fells	sergeant man	ny286089	c	2415	736	sw	68	123
5	2,525	770	the north western fells	nw fells	hopegill head	ny185221	nw	2526	770	nw	53	1
2	1,292	394	the central fells	c fells	silver how	ny 210 050	c	1296	395	sw	202	1
2	2,420	738	the northern fells	n fells	carl side	ny 254 281	n	2448	746	nw	64	1
3	1,755	535		s fells	whin rigg	ny 151 034	s	1755	535	sw	156	12
6	2,143	653	the north western fells	nw fells	high spy	ny234162	nw	2142	653	nw	113	123
4	2,502	763	the southern fells	s fells	wetherlam	ny 288 011	s	2503	763	sw	56	123
1	2,350	716	the eastern fells	e fells	birkhouse moor	ny363159	e	2356	718	ne	77	-
2	2,018	615	the far eastern fells	far e fells	hartsop dodd	ny 412 118	fe	2028	618	ne	125	-
			the far eastern fells		harter fell (mardale)			2552	778			
1	1,271	387	the far eastern fells	far e fells	hallin fell	ny433198	fe	1273	388	ne	203	-
	3,162	964	the southern fells		scafell	ny 160 114	s	3163	964	sw	2	
4	2,560	780	the far eastern fells	far e fells	kidsty pike	ny 448 126	fe	2559	780	ne	46	123
5	2,339	713	the far eastern fells	far e fells	froswick	ny435085	fe	2362	720	se	77	123
3	1,299	396	the central fells	c fells	helm crag	ny 326 093	c	1299	396	se	201	1
3	1,580	482	the western fells	w fells	burnbank fell	ny 110 210	w	1558	475	nw	179	1
					nab, the							
1	1,863	568	the north western fells	nw fells	outerside	ny211215	nw	1864	568	nw	141	-
5	2,344	714	the western fells	w fells	brandreth	ny 215 120	w	2346	715	nw	78	1234
5	2,603	793	the eastern fells	e fells	dove crag	ny 374 104	e	2598	792	ne	37	12
1	2,189	667	the northern fells	n fells	bakestall	ny266307	n	2208	673	nw	100	-
2	1,670	509	the north western fells	nw fells	broom fell	ny195271	nw	1677	511	nw	167	-
8	2,473	754	the north western fells	nw fells	dale head	ny223153	nw	2470	753	nw	63	123456
6	2,960	902		s fells	bow fell	ny 244 064	s	2959	902	sw	6	1234
1	1,570	479	the central fells	c fells	armboth fell	ny 297 159	c	1572	479	nw	182	-
2	2,201	671	the far eastern fells	far e fells	loadpot hill	ny 277 071	fe	2201	671	ne	102	-
1	2,270	692	the central fells	c fells	loft crag	ny 249 284	c	2231	680	sw	93	-
3	1,720	524	the western fells	w fells	gavel fell	ny117184	w	1726	526	nw	158	1
4	2,847	868		n fells	blencathra	ny 323 277	n	2848	868	ne	14	12
3	2,306	703	the northern fells	n fells	bowscale fell	ny333305	n	2303	702	nw	86	12
2	1,811	552	the north western fells	nw fells	lord's seat	ny 347 051	nw	1811	552	nw	146	-
6	1,900	579		w fells	haystacks	ny194132	w	1959	597	nw	135	1234
3	2,230	680	the northern fells	n fells	bannerdale crags	ny 336 290	n	2241	683	nw	103	12
			the central fells		sergeant's crag			1873	571			
5	1,803	550	the southern fells	s fells	hard knott	ny 232 024	s	1801	549	sw	148	1234
4	1,691	515	the far eastern fells	far e fells	sallows	ny 209 207	fe	1693	516	se	166	123
2	2,344	714	the northern fells	n fells	lonscale fell	ny 204 265	n	2346	715	nw	79	1
			the western fells		high crag (buttermere)			2441	744			
2	2,513	766	the eastern fells	e fells	great rigg	ny355103	e	2513	766	ne	54	-
4	2,085	636	the western fells	w fells	starling dodd	ny141157	w	2077	633	nw	121	12
2	2,210	674	the far eastern fells	far e fells	wether hill	ny 455 167	fe	2198	670	ne	100	-
3	3,054	931	the northern fells	n fells	skiddaw	ny 428 032	n	3054	931	nw	4	1
2	1,870	570	the eastern fells	e fells	hartsop above how	ny385121	e	1870	581	ne	140	1
4	2,791	851	the north western fells	nw fells	grasmoor	ny174203	nw	2795	852	nw	20	12
3	2,174	663	the northern fells	n fells	carrock fell	ny 342 337	n	2175	663	nw	105	1
3	2,649	807	the southern fells	s fells	lingmell	ny 303 046	s	2648	807	sw	29	12
1	1,680	512	the northern fells	n fells	souther fell	ny355291	n	1713	522	ne	165	-
9	2,760	841	the western fells	w fells	scoat fell	ny 229 102	w	2759	841	nw	22	123456
1	1,770	539	the northern fells	n fells	meal fell	ny 148 195	n	1804	550	nw	150	-
5	1,762	537	the central fells	c fells	calf crag	ny 301 104	c	1762	537	nw	154	12
3	2,533	772	the north western fells	nw fells	wandope	ny188197	nw	2533	772	nw	51	1
	2,176	663			tarn crag (longsleddale)	ny 434 152	fe			se	104	
8	2,903	885	the southern fells	s fells	esk pike	ny 230 075	s	2904	885	sw	11	12345
1	2,106	642	the eastern fells	e fells	middle dodd	ny397096	e	2146	654	se	112	-
3	1,926	587	the far eastern fells	far e fells	shipman knotts	ny 266 278	fe	1926	587	se	132	12
4	2,287	697	the western fells	w fells	grey knotts	ny 217 126	w	2287	697	nw	90	123
1	1,650	503	the central fells	c fells	eagle crag	ny 275 121	c	1722	525	nw	160	-
2	2,230	680	the northern fells	n fells	ullock pike	ny244288	n	2264	690	nw	99	1
3	2,536	773	the southern fells	s fells	grey friar	ny259003	s	2536	773	sw	50	12
11	2,718	828	the far eastern fells	far e fells	high street	ny 440 109	fe	2717	828	ne	25	1234567
5	2,479	756	the western fells	w fells	red pike (buttermere)	ny160154	w	2477	755	nw	61	123
9	2,984	910	the southern fells	s fells	great end	ny 227 083	s	2986	910	sw	5	1234567
3	2,370	722	the central fells	c fells	ullscarf	ny291121	c	2382	726	nw	75	1
1	1,702	519	the eastern fells	e fells	high hartsop dodd	ny393107	e	1703	519	ne	162	-
1	1,203	367	the northern fells	n fells	latrigg	ny 180 286	n	1204	367	nw	206	-
3	1,790	546	the north western fells	nw fells	knott rigg	ny197187	nw	1824	556	nw	145	12
5	2,630	802	the southern fells	s fells	swirl how	ny 488 078	s	2631	802	sw	33	1234
2	2,415	736	the eastern fells	e fells	seat sandal	ny343115	e	2415	736	ne	68	1
4	2,575	785	the southern fells	s fells	great carrs	ny270008	s	2575	785	sw	42	123
3	2,476	755	the far eastern fells	far e fells	ill bell	ny 436 077	fe	2484	757	se	60	12
5	2,749	838		nw fells	crag hill (eel crag)	ny 193 203	nw	2753	839	nw	24	12
4	2,093	638		far e fells	grey crag	ny 497 072	fe	2093	638	se	118	12
1	1,414	431	the far eastern fells	far e fells	steel knotts	ny 348 092	fe	1417	432	ne	195	-
4			the eastern fells	e fells	dollywaggon pike	ny346130		2815	858		18	1
4	1,811	552	the central fells	c fells	steel fell	ny 157 117	c	1814	553	ne	145	1
4	2,707	825	the western fells	w fells	red pike (wasdale)	ny165106	w	2710	826	nw	26	12
3	2,687	819	the western fells	w fells	steeple	ny 343 190	w	2687	819	nw	28	1
1	1,363	415		c fells	grange fell	ny264162	c	1362	415	nw	198	-
2	2,232	680	the eastern fells	e fells	sheffield pike	ny369181	e	2215	675	ne	99	-
			the southern fells		rosthwaite fell			1808	551			
1	1,363	415		w fells	fellbarrow	ny132 243	w	1365	416	nw	198	-
12	2,572	784	the southern fells	s fells	allen crags	ny 236 085	e	2575	785	sw	43	123456789
1	1,932	589	the central fells	c fells	bleaberry fell	ny 285 196	c	1936	590	nw	132	-
3	1,878	572	the western fells	w fells	blake fell	ny110196	w	1880	573	nw	138	1
5	2,142	653	the far eastern fells	far e fells	place fell	ny 442 128	fe	2156	657	ne	110	12
2	2,405	733	the northern fells	n fells	long side	ny 276 354	n	2408	734	nw	70	1
2	2,120	646	the western fells	w fells	base brown	ny 225 115	w	2119	646	nw	115	1
3	2,530	771	the north western fells	nw fells	sail	ny198202	nw	2536	773	nw	51	12
2	1,579	481	the eastern fells	e fells	gowbarrow fell	ny 407 218	e	1578	481	ne	180	-
9	2,560	780	the southern fells	s fells	glaramara	ny 247 105	s	2569	783	nw	45	123456
3	2,555	779	the southern fells	s fells	dow crag	sd 262 977	s	2552	778	sw	47	1
3	1,710	521	the western fells	w fells	crag fell	ny097143	w	1706	520	nw	161	12
8	3,210	978	the southern fells	s fells	scafell pike	ny215072	s	3209	978	sw	1	123456
3	2,541	774	the eastern fells	e fells	red screes	ny396087	e	2546	776	se	48	1
3	1,536	468	the north western fells	nw fells	barf	ny 214 6267	nw	1535	468	nw	184	-
6	2,142	653	the far eastern fells	far e fells	selside pike	ny490111	fe	2149	655	ne	110	12
3	2,481	756	the eastern fells	e fells	hart side	ny359197	e	2480	756	ne	60	-
4	3,118	950	the eastern fells	e fells	helvellyn	ny342151	e	3117	950	ne	3	1
6	2,385	727	the north western fells	nw fells	hindscarth	ny215165	nw	2385	727	nw	73	1234
1	1,520	463	the central fells	c fells	raven crag	ny303188	c	1512	461	nw	186	-
5	2,949	899	the western fells	w fells	great gable	ny 211 103	w	2949	899	nw	7	123
2	2,003	611		e fells	heron pike	ny 356 083	e	2008	612	se	127	-
5	1,530	466	the southern fells	s fells	lingmoor fell	ny 387 100	s	1539	469	sw	184	1234
1	1,580	482	the northern fells	n fells	longlands fell	ny276354	n	1585	483	nw	178	-
3	1,801	549	the central fells	c fells	tarn crag (easedale)	ny 437 127	c	1804	550	sw	149	1
8	2,618	798	the western fells	w fells	haycock	ny 145 107	w	2615	797	nw	35	123456
1			the central fells	c fells	pike of stickle	ny273073		2326	709		83	-
5	2,397	731	the far eastern fells	far e fells	kentmere pike	ny465077	fe	2395	730	se	72	123
3	1,908	582	the western fells	w fells	middle fell	ny151072	w	1909	582	sw	134	12
1	1,664	507		far e fells	beda fell	ny429171	fe	1670	509	ne	169	-
2	1,160	354	the north western fells	nw fells	rannerdale knotts	ny 160 154	nw	1165	355	nw	210	-
2	2,278	694	the far eastern fells	far e fells	rest dodd	ny 249 076	fe	2283	696	ne	92	1
4	2,584	788	the eastern fells	e fells	watson's dodd	ny335195	e	2589	789	ne	40	1
