85	0	1	4	71	93	1000	3007	100004	100005	100008	100012
"[""Fairfield"", ""Fairfield"", ""Fairfield"", ""Fairfield"", ""Fairfield"", ""Fairfield"", ""Fairfield"", 2864.0, 2864.0, ""Fairfield"", ""Fairfield"", ""Fairfield"", ""Fairfield""]"	"[""2,863"", ""2,863"", 2864, ""1"", 2864, 2864, 2864.0, 2864.0, 2863.0]"	[873, 873, 873, 873, 873.0, 873.0, 873.0]	"[""NE"", ""E""]"	[13, 13, 13, 13.0, 54.0, 1.0]	"[""NY 359 117"", ""NY358117"", ""NY 359 117"", ""NY 35861 11722"", ""NY358117"", 872.0]"	"[""The Eastern Fells"", ""The Eastern Fells"", ""E Fells""]"	1	16.0	13.0	A Deepdale Round & Fairfield Horseshoe	NY 358117
"[""Gibson Knott"", ""Gibson Knott"", ""Gibson Knott"", ""Gibson Knott"", ""Gibson Knott"", ""Gibson Knott"", ""Gibson Knott"", 1378.0, 1378.0, ""Gibson Knott"", ""Gibson Knott"", ""Gibson Knott"", NaN]"	"[""1,379"", ""1,379"", 1378, 1378, ""1"", 1378, 1378.0, 1377.0, NaN]"	[420, 420, 420, 420, 420.0, 420.0, 420.0]	"[""SE"", ""C""]"	[197, 197, 197, 197.0, 59.0, 1.0]	"[""NY 318 099"", ""NY317100"", ""NY 318 099"", ""NY 31845 09923"", ""NY317100"", NaN]"	"[""The Central Fells"", NaN, ""C Fells""]"	1	218.0	198.0		
"[""Gavel Fell"", ""Gavel Fell"", ""Gavel Fell"", ""Gavel Fell"", ""Gavel Fell"", ""Gavel Fell"", ""Gavel Fell"", 1726.0, 1726.0, ""Gavel Fell"", ""Gavel Fell"", ""Gavel Fell"", NaN]"	"[""1,720"", ""1,720"", 1726, 1726, ""1"", 1726, 1726.0, 1725.0, NaN]"	[524, 524, 526, 526, 526.0, 526.0, 526.0]	"[""NW"", ""W""]"	[159, 158, 159, 158.0, 58.0, 1.0]	"[""NY 116 184"", ""NY117184"", ""NY 116 184"", ""NY 11699 18386"", ""NY117184"", NaN]"	"[""The Western Fells"", NaN, ""W Fells""]"	1	170.0	158.0		
"[""Great Borne"", ""Great Borne"", ""Great Borne"", ""Great Borne"", ""Great Borne"", ""Great Borne"", ""Great Borne"", 2021.0, 2021.0, ""Great Borne"", ""Great Borne"", ""Great Borne"", NaN]"	"[""2,019"", ""2,019"", 2021, 2021, ""12"", 2021, 2021.0, 2020.0, NaN]"	[615, 615, 616, 616, 616.0, 616.0, 616.0]	"[""NW"", ""W""]"	[125, 126, 125, 126.0, 67.0, 1.0]	"[""NY 124 164"", ""NY123163"", ""NY 124 164"", ""NY 12398 16379"", ""NY123163"", NaN]"	"[""The Western Fells"", ""The Western Fells"", ""W Fells""]"	12	133.0	127.0	An Ennerdale Round	
"[""Gray Crag"", ""Gray Crag"", ""Gray Crag"", ""Gray Crag"", ""Gray Crag"", ""Gray Crag"", ""Gray Crag"", 2293.0, 2293.0, ""Gray Crag"", ""Gray Crag"", ""Gray Crag"", NaN]"	"[""2,286"", ""2,286"", 2293, ""-"", 2293, 2293, 2293.0, 2293.0, NaN]"	[697, 697, 699, 699, 699.0, 699.0, 699.0]	"[""NE"", ""FE""]"	[91, 90, 91, 90.0, 65.0, 1.0]	"[""NY 427 119"", ""NY427117"", ""NY 427 119"", ""NY 42675 11882"", ""NY427117"", NaN]"	"[""The Far Eastern Fells"", NaN, ""Far E Fells""]"	-	93.0	90.0		
"[""Great Carrs"", ""Great Carrs"", ""Great Carrs"", ""Great Carrs"", ""Great Carrs"", ""Great Carrs"", ""Great Carrs"", 2559.0, 2575.0, ""Great Carrs"", ""Great Carrs"", ""Great Carrs"", NaN]"	"[""2,575"", ""2,575"", 2575, ""123"", 2575, 2575, 2575.0, 2558.0, NaN]"	[785, 785, 785, 785, 780.0, 785.0, 785.0]	"[""SW"", ""S""]"	[42, 42, 42, 42.0, 69.0, 1.0]	"[""NY 270 009"", ""NY270008"", ""NY 270 009"", ""NY 27045 00880"", ""NY270008"", NaN]"	"[""The Southern Fells"", NaN, ""S Fells""]"	123	48.0	45.0	Coniston Fells I & Coniston Fells II	
"[""Dollywaggon Pike"", ""Dollywagon Pike"", ""Dollywaggon Pike"", ""Dollywagon Pike"", ""Dollywagon Pike"", ""Dollywaggon Pike"", ""Dollywagon Pike"", 2815.0, 2815.0, ""Dollywaggon Pike"", ""Dollywaggon Pike"", ""Dollywagon Pike"", NaN]"	"[""2,810"", 2815, ""2,810"", ""1"", 2815, 2815, 2815.0, 2814.0, NaN]"	[856, 858, 856, 858, 858.0, 858.0, 858.0]	"[""NE"", ""E""]"	[18, 16, 16, 18.0, 48.0, 1.0]	"[""NY346130"", ""NY 345 131"", ""NY 345 131"", ""NY 34629 13063"", ""NY346130"", NaN]"	"[""The Eastern Fells"", ""The Eastern Fells"", ""E Fells""]"	1	21.0	18.0	Catstye Cam to Dollywagon Pike & Dollywagon Pike and St. Sunday Crag	
"[""Raise"", ""Raise"", ""Raise"", ""Raise"", ""Raise"", ""Raise"", ""Raise"", 2897.0, 2897.0, ""Raise"", ""Raise"", ""Raise"", NaN]"	"[""2,889"", 2897, ""2,889"", ""12"", 2897, 2897, 2897.0, 2896.0, NaN]"	[881, 883, 881, 883, 883.0, 883.0, 883.0]	"[""NE"", ""E""]"	[12, 12, 12, 12.0, 155.0, 1.0]	"[""NY342174"", ""NY 167 183"", ""NY 167 183"", ""NY 34277 17414"", ""NY342174"", NaN]"	"[""The Eastern Fells"", ""The Eastern Fells"", ""E Fells""]"	12	15.0	12.0	Helvellyn and Great Dodd & Helvellyn and Sheffield Pike	
"[""Birks"", ""Birks"", ""Birks"", ""Birks"", ""Birks"", ""Birks"", ""Birks"", 2041.0, 2041.0, ""Birks"", ""Birks"", ""Birks"", NaN]"	"[""2,040"", 2041, ""2,040"", 2041, ""1"", 2041, 2041.0, 2040.0, NaN]"	[622, 622, 622, 622, 622.0, 622.0, 622.0]	"[""NE"", ""E""]"	[124, 123, 123, 124.0, 15.0, 1.0]	"[""NY380143"", ""NY 382 145"", ""NY 382 145"", ""NY 38177 14486"", ""NY380143"", NaN]"	"[""The Eastern Fells"", ""The Eastern Fells"", ""E Fells""]"	1	130.0	125.0	Dollywagon Pike and St. Sunday Crag & A Deepdale Round	
"[""Yewbarrow"", ""Yewbarrow"", ""Yewbarrow"", ""Yewbarrow"", ""Yewbarrow"", ""Yewbarrow"", ""Yewbarrow"", 2060.0, 2057.0, ""Yewbarrow"", ""Yewbarrow"", ""Yewbarrow"", NaN]"	"[""2,058"", 2057, ""2,058"", 2057, ""1"", 2057, 2057.0, 2060.0, NaN]"	[627, 627, 627, 627, 628.0, 627.0, 627.0]	"[""SW"", ""W""]"	[123, 122, 122, 123.0, 213.0, 1.0]	"[""NY173084"", ""NY 173 085"", ""NY 173 085"", ""NY 17338 08472"", ""NY173084"", NaN]"	"[""The Western Fells"", NaN, ""W Fells""]"	1	129.0	124.0	A Netherbeck Round	
"[""Illgill Head"", ""Illgill Head"", ""Illgill Head"", ""Illgill Head"", ""Illgill Head"", ""Illgill Head"", ""Illgill Head"", 1998.0, 1998.0, ""Illgill Head"", ""Illgill Head"", ""Illgill Head"", NaN]"	"[""1,983"", ""1,983"", 1998, 1998, ""12345"", 1998, 1998.0, 1998.0, NaN]"	[604, 604, 609, 609, 609.0, 609.0, 609.0]	"[""SW"", ""S""]"	[129, 128, 129, 128.0, 116.0, 1.0]	"[""NY 166 048"", ""NY169049"", ""NY 166 048"", ""NY 16542 04800"", ""NY169049"", NaN]"	"[""The Southern Fells"", NaN, ""S Fells""]"	12345	135.0	129.0		
"[""Heron Pike (Rydal)"", ""Heron Pike"", ""Heron Pike"", ""Heron Pike"", ""Heron Pike"", ""Heron Pike (Rydal)"", ""Heron Pike"", 2008.0, 2008.0, ""Heron Pike"", ""Heron Pike"", ""Heron Pike"", NaN]"	"[""2,003"", ""2,003"", 2008, 2008, ""-"", 2008, 2008.0, 2007.0, NaN]"	[611, 611, 612, 612, 612.0, 612.0, 612.0]	"[""SE"", ""E""]"	[127, 127, 127, 127.0, 99.0, 1.0]	"[""NY 356 083"", ""NY356083"", ""NY 356 083"", ""NY 35599 08300"", ""NY356083"", NaN]"	"[""The Eastern Fells"", ""The Eastern Fells"", ""E Fells""]"	-	134.0	128.0	Fairfield Horseshoe	
"[""Hartsop Dodd"", ""Hartsop Dodd"", ""Hartsop Dodd"", ""Hartsop Dodd"", ""Hartsop Dodd"", ""Hartsop Dodd"", ""Hartsop Dodd"", 2028.0, 2028.0, ""Hartsop Dodd"", ""Hartsop Dodd"", ""Hartsop Dodd"", NaN]"	"[""2,018"", ""2,018"", 2028, 2028, ""-"", 2028, 2028.0, 2027.0, NaN]"	[615, 615, 618, 618, 618.0, 618.0, 618.0]	"[""NE"", ""FE""]"	[126, 125, 126, 125.0, 93.0, 1.0]	"[""NY 412 118"", ""NY411118"", ""NY 412 118"", ""NY 412 118"", ""NY411118"", NaN]"	"[""The Far Eastern Fells"", ""The Eastern Fells"", ""Far E Fells""]"	-	132.0	126.0	Kidsty Pike to Caudale Moor	
"[""High Raise (C Fells)"", ""High Raise (Langdale)"", ""High Raise"", ""High Raise (Langdale)"", ""High Raise (Langdale)"", ""High Raise"", ""High Raise (Langdale)"", 2500.0, 2500.0, ""High Raise (C Fells)"", NaN, NaN, NaN]"	"[""2,500"", 2500, ""2,500"", ""1234567"", 2500, 2500, NaN, NaN, NaN]"	[762, 762, 762, 762, 762.0, 762.0, NaN]	"[""NW"", ""C""]"	[58, 57, 57, 58.0, 104.0, NaN]	"[""NY280095"", ""NY 281 095"", ""NY 281 095"", ""NY 28074 09536"", ""NY280095"", NaN]"	"[""The Central Fells"", NaN, ""C Fells""]"	1234567				
"[""Great Dodd"", ""Great Dodd"", ""Great Dodd"", ""Great Dodd"", ""Great Dodd"", ""Great Dodd"", ""Great Dodd"", 2812.0, 2812.0, ""Great Dodd"", ""Great Dodd"", ""Great Dodd"", NaN]"	"[""2,807"", 2812, ""2,807"", ""12"", 2812, 2812, 2812.0, 2811.0, NaN]"	[856, 857, 856, 857, 857.0, 857.0, 857.0]	"[""NE"", ""E""]"	[19, 19, 19, 19.0, 72.0, 1.0]	"[""NY341205"", ""NY 342 206"", ""NY 342 206"", ""NY 34193 20556"", ""NY341205"", NaN]"	"[""The Eastern Fells"", ""The Eastern Fells"", ""E Fells""]"	12	22.0	19.0	Hart Side and Great Dodd & Helvellyn to Great Dodd	
"[""Grasmoor"", ""Grasmoor"", ""Grasmoor"", ""Grasmoor"", ""Grasmoor"", ""Grasmoor"", ""Grasmoor"", 2795.0, 2795.0, ""Grasmoor"", ""Grasmoor"", ""Grasmoor"", NaN]"	"[""2,791"", 2795, ""2,791"", ""12"", 2795, 2795, 2795.0, 2795.0, NaN]"	[851, 852, 851, 852, 852.0, 852.0, 852.0]	"[""NW"", ""NW""]"	[20, 20, 20, 20.0, 64.0, 1.0]	"[""NY174203"", ""NY 175 204"", ""NY 175 204"", ""NY 17481 20351"", ""NY174203"", NaN]"	"[""The North Western Fells"", NaN, ""NW Fells""]"	12	23.0	20.0	A Coledale Round & A Gasgale Round	
"[""Beda Fell"", ""Beda Fell"", ""Beda Fell"", ""Beda Fell [Beda Head]"", ""Beda Fell"", ""Beda Fell [Beda Head]"", ""Beda Fell"", 1670.0, 1670.0, ""Beda Fell"", ""Beda Fell"", NaN, NaN]"	"[""1,664"", 1670, ""1,664"", ""-"", 1670, 1670, 1670.0, NaN, NaN]"	[507, 509, 507, 509, 509.0, 509.0, 509.0]	"[""NE"", ""FE""]"	[170, 169, 169, 170.0, 12.0, 1.0]	"[""NY429171"", ""NY 428 171"", ""NY 428 171"", ""NY 42895 17159"", ""NY429171"", NaN]"	"[""The Far Eastern Fells"", NaN, ""Far E Fells""]"	-				
"[""Broom Fell"", ""Broom Fell"", ""Broom Fell?"", ""Broom Fell"", ""Broom Fell"", ""Broom Fell"", ""Broom Fell?"", 1677.0, 1677.0, ""Broom Fell"", ""Broom Fell"", ""Broom Fell"", NaN]"	"[""1,670"", 1677, ""1,670"", ""-"", 1677, 1677, 1677.0, 1676.0, NaN]"	[509, 511, 509, 511, 511.0, 511.0, 511.0]	"[""NW"", ""NW""]"	[169, 167, 167, 169.0, 29.0, 1.0]	"[""NY195271"", ""NY 195 271"", ""NY 195 271"", ""NY 19444 27190"", ""NY195271"", NaN]"	"[""The North Western Fells"", NaN, ""NW Fells""]"	-	181.0	169.0		
"[""Barf"", ""Barf"", ""Barf"", ""Barf"", ""Barf"", ""Barf"", ""Barf"", 1535.0, 1535.0, ""Barf"", ""Barf"", ""Barf"", NaN]"	"[""1,536"", 1535, ""1,536"", ""-"", 1535, 1535, 1535.0, 1536.0, NaN]"	[468, 468, 468, 468, 468.0, 468.0, 468.0]	"[""NW"", ""NW""]"	[185, 184, 184, 185.0, 9.0, 1.0]	"[""NY214267"", ""NY 214 6267"", ""NY 214 6267"", ""NY 21467 26740"", ""NY214267"", NaN]"	"[""The North Western Fells"", NaN, ""NW Fells""]"	-	201.0	185.0		
"[""High Spy"", ""High Spy"", ""High Spy"", ""High Spy"", ""High Spy"", ""High Spy"", ""High Spy"", 2142.0, 2142.0, ""High Spy"", ""High Spy"", ""High Spy"", NaN]"	"[""2,143"", ""2,143"", 2142, 2142, ""123"", 2142, 2142.0, 2142.0, NaN]"	[653, 653, 653, 653, 653.0, 653.0, 653.0]	"[""NW"", ""NW""]"	[109, 113, 109, 113.0, 108.0, 1.0]	"[""NY 234 162"", ""NY234162"", ""NY 234 162"", ""NY 23413 16234"", ""NY234162"", NaN]"	"[""The North Western Fells"", NaN, ""NW Fells""]"	123	116.0	113.0	Robinson and Dale Head	
"[""High Stile"", ""High Stile"", ""High Stile"", ""High Stile"", ""High Stile"", ""High Stile"", ""High Stile"", 2648.0, 2648.0, ""High Stile"", ""High Stile"", ""High Stile"", ""High Stile""]"	"[""2,644"", ""2,644"", 2648, ""123"", 2644, 2644, 2648.0, 2647.0, 2644.0]"	[806, 806, 807, 806, 807.0, 807.0, 807.0]	"[""NW"", ""W""]"	[30, 30, 30, 30.0, 109.0, 1.0]	"[""NY 169 148"", ""NY170148"", ""NY 169 148"", ""NY 16748 14783"", ""NY170148"", 806.0]"	"[""The Western Fells"", NaN, ""W Fells""]"	123	32.0	29.0	High Stile Ridge & An Ennerdale Round	NY 169147
"[""Skiddaw Little Man"", ""Skiddaw Little Man"", ""Skiddaw Little Man"", ""Skiddaw Little Man"", ""Skiddaw Little Man"", ""Skiddaw Little Man"", ""Skiddaw Little Man"", 2838.0, 2838.0, ""Skiddaw Little Man"", ""Skiddaw Little Man"", ""Skiddaw Little Man"", NaN]"	"[""2,837"", ""2,837"", 2838, ""1"", 2838, 2838, 2838.0, 2837.0, NaN]"	[865, 865, 865, 865, 865.0, 865.0, 865.0]	"[""NW"", ""N""]"	[15, 15, 15, 15.0, 184.0, 1.0]	"[""NY 354 287"", ""NY266277"", ""NY 354 287"", ""NY 26679 27785"", ""NY266277"", NaN]"	"[""The Northern Fells"", NaN, ""N Fells""]"	1	18.0	15.0	Skiddaw from Millbeck & Skiddaw via Lonscale Fell	
"[""Slight Side"", ""Slight Side"", ""Slight Side"", ""Slight Side"", ""Slight Side"", ""Slight Side"", ""Slight Side"", 2500.0, 2500.0, ""Slight Side"", ""Slight Side"", ""Slight Side"", NaN]"	"[""2,499"", ""2,499"", 2500, ""1"", 2500, 2500, 2500.0, 2499.0, NaN]"	[762, 762, 762, 762, 762.0, 762.0, 762.0]	"[""SW"", ""S""]"	[58, 57, 58, 57.0, 185.0, 1.0]	"[""NY 369 134"", ""NY210050"", ""NY 369 134"", ""NY 20969 05028"", ""NY210050"", NaN]"	"[""The Southern Fells"", NaN, ""S Fells""]"	1	60.0	57.0	Eskdale and the Scafells & Bowfell and the Scafells	
"[""Sour Howes"", ""Sour Howes"", ""Sour Howes"", ""Sour Howes"", ""Sour Howes"", ""Sour Howes"", ""Sour Howes"", 1585.0, 1585.0, ""Sour Howes"", ""Sour Howes"", ""Sour Howes"", NaN]"	"[""1,568"", ""1,568"", 1585, 1585, ""-"", 1585, 1585.0, 1584.0, NaN]"	[478, 478, 483, 483, 483.0, 483.0, 483.0]	"[""SE"", ""FE""]"	[183, 179, 183, 179.0, 186.0, 1.0]	"[""NY 142 157"", ""NY426031"", ""NY 142 157"", ""NY 42830 03203"", ""NY426031"", NaN]"	"[""The Far Eastern Fells"", NaN, ""Far E Fells""]"	-	195.0	180.0		
"[""Souther Fell"", ""Souther Fell"", ""Souther Pike"", ""Souther Fell"", ""Souther Fell"", ""Souther Fell"", ""Souther Pike"", 1713.0, 1713.0, ""Souther Fell"", ""Souther Fell"", ""Souther Fell"", NaN]"	"[""1,680"", ""1,680"", 1713, ""-"", 1713, 1713, 1713.0, 1712.0, NaN]"	[512, 512, 522, 522, 522.0, 522.0, 522.0]	"[""NE"", ""N""]"	[165, 162, 165, 162.0, 187.0, 1.0]	"[""NY 320 112"", ""NY355291"", ""NY 320 112"", ""NY 35472 29140"", ""NY355291"", NaN]"	"[""The Northern Fells"", NaN, ""N Fells""]"	-	175.0	163.0		
"[""Sheffield Pike"", ""Sheffield Pike"", ""Sheffield Pike"", ""Sheffield Pike"", ""Sheffield Pike"", ""Sheffield Pike"", ""Sheffield Pike"", 2215.0, 2215.0, ""Sheffield Pike"", ""Sheffield Pike"", ""Sheffield Pike"", NaN]"	"[""2,232"", ""2,232"", 2215, ""-"", 2215, 2215, 2215.0, 2214.0, NaN]"	[680, 680, 675, 675, 675.0, 675.0, 675.0]	"[""NE"", ""E""]"	[97, 99, 97, 99.0, 180.0, 1.0]	"[""NY 260 291"", ""NY369181"", ""NY 260 291"", ""NY 36910 18178"", ""NY369181"", NaN]"	"[""The Eastern Fells"", ""The Eastern Fells"", ""E Fells""]"	-	102.0	99.0	Helvellyn and Sheffield Pike	
"[""Shipman Knotts"", ""Shipman Knotts"", ""Shipman Knotts"", ""Shipman Knotts"", ""Shipman Knotts"", ""Shipman Knotts"", ""Shipman Knotts"", 1926.0, 1926.0, ""Shipman Knotts"", ""Shipman Knotts"", ""Shipman Knotts"", NaN]"	"[""1,926"", ""1,926"", 1926, 1926, ""12"", 1926, 1926.0, 1926.0, NaN]"	[587, 587, 587, 587, 587.0, 587.0, 587.0]	"[""SE"", ""FE""]"	[132, 133, 132, 133.0, 181.0, 1.0]	"[""NY 266 278"", ""NY473062"", ""NY 266 278"", ""NY 47241 06212"", ""NY473062"", NaN]"	"[""The Far Eastern Fells"", NaN, ""Far E Fells""]"	12	140.0	133.0	A Kentmere Horseshoe & A Longsleddale Round 	
"[""Silver How"", ""Silver How"", ""Silver How"", ""Silver How"", ""Silver How"", ""Silver How"", ""Silver How"", 1293.0, 1296.0, ""Silver How"", ""Silver How"", ""Silver How"", NaN]"	"[""1,292"", ""1,292"", 1296, ""1"", 1296, 1296, 1296.0, 1292.0, NaN]"	[394, 394, 395, 395, 394.0, 395.0, 395.0]	"[""SW"", ""C""]"	[202, 202, 202, 202.0, 182.0, 1.0]	"[""NY 210 050"", ""NY325066"", ""NY 210 050"", ""NY 32479 06641"", ""NY325066"", NaN]"	"[""The Central Fells"", NaN, ""C Fells""]"	1	223.0	202.0	Loughrigg, Sergeant Man and Tarn Crag	
"[""Skiddaw"", ""Skiddaw"", ""Skiddaw - Dodd"", ""Skiddaw"", ""Skiddaw"", ""Skiddaw"", ""Skiddaw - Dodd"", ""Skiddaw"", ""Skiddaw"", 3054.0, 3054.0, ""Skiddaw"", ""Skiddaw"", ""Skiddaw"", ""Skiddaw""]"	"[""3,054"", ""3,054"", 3054, ""1"", 1647, 3054, 1647, 3054, 3054.0, 3054.0, 3054.0]"	[931, 931, 931, 502, 931, 931.0, 931.0, 931.0]	"[""NW"", ""N""]"	[4, 4, 4, 4.0, 183.0, 1.0]	"[""NY 428 032"", ""NY260290"", ""NY 428 032"", ""NY 26040 29085"", ""NY260290"", 930.0]"	"[""The Northern Fells"", ""The Northern Fells"", NaN, ""N Fells""]"	1	5.0	4.0	Skiddaw from Millbeck & Skiddaw via Longside Edge & Skiddaw via Lonscale Fell	NY 261291
