"Identifier1","Identifier2","similarityScore"
"48456557_0_3760853481322708783.csv~Row293","90196673_0_5458330029110291950.csv~Row165","1.0"
"48456557_0_3760853481322708783.csv~Row190","90196673_0_5458330029110291950.csv~Row187","1.0"
"48456557_0_3760853481322708783.csv~Row270","90196673_0_5458330029110291950.csv~Row54","1.0"
"48456557_0_3760853481322708783.csv~Row60","90196673_0_5458330029110291950.csv~Row232","1.0"
"48456557_0_3760853481322708783.csv~Row118","90196673_0_5458330029110291950.csv~Row301","1.0"
"48456557_0_3760853481322708783.csv~Row92","90196673_0_5458330029110291950.csv~Row389","1.0"
"48456557_0_3760853481322708783.csv~Row91","90196673_0_5458330029110291950.csv~Row128","1.0"
"48456557_0_3760853481322708783.csv~Row208","90196673_0_5458330029110291950.csv~Row236","1.0"
"48456557_0_3760853481322708783.csv~Row159","90196673_0_5458330029110291950.csv~Row219","1.0"
"48456557_0_3760853481322708783.csv~Row409","90196673_0_5458330029110291950.csv~Row268","1.0"
"48456557_0_3760853481322708783.csv~Row105","90196673_0_5458330029110291950.csv~Row56","1.0"
"48456557_0_3760853481322708783.csv~Row66","90196673_0_5458330029110291950.csv~Row267","1.0"
"48456557_0_3760853481322708783.csv~Row7","90196673_0_5458330029110291950.csv~Row118","1.0"
"48456557_0_3760853481322708783.csv~Row47","90196673_0_5458330029110291950.csv~Row274","1.0"
"48456557_0_3760853481322708783.csv~Row93","90196673_0_5458330029110291950.csv~Row156","1.0"
"48456557_0_3760853481322708783.csv~Row182","90196673_0_5458330029110291950.csv~Row171","1.0"
"48456557_0_3760853481322708783.csv~Row4","90196673_0_5458330029110291950.csv~Row197","1.0"
"48456557_0_3760853481322708783.csv~Row65","90196673_0_5458330029110291950.csv~Row71","1.0"
"48456557_0_3760853481322708783.csv~Row187","90196673_0_5458330029110291950.csv~Row93","1.0"
"48456557_0_3760853481322708783.csv~Row396","90196673_0_5458330029110291950.csv~Row124","1.0"
"48456557_0_3760853481322708783.csv~Row215","90196673_0_5458330029110291950.csv~Row76","1.0"
"48456557_0_3760853481322708783.csv~Row382","90196673_0_5458330029110291950.csv~Row423","1.0"
"48456557_0_3760853481322708783.csv~Row305","90196673_0_5458330029110291950.csv~Row85","1.0"
"48456557_0_3760853481322708783.csv~Row15","90196673_0_5458330029110291950.csv~Row103","1.0"
"48456557_0_3760853481322708783.csv~Row89","90196673_0_5458330029110291950.csv~Row382","1.0"
"48456557_0_3760853481322708783.csv~Row95","90196673_0_5458330029110291950.csv~Row134","1.0"
"48456557_0_3760853481322708783.csv~Row293","90196673_0_5458330029110291950.csv~Row166","1.0"
"48456557_0_3760853481322708783.csv~Row208","90196673_0_5458330029110291950.csv~Row237","1.0"
"48456557_0_3760853481322708783.csv~Row4","90196673_0_5458330029110291950.csv~Row196","1.0"
"48456557_0_3760853481322708783.csv~Row396","90196673_0_5458330029110291950.csv~Row123","1.0"
"48456557_0_3760853481322708783.csv~Row19","90196673_0_5458330029110291950.csv~Row145","1.0"
"48456557_0_3760853481322708783.csv~Row156","90196673_0_5458330029110291950.csv~Row354","1.0"
"48456557_0_3760853481322708783.csv~Row108","90196673_0_5458330029110291950.csv~Row222","1.0"
"48456557_0_3760853481322708783.csv~Row262","90196673_0_5458330029110291950.csv~Row262","1.0"
"48456557_0_3760853481322708783.csv~Row241","90196673_0_5458330029110291950.csv~Row106","1.0"
"48456557_0_3760853481322708783.csv~Row240","90196673_0_5458330029110291950.csv~Row174","1.0"
"48456557_0_3760853481322708783.csv~Row150","90196673_0_5458330029110291950.csv~Row81","1.0"
"48456557_0_3760853481322708783.csv~Row172","90196673_0_5458330029110291950.csv~Row149","1.0"
"48456557_0_3760853481322708783.csv~Row26","90196673_0_5458330029110291950.csv~Row214","1.0"
"48456557_0_3760853481322708783.csv~Row184","90196673_0_5458330029110291950.csv~Row225","1.0"
"48456557_0_3760853481322708783.csv~Row240","90196673_0_5458330029110291950.csv~Row175","1.0"
"48456557_0_3760853481322708783.csv~Row44","90196673_0_5458330029110291950.csv~Row251","1.0"
"48456557_0_3760853481322708783.csv~Row198","90196673_0_5458330029110291950.csv~Row130","1.0"
"48456557_0_3760853481322708783.csv~Row303","90196673_0_5458330029110291950.csv~Row300","1.0"
"48456557_0_3760853481322708783.csv~Row231","90196673_0_5458330029110291950.csv~Row29","1.0"
"48456557_0_3760853481322708783.csv~Row60","90196673_0_5458330029110291950.csv~Row233","1.0"
"48456557_0_3760853481322708783.csv~Row82","90196673_0_5458330029110291950.csv~Row281","1.0"
"48456557_0_3760853481322708783.csv~Row128","90196673_0_5458330029110291950.csv~Row178","1.0"
"48456557_0_3760853481322708783.csv~Row21","90196673_0_5458330029110291950.csv~Row151","1.0"
"48456557_0_3760853481322708783.csv~Row273","90196673_0_5458330029110291950.csv~Row254","1.0"
"48456557_0_3760853481322708783.csv~Row284","90196673_0_5458330029110291950.csv~Row259","1.0"
"48456557_0_3760853481322708783.csv~Row303","90196673_0_5458330029110291950.csv~Row299","1.0"
"48456557_0_3760853481322708783.csv~Row59","90196673_0_5458330029110291950.csv~Row211","1.0"
"48456557_0_3760853481322708783.csv~Row145","90196673_0_5458330029110291950.csv~Row19","1.0"
"48456557_0_3760853481322708783.csv~Row90","90196673_0_5458330029110291950.csv~Row94","1.0"
"48456557_0_3760853481322708783.csv~Row359","90196673_0_5458330029110291950.csv~Row269","1.0"
"48456557_0_3760853481322708783.csv~Row205","90196673_0_5458330029110291950.csv~Row87","1.0"
"48456557_0_3760853481322708783.csv~Row37","90196673_0_5458330029110291950.csv~Row142","1.0"
"48456557_0_3760853481322708783.csv~Row203","90196673_0_5458330029110291950.csv~Row181","1.0"
"48456557_0_3760853481322708783.csv~Row6","90196673_0_5458330029110291950.csv~Row314","1.0"
"48456557_0_3760853481322708783.csv~Row69","90196673_0_5458330029110291950.csv~Row213","1.0"
"48456557_0_3760853481322708783.csv~Row73","90196673_0_5458330029110291950.csv~Row234","1.0"
"48456557_0_3760853481322708783.csv~Row36","90196673_0_5458330029110291950.csv~Row257","1.0"
"48456557_0_3760853481322708783.csv~Row243","90196673_0_5458330029110291950.csv~Row230","1.0"
"48456557_0_3760853481322708783.csv~Row120","90196673_0_5458330029110291950.csv~Row183","1.0"
"48456557_0_3760853481322708783.csv~Row201","90196673_0_5458330029110291950.csv~Row284","1.0"
"48456557_0_3760853481322708783.csv~Row20","90196673_0_5458330029110291950.csv~Row193","1.0"
"48456557_0_3760853481322708783.csv~Row299","90196673_0_5458330029110291950.csv~Row164","1.0"
"48456557_0_3760853481322708783.csv~Row21","90196673_0_5458330029110291950.csv~Row150","1.0"
"48456557_0_3760853481322708783.csv~Row279","90196673_0_5458330029110291950.csv~Row409","1.0"
"48456557_0_3760853481322708783.csv~Row370","90196673_0_5458330029110291950.csv~Row99","1.0"
"48456557_0_3760853481322708783.csv~Row121","90196673_0_5458330029110291950.csv~Row334","1.0"
"48456557_0_3760853481322708783.csv~Row408","90196673_0_5458330029110291950.csv~Row143","1.0"
"48456557_0_3760853481322708783.csv~Row271","90196673_0_5458330029110291950.csv~Row176","1.0"
"48456557_0_3760853481322708783.csv~Row9","90196673_0_5458330029110291950.csv~Row227","1.0"
"48456557_0_3760853481322708783.csv~Row15","90196673_0_5458330029110291950.csv~Row104","1.0"
"48456557_0_3760853481322708783.csv~Row366","90196673_0_5458330029110291950.csv~Row429","1.0"
"48456557_0_3760853481322708783.csv~Row179","90196673_0_5458330029110291950.csv~Row74","1.0"
"48456557_0_3760853481322708783.csv~Row165","90196673_0_5458330029110291950.csv~Row229","1.0"
"48456557_0_3760853481322708783.csv~Row301","90196673_0_5458330029110291950.csv~Row111","1.0"
"48456557_0_3760853481322708783.csv~Row317","90196673_0_5458330029110291950.csv~Row96","1.0"
"48456557_0_3760853481322708783.csv~Row376","90196673_0_5458330029110291950.csv~Row242","1.0"
"48456557_0_3760853481322708783.csv~Row318","90196673_0_5458330029110291950.csv~Row122","1.0"
"48456557_0_3760853481322708783.csv~Row285","90196673_0_5458330029110291950.csv~Row311","1.0"
"48456557_0_3760853481322708783.csv~Row401","90196673_0_5458330029110291950.csv~Row73","1.0"
"48456557_0_3760853481322708783.csv~Row197","90196673_0_5458330029110291950.csv~Row264","1.0"
"48456557_0_3760853481322708783.csv~Row302","90196673_0_5458330029110291950.csv~Row115","1.0"
"48456557_0_3760853481322708783.csv~Row72","90196673_0_5458330029110291950.csv~Row15","1.0"
"48456557_0_3760853481322708783.csv~Row367","90196673_0_5458330029110291950.csv~Row189","1.0"
"48456557_0_3760853481322708783.csv~Row402","90196673_0_5458330029110291950.csv~Row226","1.0"
"48456557_0_3760853481322708783.csv~Row7","90196673_0_5458330029110291950.csv~Row117","1.0"
"48456557_0_3760853481322708783.csv~Row50","90196673_0_5458330029110291950.csv~Row221","1.0"
"48456557_0_3760853481322708783.csv~Row172","90196673_0_5458330029110291950.csv~Row148","1.0"
"48456557_0_3760853481322708783.csv~Row294","90196673_0_5458330029110291950.csv~Row206","1.0"
"48456557_0_3760853481322708783.csv~Row87","90196673_0_5458330029110291950.csv~Row305","1.0"
"48456557_0_3760853481322708783.csv~Row25","90196673_0_5458330029110291950.csv~Row162","1.0"
"48456557_0_3760853481322708783.csv~Row123","90196673_0_5458330029110291950.csv~Row331","1.0"
"48456557_0_3760853481322708783.csv~Row169","90196673_0_5458330029110291950.csv~Row58","1.0"
"48456557_0_3760853481322708783.csv~Row116","90196673_0_5458330029110291950.csv~Row408","1.0"
"48456557_0_3760853481322708783.csv~Row109","90196673_0_5458330029110291950.csv~Row343","1.0"
"48456557_0_3760853481322708783.csv~Row100","90196673_0_5458330029110291950.csv~Row296","1.0"
"48456557_0_3760853481322708783.csv~Row394","90196673_0_5458330029110291950.csv~Row378","1.0"
"48456557_0_3760853481322708783.csv~Row390","90196673_0_5458330029110291950.csv~Row209","1.0"
"48456557_0_3760853481322708783.csv~Row232","90196673_0_5458330029110291950.csv~Row361","1.0"
"48456557_0_3760853481322708783.csv~Row25","90196673_0_5458330029110291950.csv~Row161","1.0"
"48456557_0_3760853481322708783.csv~Row361","90196673_0_5458330029110291950.csv~Row261","1.0"
"48456557_0_3760853481322708783.csv~Row83","90196673_0_5458330029110291950.csv~Row157","1.0"
"48456557_0_3760853481322708783.csv~Row112","90196673_0_5458330029110291950.csv~Row341","1.0"
"48456557_0_3760853481322708783.csv~Row257","90196673_0_5458330029110291950.csv~Row309","1.0"
"48456557_0_3760853481322708783.csv~Row395","90196673_0_5458330029110291950.csv~Row293","1.0"
"48456557_0_3760853481322708783.csv~Row294","90196673_0_5458330029110291950.csv~Row207","1.0"
"48456557_0_3760853481322708783.csv~Row19","90196673_0_5458330029110291950.csv~Row144","1.0"
"48456557_0_3760853481322708783.csv~Row340","90196673_0_5458330029110291950.csv~Row291","1.0"
"48456557_0_3760853481322708783.csv~Row115","90196673_0_5458330029110291950.csv~Row8","0.75"
"48456557_0_3760853481322708783.csv~Row102","90196673_0_5458330029110291950.csv~Row351","1.0"
"48456557_0_3760853481322708783.csv~Row169","90196673_0_5458330029110291950.csv~Row59","1.0"
"48456557_0_3760853481322708783.csv~Row160","90196673_0_5458330029110291950.csv~Row245","1.0"
"48456557_0_3760853481322708783.csv~Row122","90196673_0_5458330029110291950.csv~Row147","1.0"
"48456557_0_3760853481322708783.csv~Row198","90196673_0_5458330029110291950.csv~Row131","1.0"
"48456557_0_3760853481322708783.csv~Row59","90196673_0_5458330029110291950.csv~Row210","1.0"
"48456557_0_3760853481322708783.csv~Row69","90196673_0_5458330029110291950.csv~Row212","1.0"
"48456557_0_3760853481322708783.csv~Row125","90196673_0_5458330029110291950.csv~Row5","0.8333333333333333"
"48456557_0_3760853481322708783.csv~Row23","90196673_0_5458330029110291950.csv~Row348","0.75"
"48456557_0_3760853481322708783.csv~Row117","90196673_0_5458330029110291950.csv~Row185","1.0"
"48456557_0_3760853481322708783.csv~Row135","90196673_0_5458330029110291950.csv~Row383","0.8333333333333333"
"48456557_0_3760853481322708783.csv~Row87","90196673_0_5458330029110291950.csv~Row306","1.0"
"48456557_0_3760853481322708783.csv~Row119","90196673_0_5458330029110291950.csv~Row43","1.0"
"48456557_0_3760853481322708783.csv~Row282","90196673_0_5458330029110291950.csv~Row359","1.0"
"48456557_0_3760853481322708783.csv~Row126","90196673_0_5458330029110291950.csv~Row277","1.0"
"48456557_0_3760853481322708783.csv~Row187","90196673_0_5458330029110291950.csv~Row92","1.0"
"48456557_0_3760853481322708783.csv~Row353","90196673_0_5458330029110291950.csv~Row133","1.0"
"48456557_0_3760853481322708783.csv~Row88","90196673_0_5458330029110291950.csv~Row52","1.0"
"48456557_0_3760853481322708783.csv~Row140","90196673_0_5458330029110291950.csv~Row395","1.0"
"48456557_0_3760853481322708783.csv~Row33","90196673_0_5458330029110291950.csv~Row406","0.8333333333333333"
"48456557_0_3760853481322708783.csv~Row235","90196673_0_5458330029110291950.csv~Row126","1.0"
"48456557_0_3760853481322708783.csv~Row27","90196673_0_5458330029110291950.csv~Row335","1.0"
"48456557_0_3760853481322708783.csv~Row321","90196673_0_5458330029110291950.csv~Row285","1.0"
"48456557_0_3760853481322708783.csv~Row12","90196673_0_5458330029110291950.csv~Row135","1.0"
"48456557_0_3760853481322708783.csv~Row296","90196673_0_5458330029110291950.csv~Row243","1.0"
"48456557_0_3760853481322708783.csv~Row86","90196673_0_5458330029110291950.csv~Row90","1.0"
"48456557_0_3760853481322708783.csv~Row270","90196673_0_5458330029110291950.csv~Row53","1.0"
"48456557_0_3760853481322708783.csv~Row413","90196673_0_5458330029110291950.csv~Row253","1.0"
"48456557_0_3760853481322708783.csv~Row114","90196673_0_5458330029110291950.csv~Row39","0.8333333333333333"
"48456557_0_3760853481322708783.csv~Row390","90196673_0_5458330029110291950.csv~Row208","1.0"
"48456557_0_3760853481322708783.csv~Row235","90196673_0_5458330029110291950.csv~Row125","1.0"
"48456557_0_3760853481322708783.csv~Row313","90196673_0_5458330029110291950.csv~Row417","1.0"
"48456557_0_3760853481322708783.csv~Row120","90196673_0_5458330029110291950.csv~Row182","1.0"
"48456557_0_3760853481322708783.csv~Row55","90196673_0_5458330029110291950.csv~Row298","1.0"
"48456557_0_3760853481322708783.csv~Row134","90196673_0_5458330029110291950.csv~Row315","1.0"
"48456557_0_3760853481322708783.csv~Row302","90196673_0_5458330029110291950.csv~Row114","1.0"
"48456557_0_3760853481322708783.csv~Row212","90196673_0_5458330029110291950.csv~Row371","1.0"
"48456557_0_3760853481322708783.csv~Row301","90196673_0_5458330029110291950.csv~Row112","1.0"
"48456557_0_3760853481322708783.csv~Row122","90196673_0_5458330029110291950.csv~Row146","1.0"
"48456557_0_3760853481322708783.csv~Row162","90196673_0_5458330029110291950.csv~Row287","1.0"
"48456557_0_3760853481322708783.csv~Row315","90196673_0_5458330029110291950.csv~Row220","1.0"
"48456557_0_3760853481322708783.csv~Row56","90196673_0_5458330029110291950.csv~Row397","1.0"
"48456557_0_3760853481322708783.csv~Row271","90196673_0_5458330029110291950.csv~Row177","1.0"
"48456557_0_3760853481322708783.csv~Row100","90196673_0_5458330029110291950.csv~Row295","1.0"
"48456557_0_3760853481322708783.csv~Row181","90196673_0_5458330029110291950.csv~Row398","1.0"
"48456557_0_3760853481322708783.csv~Row246","90196673_0_5458330029110291950.csv~Row421","0.8333333333333333"
"48456557_0_3760853481322708783.csv~Row283","90196673_0_5458330029110291950.csv~Row255","1.0"
"48456557_0_3760853481322708783.csv~Row299","90196673_0_5458330029110291950.csv~Row163","1.0"
"48456557_0_3760853481322708783.csv~Row48","90196673_0_5458330029110291950.csv~Row194","1.0"
"48456557_0_3760853481322708783.csv~Row324","90196673_0_5458330029110291950.csv~Row218","1.0"
"48456557_0_3760853481322708783.csv~Row228","90196673_0_5458330029110291950.csv~Row141","1.0"
"48456557_0_3760853481322708783.csv~Row61","90196673_0_5458330029110291950.csv~Row308","1.0"
"48456557_0_3760853481322708783.csv~Row391","90196673_0_5458330029110291950.csv~Row294","1.0"
"48456557_0_3760853481322708783.csv~Row369","90196673_0_5458330029110291950.csv~Row67","1.0"
"48456557_0_3760853481322708783.csv~Row316","90196673_0_5458330029110291950.csv~Row160","1.0"
"48456557_0_3760853481322708783.csv~Row215","90196673_0_5458330029110291950.csv~Row77","1.0"
"48456557_0_3760853481322708783.csv~Row383","90196673_0_5458330029110291950.csv~Row392","0.875"
"48456557_0_3760853481322708783.csv~Row77","90196673_0_5458330029110291950.csv~Row256","1.0"
"48456557_0_3760853481322708783.csv~Row238","90196673_0_5458330029110291950.csv~Row272","1.0"
"48456557_0_3760853481322708783.csv~Row358","90196673_0_5458330029110291950.csv~Row374","1.0"
"48456557_0_3760853481322708783.csv~Row326","90196673_0_5458330029110291950.csv~Row107","1.0"
"48456557_0_3760853481322708783.csv~Row147","90196673_0_5458330029110291950.csv~Row289","1.0"
"48456557_0_3760853481322708783.csv~Row406","90196673_0_5458330029110291950.csv~Row247","1.0"
"48456557_0_3760853481322708783.csv~Row98","90196673_0_5458330029110291950.csv~Row110","1.0"
"48456557_0_3760853481322708783.csv~Row106","90196673_0_5458330029110291950.csv~Row169","1.0"
"48456557_0_3760853481322708783.csv~Row38","90196673_0_5458330029110291950.csv~Row252","1.0"
"48456557_0_3760853481322708783.csv~Row411","90196673_0_5458330029110291950.csv~Row250","1.0"
"48456557_0_3760853481322708783.csv~Row249","90196673_0_5458330029110291950.csv~Row80","1.0"
"48456557_0_3760853481322708783.csv~Row71","90196673_0_5458330029110291950.csv~Row62","1.0"
"48456557_0_3760853481322708783.csv~Row243","90196673_0_5458330029110291950.csv~Row231","1.0"
"48456557_0_3760853481322708783.csv~Row108","90196673_0_5458330029110291950.csv~Row223","1.0"
"48456557_0_3760853481322708783.csv~Row8","90196673_0_5458330029110291950.csv~Row258","1.0"
"48456557_0_3760853481322708783.csv~Row188","90196673_0_5458330029110291950.csv~Row266","1.0"
"48456557_0_3760853481322708783.csv~Row298","90196673_0_5458330029110291950.csv~Row84","1.0"
"48456557_0_3760853481322708783.csv~Row182","90196673_0_5458330029110291950.csv~Row170","1.0"
"48456557_0_3760853481322708783.csv~Row196","90196673_0_5458330029110291950.csv~Row275","1.0"
"48456557_0_3760853481322708783.csv~Row26","90196673_0_5458330029110291950.csv~Row215","1.0"
"48456557_0_3760853481322708783.csv~Row14","90196673_0_5458330029110291950.csv~Row279","1.0"
"48456557_0_3760853481322708783.csv~Row61","90196673_0_5458330029110291950.csv~Row307","1.0"
"48456557_0_3760853481322708783.csv~Row244","90196673_0_5458330029110291950.csv~Row246","1.0"
"48456557_0_3760853481322708783.csv~Row106","90196673_0_5458330029110291950.csv~Row168","1.0"
"48456557_0_3760853481322708783.csv~Row176","90196673_0_5458330029110291950.csv~Row64","1.0"
"48456557_0_3760853481322708783.csv~Row216","90196673_0_5458330029110291950.csv~Row2","1.0"
"48456557_0_3760853481322708783.csv~Row3","90196673_0_5458330029110291950.csv~Row129","1.0"
"48456557_0_3760853481322708783.csv~Row269","90196673_0_5458330029110291950.csv~Row48","1.0"
"48456557_0_3760853481322708783.csv~Row403","90196673_0_5458330029110291950.csv~Row260","1.0"
"48456557_0_3760853481322708783.csv~Row400","90196673_0_5458330029110291950.csv~Row217","1.0"
"48456557_0_3760853481322708783.csv~Row245","90196673_0_5458330029110291950.csv~Row78","1.0"
"48456557_0_3760853481322708783.csv~Row183","90196673_0_5458330029110291950.csv~Row288","1.0"
"48456557_0_3760853481322708783.csv~Row310","90196673_0_5458330029110291950.csv~Row273","1.0"
"48456557_0_3760853481322708783.csv~Row241","90196673_0_5458330029110291950.csv~Row105","1.0"
"48456557_0_3760853481322708783.csv~Row289","90196673_0_5458330029110291950.csv~Row369","0.75"
"48456557_0_3760853481322708783.csv~Row286","90196673_0_5458330029110291950.csv~Row188","1.0"
"48456557_0_3760853481322708783.csv~Row118","90196673_0_5458330029110291950.csv~Row302","1.0"
"48456557_0_3760853481322708783.csv~Row221","90196673_0_5458330029110291950.csv~Row372","1.0"
"48456557_0_3760853481322708783.csv~Row10","90196673_0_5458330029110291950.csv~Row280","1.0"
"48456557_0_3760853481322708783.csv~Row407","90196673_0_5458330029110291950.csv~Row167","1.0"
"48456557_0_3760853481322708783.csv~Row318","90196673_0_5458330029110291950.csv~Row121","1.0"
"48456557_0_3760853481322708783.csv~Row57","90196673_0_5458330029110291950.csv~Row113","1.0"
"48456557_0_3760853481322708783.csv~Row340","90196673_0_5458330029110291950.csv~Row290","1.0"
"48456557_0_3760853481322708783.csv~Row193","90196673_0_5458330029110291950.csv~Row216","1.0"
"48456557_0_3760853481322708783.csv~Row62","90196673_0_5458330029110291950.csv~Row91","1.0"
"48456557_0_3760853481322708783.csv~Row336","90196673_0_5458330029110291950.csv~Row69","1.0"
"48456557_0_3760853481322708783.csv~Row126","90196673_0_5458330029110291950.csv~Row278","1.0"
"48456557_0_3760853481322708783.csv~Row228","90196673_0_5458330029110291950.csv~Row140","1.0"
"48456557_0_3760853481322708783.csv~Row185","90196673_0_5458330029110291950.csv~Row138","1.0"
"48456557_0_3760853481322708783.csv~Row73","90196673_0_5458330029110291950.csv~Row235","1.0"
"48456557_0_3760853481322708783.csv~Row11","90196673_0_5458330029110291950.csv~Row82","1.0"
"48456557_0_3760853481322708783.csv~Row24","90196673_0_5458330029110291950.csv~Row239","1.0"
"48456557_0_3760853481322708783.csv~Row80","90196673_0_5458330029110291950.csv~Row248","1.0"
"48456557_0_3760853481322708783.csv~Row65","90196673_0_5458330029110291950.csv~Row70","1.0"
"48456557_0_3760853481322708783.csv~Row96","90196673_0_5458330029110291950.csv~Row265","1.0"
"90196673_0_5458330029110291950.csv~Row379","48456557_0_3760853481322708783.csv~Row94","0.8333333333333333"
"90196673_0_5458330029110291950.csv~Row188","48456557_0_3760853481322708783.csv~Row286","1.0"
"90196673_0_5458330029110291950.csv~Row260","48456557_0_3760853481322708783.csv~Row403","1.0"
"90196673_0_5458330029110291950.csv~Row299","48456557_0_3760853481322708783.csv~Row303","1.0"
"90196673_0_5458330029110291950.csv~Row1","48456557_0_3760853481322708783.csv~Row352","1.0"
"90196673_0_5458330029110291950.csv~Row165","48456557_0_3760853481322708783.csv~Row293","1.0"
"90196673_0_5458330029110291950.csv~Row223","48456557_0_3760853481322708783.csv~Row108","1.0"
"90196673_0_5458330029110291950.csv~Row182","48456557_0_3760853481322708783.csv~Row120","1.0"
"90196673_0_5458330029110291950.csv~Row71","48456557_0_3760853481322708783.csv~Row65","1.0"
"90196673_0_5458330029110291950.csv~Row117","48456557_0_3760853481322708783.csv~Row7","1.0"
"90196673_0_5458330029110291950.csv~Row348","48456557_0_3760853481322708783.csv~Row23","0.75"
"90196673_0_5458330029110291950.csv~Row216","48456557_0_3760853481322708783.csv~Row193","1.0"
"90196673_0_5458330029110291950.csv~Row212","48456557_0_3760853481322708783.csv~Row69","1.0"
"90196673_0_5458330029110291950.csv~Row359","48456557_0_3760853481322708783.csv~Row282","1.0"
"90196673_0_5458330029110291950.csv~Row209","48456557_0_3760853481322708783.csv~Row390","1.0"
"90196673_0_5458330029110291950.csv~Row214","48456557_0_3760853481322708783.csv~Row26","1.0"
"90196673_0_5458330029110291950.csv~Row226","48456557_0_3760853481322708783.csv~Row402","1.0"
"90196673_0_5458330029110291950.csv~Row107","48456557_0_3760853481322708783.csv~Row326","1.0"
"90196673_0_5458330029110291950.csv~Row244","48456557_0_3760853481322708783.csv~Row53","1.0"
"90196673_0_5458330029110291950.csv~Row425","48456557_0_3760853481322708783.csv~Row113","0.75"
"90196673_0_5458330029110291950.csv~Row210","48456557_0_3760853481322708783.csv~Row59","1.0"
"90196673_0_5458330029110291950.csv~Row341","48456557_0_3760853481322708783.csv~Row112","1.0"
"90196673_0_5458330029110291950.csv~Row273","48456557_0_3760853481322708783.csv~Row310","1.0"
"90196673_0_5458330029110291950.csv~Row293","48456557_0_3760853481322708783.csv~Row395","1.0"
"90196673_0_5458330029110291950.csv~Row77","48456557_0_3760853481322708783.csv~Row215","1.0"
"90196673_0_5458330029110291950.csv~Row262","48456557_0_3760853481322708783.csv~Row262","1.0"
