69	1	2	3	5	6	1000	1002	3001	3003
"[""Stelli"", ""Stelli"", ""Stelli"", NaN, ""Stelli"", NaN]"	23.02.2011	[2111, NaN, 2417.0]	"[""GR"", NaN, ""GR""]"	L	Skitour	"[NaN, ""3.53 km""]"	[NaN, 289.6]		
"[""Gross Sch?rhorn"", ""Gross Sch\ufffdrhorn"", ""Gross Sch?rhorn"", NaN, ""Gross Sch\ufffdrhorn"", NaN]"	27.04.2008	[3295, NaN, 3295.0]	"[""UR"", NaN, ""UR""]"	ZS I	Skitour	"[NaN, ""61.01 km""]"	[NaN, 273.8]		
"[""Gross D?ssi"", ""Gross D\ufffdssi Piz Git"", ""Gross D?ssi"", NaN, ""Gross D\ufffdssi Piz Git"", NaN]"	01.02.2011	[3256, NaN, 3256.0]	"[""GR/UR"", NaN, ""GR/UR""]"	SS	Skitour	"[NaN, ""60.92 km""]"	[NaN, 270.1]		
"[""Clariden"", ""Clariden"", ""Clariden"", ""Clariden"", ""Clariden"", ""Clariden"", NaN]"	09.03.2003	[3268, 3268, 3268.0]	"[""GL/UR"", ""GL/UR"", ""GL/UR""]"	WS+	Skitour	"[""60.83 km"", ""57.98 km""]"	[175.1, 275.7]		
"[""Ch?pfenberg"", ""Ch\ufffdpfenberg"", ""Ch?pfenberg"", ""Ch\ufffdpfenberg"", NaN, NaN]"	15.06.2011	[1896, 1876, NaN]	"[""GL/SZ"", ""GL/SZ"", NaN]"	T5 I	Bergwandern	"[""31.96 km"", NaN]"	[158.1, NaN]		
"[""Piz Barghis Ringelspitz"", ""Ringelspitz"", ""Ringelspitz"", NaN, ""Piz Barghis Ringelspitz"", NaN]"	28.09.2003	[3247, NaN, 3247.0]	"[""GR/SG"", NaN, ""GR/SG""]"	ZS IV	Hochtour	"[NaN, ""25.33 km""]"	[NaN, 300.4]		
"[""Wetterhorn"", ""Wetterhorn"", ""Wetterhorn"", ""Wetterhorn"", NaN, NaN, ""Wetterhorn"", ""Wetterhorn""]"	08.05.2008	[3692, NaN, NaN]	"[""BE"", NaN, NaN]"	WS+	Skitour	[NaN, NaN]	[NaN, NaN]	"[""North America"", ""Europe""]"	"[""Colorado"", ""Switzerland""]"
"[""Finsteraarhorn"", ""Finsteraarhorn"", ""Finsteraarhorn"", NaN, NaN, ""Finsteraarhorn""]"	07.04.2007	[4274, NaN, NaN]	"[""BE/VS"", NaN, NaN]"	WS+ II	Alpine Skitour	[NaN, NaN]	[NaN, NaN]	Europe	Switzerland
"[""Palu"", ""Piz Pal?"", ""Piz Pal?"", NaN, NaN, ""Palu""]"	28.07.2003	[3905, NaN, NaN]	"[""GR/I"", NaN, NaN]"	ZS III	Hochtour	[NaN, NaN]	[NaN, NaN]	Europe	Switzerland
"[""Fletschhorn"", ""Fletschhorn"", ""Fletschhorn"", NaN, NaN, ""Fletschhorn""]"	18.07.2004	[3993, NaN, NaN]	"[""VS"", NaN, NaN]"	WS	Hochtour	[NaN, NaN]	[NaN, NaN]	Europe	Switzerland
"[""Plattenberg"", ""Plattenberg"", ""Plattenberg"", ""Plattenberg"", NaN, NaN]"	29.05.2011	[2082, 2082, NaN]	"[""GL/SZ"", ""GL/SZ"", NaN]"	T4	Bergwandern	"[""34.94 km"", NaN]"	[160.7, NaN]		
"[""Br\ufffdnnelistock"", ""Br?nnelistock"", ""Br?nnelistock"", ""Br?nnelistock"", ""Br?nnelistock"", ""Br\ufffdnnelistock"", NaN, NaN]"	"[""25.05.2011"", ""08.05.2011""]"	[2133, 1594, 2133, NaN]	"[""GL/SZ"", ""SZ"", ""GL/SZ"", NaN]"	"[""T4 I"", ""T1""]"	"[""Bergwandern"", ""Bergwandern""]"	"[""35.77 km"", NaN]"	[159.7, NaN]		
"[""Ruchen"", ""Ruchen"", ""Ruchen"", ""Ruchen"", NaN, NaN]"	26.06.2011	[2901, 2901, NaN]	"[""GL"", ""GL"", NaN]"	T5 II	Bergwandern	"[""44.22 km"", NaN]"	[160.5, NaN]		
"[""Vrenelisg?rtli"", ""B\ufffdchistock"", ""Gl\ufffdrnisch"", ""Vrenelisg?rtli"", ""B\ufffdchistock"", ""Gl\ufffdrnisch"", NaN, NaN]"	26.06.2011	[2904, 2914, 2915, NaN]	"[""GL"", ""GL"", ""GL"", NaN]"	T6 II	Bergwandern	"[""45.82 km"", ""45.42 km"", NaN]"	[162.4, 161.3, NaN]		
"[""Grand Combin"", ""Grand Combin de Grafeneire"", ""Grand Combin de Grafeneire"", NaN, NaN, ""Grand Combin""]"	16.08.2002	[4314, NaN, NaN]	"[""VS"", NaN, NaN]"	WS I	Hochtour	[NaN, NaN]	[NaN, NaN]	Europe	Switzerland/Italy
"[""Mutteristock"", ""Mutteristock"", ""Mutteristock"", ""Mutteristock"", NaN, NaN]"	05.02.2005	[2294, 2294, NaN]	"[""GL/SZ"", ""GL/SZ"", NaN]"	ZS+	Skitour	"[""38.89 km"", NaN]"	[164.7, NaN]		
"[""Bocktschingel"", ""Bocktschingel"", NaN, ""Bocktschingel"", ""Bocktschingel"", NaN]"		[NaN, 3079, 3079.0]	"[NaN, ""GL/UR"", ""GL/UR""]"			"[""60.17 km"", ""56.39 km""]"	[173.4, 276.7]		
"[""Bifertenstock Durschin"", ""Bifertenstock Durschin"", NaN, ""Bifertenstock Durschin"", ""Bifertenstock Durschin"", NaN]"		[NaN, 3419, 3419.0]	"[NaN, ""GL/GR"", ""GL/GR""]"			"[""65.76 km"", ""51.06 km""]"	[169.6, 271.9]		
"[""Dom"", ""Dom"", ""Dom"", NaN, NaN, ""Dom""]"	26.07.2002	[4545, NaN, NaN]	"[""VS"", NaN, NaN]"	WS- II	Hochtour	[NaN, NaN]	[NaN, NaN]	Europe	Switzerland/Italy
"[""Gross Aubrig"", ""Gross Aubrig"", ""Gross Aubrig"", ""Gross Aubrig"", NaN, NaN]"	04.12.2010	[1695, 1695, NaN]	"[""SZ"", ""SZ"", NaN]"	SS	Skitour	"[""31.13 km"", NaN]"	[169.8, NaN]		
"[""M?nch"", ""M\ufffdnch"", ""M?nch"", NaN, NaN, ""M\ufffdnch""]"	13.09.2002	[4107, NaN, NaN]	"[""BE/VS"", NaN, NaN]"	ZS- II	Hochtour	[NaN, NaN]	[NaN, NaN]	Europe	Switzerland
"[""Aletschhorn"", ""Aletschhorn"", ""Aletschhorn"", NaN, NaN, ""Aletschhorn""]"	20.05.2009	[4195, NaN, NaN]	"[""VS"", NaN, NaN]"	WS+ II	Alpine Skitour	[NaN, NaN]	[NaN, NaN]	Europe	Switzerland
"[""Jungfrau"", ""Jungfrau"", ""Jungfrau"", NaN, NaN, ""Jungfrau""]"	14.09.2002	[4158, NaN, NaN]	"[""BE/VS"", NaN, NaN]"	ZS II	Hochtour	[NaN, NaN]	[NaN, NaN]	Europe	Switzerland
"[""Lenspitze"", ""Lenzspitze"", ""Lenzspitze"", NaN, NaN, ""Lenspitze""]"	01.08.2011	[4294, NaN, NaN]	"[""VS"", NaN, NaN]"	S IV	Nordwand	[NaN, NaN]	[NaN, NaN]	Europe	Switzerland/Italy
"[""Dammastock"", ""Dammastock"", ""Dammastock"", NaN, NaN, ""Dammastock""]"	13.05.2011	[3630, NaN, NaN]	"[""UR/VS"", NaN, NaN]"	WS+	Skitour	[NaN, NaN]	[NaN, NaN]	Europe	Switzerland
"[""Fluebrig"", ""Diethelm Fluebrig"", ""Fluebrig"", ""Diethelm Fluebrig"", NaN, NaN]"	16.12.2007	[2093, 2093, NaN]	"[""SZ"", ""SZ"", NaN]"	SS+	Skitour	"[""36.61 km"", NaN]"	[171.1, NaN]		
"[""Zindlenspitz"", ""Zindlenspitz"", ""Zindlenspitz"", ""Zindlenspitz"", NaN, NaN]"	25.05.2011	[2097, 2097, NaN]	"[""GL/SZ"", ""GL/SZ"", NaN]"	T4 I	Bergwandern	"[""36.29 km"", NaN]"	[161.6, NaN]		
"[""Nadelhorn"", ""Nadelhorn"", ""Nadelhorn"", NaN, NaN, ""Nadelhorn""]"	07.09.2002	[4327, NaN, NaN]	"[""VS"", NaN, NaN]"	WS II	Hochtour	[NaN, NaN]	[NaN, NaN]	Europe	Switzerland/Italy
"[""Pfannenstock"", ""Pfannenstock"", ""Pfannenstock"", ""Pfannenstock"", NaN, NaN]"	16.01.2010	[2573, 2573, NaN]	"[""SZ"", ""SZ"", NaN]"	SS	Skitour	"[""47.92 km"", NaN]"	[170.3, NaN]		
"[""Druesberg"", ""Druesberg"", ""Druesberg"", ""Druesberg"", NaN, NaN]"	22.12.2007	[2282, 2282, NaN]	"[""SZ"", ""SZ"", NaN]"	SS	Skitour	"[""42.66 km"", NaN]"	[177.3, NaN]		
