58	3	59	64	66	3004	5000	5001	5003	5004	6000	6003	100006	100007	100011	100012
"[""Metropolitan Museum of Art"", ""Metropolitan Museum of Art"", ""Metropolitan Museum of Art"", ""Metropolitan Museum of Art"", ""Metropolitan Museum of Art"", ""Metropolitan Museum of Art"", ""Metropolitan Museum of Art"", ""Metropolitan Museum of Art"", ""Metropolitan Museum of Art"", ""Metropolitan Museum of Art"", ""Metropolitan Museum of Art"", ""Metropolitan Museum of Art"", NaN, NaN, NaN, NaN]"	New York	"[""-"", 2, 2, 2, 2.0, 2.0, 2.0, 2.0, 2.0]"	[362.548, 301109, 269920, 178838, 301109.0, 178838.0, 362.548, 269920.0]	"[""New York"", ""New York"", ""New York"", ""New York"", ""New York"", ""New York"", ""New York"", ""New York"", ""New York"", NaN, NaN, NaN]"	-				[NaN, NaN]	"[""USA"", NaN, NaN]"	14.0				
"[""Guggenheim Museum"", ""Guggenheim Museum"", ""Guggenheim Museum"", ""Guggenheim Museum"", ""Guggenheim Museum"", ""Guggenheim Museum"", ""Guggenheim Museum"", ""Guggenheim Museum"", ""Guggenheim Museum"", NaN, ""Guggenheim Museum"", NaN, NaN, NaN, NaN]"	New York	"[""-"", 5, 5, 7, 5.0, 7.0, 5.0, 5.0, NaN]"	[168.125, 142369, 127573, 67894, 142369.0, 67894.0, 168.125, 127573.0]	"[""New York"", ""New York"", ""New York"", ""New York"", ""New York"", ""New York"", ""New York"", ""New York"", ""New York"", NaN, NaN, NaN]"	-				[NaN, NaN]	[NaN, NaN, NaN]					
"[""Design Museum"", ""Design Museum"", ""Design Museum"", ""Design Museum"", ""Design Museum"", ""Design Museum"", ""Design Museum"", ""Design Museum"", NaN, NaN, NaN, NaN, NaN, NaN]"		"[""-"", 7, 7, 6, 7.0, 6.0, 7.0, 7.0, NaN]"	[88.17399999999999, 78717, 74398, 62866, 78717.0, 62866.0, 88.17399999999998, 74398.0]	"[""London"", ""London"", ""London"", ""London"", NaN, ""London"", ""London"", ""London"", ""London"", NaN, NaN, NaN]"	-				[NaN, NaN]	[NaN, NaN, NaN]					
"[""Museo del Prado"", ""City Museum"", ""Museo del Prado"", ""Museo Nacional del Prado"", ""Creation Museum"", ""City Museum"", ""Museo del Prado"", ""Museo del Prado"", ""Creation Museum"", ""Museo Nacional del Prado"", NaN, NaN, NaN, NaN, NaN]"		"[""+1"", 8, 11, 9, 8.0, 11.0, 8.0, 9.0, 15.0]"	[81.678, 68755, 37000, 55825, 68755.0, 37000.0, 81.67799999999998, 55825.0]	"[""Madrid"", ""St Louis"", ""Madrid"", ""Petersburg"", NaN, ""St Louis"", ""Madrid"", ""Madrid"", ""Petersburg"", NaN, NaN, NaN]"	+1				[NaN, NaN]	"[""Spain"", NaN, NaN]"	72.0				
"[""Tate Modern"", ""Tate Modern"", ""Tate Modern"", ""Tate Modern"", ""Tate Modern"", ""Tate Modern"", ""Tate Modern"", ""Tate Modern"", ""Tate Modern"", NaN, NaN, ""Tate Modern"", ""Tate Modern"", ""Tate Modern"", ""Tate Modern""]"		"[""-"", 6, 6, 5, 6.0, 5.0, 6.0, 6.0, NaN]"	[130.878, 114937, 103298, 66289, 114937.0, 66289.0, 130.878, 103298.0]	"[""London"", ""London"", ""London"", ""London"", NaN, ""London"", ""London"", ""London"", ""London"", ""London"", ""London"", ""London""]"	-	6.6	Museums/Art Galleries	4747537.0	"[5061172.0, ""5,304,710""]"	"[NaN, ""United Kingdom"", ""\u00a0United Kingdom""]"		5,319,000	Free	12,427	2000.0
"[""Acropolis Museum"", ""Acropolis Museum"", ""Acropolis Museum"", ""Acropolis Museum"", ""Acropolis Museum"", ""Acropolis Museum"", ""Acropolis Museum"", ""Acropolis Museum"", NaN, NaN, NaN, NaN, NaN, NaN]"		"[""-"", 3, 3, 3, 3.0, 3.0, 3.0, 3.0, NaN]"	[242.105, 225498, 215214, 159006, 225498.0, 159006.0, 242.105, 215214.0]	"[""Athen"", ""Athen"", ""Athen"", ""Athen"", NaN, ""Athen"", ""Athen"", ""Athen"", ""Athen"", NaN, NaN, NaN]"	-				[NaN, NaN]	[NaN, NaN, NaN]					
"[""Mus?e du Louvre"", ""Mus?e du Louvre"", ""Mus?e du Louvre"", ""Mus?e du Louvre"", ""Mus?e du Louvre"", ""Mus?e du Louvre"", ""Mus?e du Louvre"", ""Mus?e du Louvre"", ""Mus?e du Louvre"", ""Mus?e du Louvre"", NaN, NaN, NaN, NaN, NaN]"		"[""-"", 4, 4, 4, 4.0, 4.0, 4.0, 4.0, 3.0]"	[208.07, 150473, 132162, 98307, 150473.0, 98307.0, 208.07, 132162.0]	"[""Paris"", ""Paris"", ""Paris"", ""Paris"", NaN, ""Paris"", ""Paris"", ""Paris"", ""Paris"", NaN, NaN, NaN]"	-				[NaN, NaN]	"[""France"", NaN, NaN]"	34.0				
"[""MoMA The Museum of Modern Art"", ""MoMA The Museum of Modern Art"", ""Museum of Modern Art (MoMA)"", ""MoMA The Museum of Modern Art"", ""Museum of Modern Art (MoMA)"", ""MoMA The Museum of Modern Art"", ""MoMA The Museum of Modern Art"", ""MoMA The Museum of Modern Art"", ""MoMA The Museum of Modern Art"", ""MoMA The Museum of Modern Art"", ""Museum of Modern Art (MoMA)"", ""Museum of Modern Art (MoMA)"", NaN, NaN, NaN, NaN]"	New York	"[""-"", 1, 1, 1, 1.0, 1.0, 1.0, 1.0, 1.0]"	[605.7919999999999, 542187, 504079, 353230, 542187.0, 353230.0, 605.7919999999998, 504079.0]	"[""New York"", ""New York"", ""New York"", ""New York"", ""New York"", ""New York"", ""New York"", ""New York"", ""New York"", NaN, NaN, NaN]"	-				[NaN, NaN]	"[""USA"", NaN, NaN]"	11.0				
"[""Centre Pompidou"", ""Centre Pompidou"", ""Centre Pompidou"", ""Museo del Prado"", ""Centre Pompidou"", ""Centre Pompidou"", ""Centre Pompidou"", ""Museo del Prado"", NaN, NaN, NaN, NaN, NaN, NaN]"		"[""-"", 10, 13, 10, 10.0, 13.0, 10.0, 10.0, NaN]"	[72.59899999999999, 59343, 32353, 55790, 59343.0, 32353.0, 72.59899999999998, 55790.0]	"[""Paris"", ""Paris"", ""Paris"", ""Madrid"", NaN, ""Paris"", ""Paris"", ""Paris"", ""Madrid"", NaN, NaN, NaN]"	-				[NaN, NaN]	[NaN, NaN, NaN]					
"[""Museo del Prado"", ""City Museum"", ""City Museum"", ""Museo del Prado"", ""City Museum"", NaN, ""City Museum"", NaN, NaN, NaN, NaN, NaN, NaN]"		[9, 8, 8, 9.0, 8.0, NaN, 8.0, NaN]	[63036, 63286, 39960, 63036.0, 39960.0, NaN, 63286.0]	"[""Madrid"", ""St Louis"", ""St Louis"", NaN, ""Madrid"", ""St Louis"", NaN, ""St Louis"", NaN, NaN, NaN]"					[NaN, NaN]	[NaN, NaN, NaN]					
