film;director;newCol0;newCol1;newCol2;newCol3;newCol4;newCol5;newCol6;newCol7;newCol8;newCol9;newCol10;newCol11;newCol12;newCol13;newCol14;newCol
the big lebowski;joel coen;;joel coen;;joel coen;joel coen;;;;;;;joel coen;;;;joel coen
eternal sunshine of the spotless mind;michel gondry;;;;;michel gondry;;michel gondry;;michel gondry;;;;;michel gondry;;michel gondry
braveheart;mel gibson;;mel gibson;;;;;;;mel gibson;;;mel gibson;mel gibson;;;mel gibson
brazil;terry gilliam;;terry gilliam;;;terry gilliam;;;;;;;terry gilliam;terry gilliam;;;terry gilliam
gran torino;eastwood, clint;;;;;clint eastwood;;;;clint eastwood;;clint eastwood;;;;;clint eastwood
planet of the apes;franklin j. schaffner;franklin j. schaffner;;;;;;;franklin j. schaffner;franklin j. schaffner;;;;;;franklin j. schaffner;franklin j. schaffner
avatar;james cameron;;;;;;;;;james cameron;;james cameron;;;;;james cameron
toy story 2;john lasseter;;;;john lasseter;;john lasseter;;;;;;;;john lasseter;john lasseter;john lasseter
v for vendetta;mcteigue, james;;;;;;;;;;;;;;;;
ben-hur;william wyler;william wyler;;;;;;;;;;;william wyler;william wyler;;william wyler;william wyler
the departed;scorcese, martin;;;;;martin scorsese;;;;martin scorsese;;;;;;;martin scorsese
batman begins;christopher nolan;;;;;christopher nolan;;;;christopher nolan;;;christopher nolan;;;;christopher nolan
unforgiven;clint eastwood;;clint eastwood;;;;clint eastwood;;;clint eastwood;;;;clint eastwood;;;clint eastwood
the bridge on the river kwai;david lean;;david lean;;;;;;;;;;david lean;david lean;;david lean;david lean
being john malkovich;spike jonze;spike jonze;;;spike jonze;;;;;;;;spike jonze;;;;spike jonze
spider-man;sam raimi;;;;;;sam raimi;;;;;;;;sam raimi;sam raimi;sam raimi
pi;darren aronofsky;;;;;;;;darren aronofsky;;aronofsky;;;;;;darren aronofsky
high noon;zinnemann, fred;fred zinnemann;;fred zinnemann;;;;;;;;;;fred zinnemann;;;fred zinnemann
manhattan;woody allen;woody allen;;;woody allen;;;;woody allen;;;;;woody allen;;;woody allen
se7en;fincher;;;;;;;;;;fincher;;;;;;fincher
good will hunting;van sant, gus;gus van sant;;gus van sant;;gus van sant;;;;;;;;;;;gus van sant
nashville;robert altman;;;;;;;;robert altman;robert altman;;;;robert altman;robert altman;;robert altman
the searchers;john ford;;john ford;;;;john ford;;;;;;;john ford;;john ford;john ford
modern times;charles chaplin;charles chaplin;;;charles chaplin;;;;charles chaplin;;;;;charles chaplin;;;charles chaplin
finding nemo;andrew stanton, lee unkrich;;;;andrew stanton;;;andrew stanton;;;;;;;;andrew stanton;andrew stanton
das boot;wolfgang petersen;wolfgang petersen;;;;;;;;;peterson;;wolfgang petersen;;;;wolfgang petersen
the rules of the game;jean renoir;jean renoir;;;jean renoir;;;;jean renoir;;;;;jean renoir;;;jean renoir
ferris bueller's day off;john hughes;john hughes;;;john hughes;john hughes;;john hughes;;;;;;;;;john hughes
network;sidney lumet;sidney lumet;;;;;;;sidney lumet;;;;;;;;sidney lumet
the lion king;roger allers and rob minkoff;;;roger allers and rob minkoff;roger allers and rob minkoff;;;;;;;;;;roger allers and rob minkoff;roger allers and rob minkoff;roger allers and rob minkoff
the godfather: part ii;francis ford coppola;;francis ford coppola;francis ford coppola;;;;;;francis ford coppola;;;;francis ford coppola;;;francis ford coppola
the lives of others;florian henckel von donnersmarck;;;;;;;;;florian henckel von donnersmarck;;;;;;;florian henckel von donnersmarck
shakespeare in love;john madden;;;;john madden;;john madden;;;;;;;;john madden;;john madden
shrek;andrew adamson and vicky jenson;;;;andrew adamson and vicky jenson;;andrew adamson and vicky jenson;;;;;;;;andrew adamson and vicky jenson;andrew adamson and vicky jenson;andrew adamson and vicky jenson
the night of the hunter;charles laughton;charles laughton;;;;;;;charles laughton;charles laughton;;;;charles laughton;;;charles laughton
edward scissorhands;tim burton;tim burton;;;;tim burton;;tim burton;;;;;;;;;tim burton
e.t. the extra-terrestrial;steven spielberg;;steven spielberg;;;;;steven spielberg;;steven spielberg;;;;steven spielberg;;steven spielberg;steven spielberg
ed wood;tim burton;tim burton;;;;;;tim burton;;;;;;;;;tim burton
the seven samurai;akira kurosawa;;akira kurosawa;;;;akira kurosawa;;;;;;;akira kurosawa;;akira kurosawa;akira kurosawa
dances with wolves;kevin costner;kevin costner;;;;;;kevin costner;;;;;;;;kevin costner;kevin costner
the shawshank redemption;frank darabont;;frank darabont;;;;frank darabont;;;frank darabont;;;;frank darabont;;;frank darabont
the silence of the lambs;jonathan demme;;jonathan demme;;;;jonathan demme;;;jonathan demme;;;;;;;jonathan demme
to kill a mockingbird;robert mulligan;;robert mulligan;;;;robert mulligan;;;;;;;robert mulligan;;;robert mulligan
gone with the wind;victor fleming;;victor fleming;victor fleming;;victor fleming;;;;;;;;victor fleming;;;victor fleming
titanic;james cameron;;james cameron;;;;james cameron;;;;;;;james cameron;;james cameron;james cameron
the gold rush;charles chaplin;;;charles chaplin;charles chaplin;;;;;;;;;;charles chaplin;charles chaplin;charles chaplin
some like it hot;wilder;;billy wilder;;billy wilder;;billy wilder;;;;;;;;;;billy wilder
glengarry glen ross;james foley;;;james foley;;james foley;;;;;;james foley;;;;;james foley
the good, the bad and the ugly;sergio leone;;;;;;;;;;;;;;;;
the best years of our lives;wyler, william;william wyler;;;;;;;;;;;william wyler;william wyler;;;william wyler
chinatown;roman polanski;;roman polanski;;;;;roman polanski;;roman polanski;;;;roman polanski;;;roman polanski
city lights;charles chaplin;charles chaplin;;;charles chaplin;;;charles chaplin;;;;;;charles chaplin;;;charles chaplin
clerks.;kevin smith;kevin smith;;;kevin smith;kevin smith;;kevin smith;;;;;;;;;kevin smith
slumdog millionaire;danny boyle, loveleen tandan;;;;;;;;;danny boyle;;danny boyle;;;;;danny boyle
the treasure of the sierra madre;john huston;john huston;;;;;john huston;;;;;;;john huston;;john huston;john huston
minority report;steven spielberg;;;;;;;;steven spielberg;;;;;;steven spielberg;;steven spielberg
crouching tiger, hidden dragon;ang lee;;;;;;;;;;;;;;;;
indiana jones and the last crusade;steven spielberg;steven spielberg;;steven spielberg;;;;;;steven spielberg;;;;;;steven spielberg;steven spielberg
easy rider;hopper;;;;;;;dennis hopper;;dennis hopper;hopper;;;;dennis hopper;;dennis hopper
raiders of the lost ark;steven spielberg;;steven spielberg;;;;;;steven spielberg;steven spielberg;;;;;;steven spielberg;steven spielberg
am?lie;jean-pierre jeunet;jean-pierre jeunet;;;jean-pierre jeunet;;;;;jean-pierre jeunet;;;jean-pierre jeunet;;;;jean-pierre jeunet
lost in translation;sofia coppola;;;sofia coppola;;sofia coppola;;;;;;;;;sofia coppola;;sofia coppola
lawrence of arabia;david lean;;david lean;david lean;;;;;;;;;;david lean;;david lean;david lean
raising arizona;joel coen;joel coen;;;;;;;joel coen;;;;;;;joel coen;joel coen
2001: a space odyssey;stanley kubrick;;stanley kubrick;;;stanley kubrick;;;;;;;stanley kubrick;;;stanley kubrick;stanley kubrick
a christmas story;clark, bob;;;;;bob clark;;bob clark;;;;;;;bob clark;;bob clark
the apartment;billy wilder;billy wilder;;;billy wilder;;;;;;;;billy wilder;billy wilder;;;billy wilder
sullivan's travels;preston sturges;;;;;;;;;;;;;;;;
jurassic park;steven spielberg;;steven spielberg;steven spielberg;;;;;;;;;;;;steven spielberg;steven spielberg
l.a. confidential;curtis hanson;;curtis hanson;curtis hanson;;;;;;curtis hanson;;;;curtis hanson;;;curtis hanson
apocalypse now;francis ford coppola;;francis ford coppola;;;;;;;francis ford coppola;;;francis ford coppola;francis ford coppola;;;francis ford coppola
raging bull;martin scorsese;;martin scorsese;;;;;;martin scorsese;;;;;martin scorsese;;;martin scorsese
requiem for a dream;darren aronofsky;darren aronofsky;;;;;;;darren aronofsky;darren aronofsky;;;;;;;darren aronofsky
it happened one night;frank capra;frank capra;;frank capra;frank capra;;;;;;;;;;;;frank capra
west side story;jerome robbins and robert wise;jerome robbins and robert wise;;;;;jerome robbins and robert wise;;;;;;;jerome robbins and robert wise;;;jerome robbins and robert wise
american graffiti;george lucas;;;;george lucas;;;;;;;;george lucas;;george lucas;;george lucas
american history x;tony kaye;tony kaye;;;;tony kaye;;;;tony kaye;;;tony kaye;;;;tony kaye
it's a wonderful life;frank capra;;;;;;;;;;;;;;;;
la dolce vita;federico fellini;federico fellini;;;federico fellini;;;federico fellini;;;;;;federico fellini;;;federico fellini
the african queen;john huston;john huston;;;;;;;;;;;john huston;john huston;;john huston;john huston
glory;edward zwick;edward zwick;;edward zwick;;;;;;;;;;;;;edward zwick
the road warrior;george miller;;;;;;;;george miller;;;;;;george miller;george miller;george miller
the general;clyde bruckman and buster keaton;clyde bruckman and buster keaton;;clyde bruckman and buster keaton;clyde bruckman and buster keaton;;;;;;;;;;;;clyde bruckman and buster keaton
alien;ridley scott;;ridley scott;;;;;;;ridley scott;;;ridley scott;;;;ridley scott
on the waterfront;elia kazan;;elia kazan;;;;;;elia kazan;;;;;elia kazan;;;elia kazan
terminator 2: judgment day;james cameron;;james cameron;;;;james cameron;;;james cameron;;;;;;;james cameron
casino;martin scorsese;martin scorsese;;;;;;martin scorsese;;;;;;;;;martin scorsese
three kings;david o. russell;;;;;;david o. russell;;;;;;;;;david o. russell;david o. russell
airplane!;jerry zucker, jim abrahams, and david zucker;jerry zucker, jim abrahams, and david zucker;;;jerry zucker, jim abrahams, and david zucker;;;;;;;;jerry zucker, jim abrahams, and david zucker;;;;jerry zucker, jim abrahams, and david zucker
wall-e;stanton, andrew;;;;;;;;;andrew stanton;;andrew stanton;;;;andrew stanton;andrew stanton
aguirre: the wrath of god;werner herzog;;;;;;;;;;;;werner herzog;;werner herzog;werner herzog;werner herzog
juno;jason reitman;;;;;jason reitman;;;;;;;;;;;jason reitman
all quiet on the western front;lewis milestone;;;;;;;;;;;;lewis milestone;lewis milestone;lewis milestone;;lewis milestone
state of play;macdonald, kevin;;;;;;;;;;;kevin macdonald;;;;;kevin macdonald
once upon a time in the west;sergio leone;;sergio leone;;;;;;sergio leone;sergio leone;;;;;;;sergio leone
deliverance;john boorman;;;;;;;john boorman;;;;;;;john boorman;john boorman;john boorman
tootsie;sydney pollack;;;;sydney pollack;;sydney pollack;;;;;;;;sydney pollack;;sydney pollack
breakfast at tiffany's;blake edwards;;;;;;;;;;;;;;;;
sunset blvd.;billy wilder;;billy wilder;;;;billy wilder;;;;;;;billy wilder;;;billy wilder
breathless;jean-luc godard;jean-luc godard;;;;;;;;;;;jean-luc godard;jean-luc godard;;;jean-luc godard
jerry maguire;cameron crowe;;;cameron crowe;cameron crowe;;;;;;;;;;cameron crowe;;cameron crowe
the 400 blows;fran?ois truffaut;fran?ois truffaut;;;;;;;;;;;fran?ois truffaut;fran?ois truffaut;;;fran?ois truffaut
punch-drunk love;paul thomas anderson;;;;;;;;paul thomas anderson;;;;;;;;paul thomas anderson
brief encounter;lean, david;;;;;;;;;;;;david lean;david lean;;;david lean
tokyo story;yasujiro ozu;;;;;;yasujiro ozu;;;;;;;yasujiro ozu;yasujiro ozu;;yasujiro ozu
bringing up baby;howard hawks;howard hawks;;;howard hawks;;;;;;;;howard hawks;;;;howard hawks
thank you for smoking;jason reitman;;;;;;;;;;;;;;;;
knocked up;judd apatow;;;;;judd apatow;;;;;;;;;;;judd apatow
all about eve;joseph l. mankiewicz;;joseph l. mankiewicz;;;;;;;;;;joseph l. mankiewicz;joseph l. mankiewicz;;;joseph l. mankiewicz
fear and loathing in las vegas;terry gilliam;;;;;terry gilliam;;terry gilliam;;;;;;;;;terry gilliam
quantum of solace;marc forster;;;;;;;;;;;marc forster;;;;;marc forster
one flew over the cuckoo's nest;milos forman;;milos forman;;;;;;milos forman;milos forman;;;;milos forman;;;milos forman
one flew over the cuckoo's nest;milos forman;;;;;;;;;;;;;;;;
goldfinger;guy hamilton;;;guy hamilton;;;;;;;;;;;guy hamilton;guy hamilton;guy hamilton
butch cassidy and the sundance kid;george roy hill;;george roy hill;;;;;;;;;;george roy hill;;;george roy hill;george roy hill
dead poets society;peter weir;;;;;peter weir;;peter weir;;;;;;;peter weir;;peter weir
ghostbusters;ivan reitman;ivan reitman;;ivan reitman;;;;;;;;;;;;ivan reitman;ivan reitman
chasing amy;kevin smith;;;;;kevin smith;;kevin smith;;;;;;;kevin smith;;kevin smith
rash?mon;akira kurosawa;akira kurosawa;;;;;;;akira kurosawa;;;;;akira kurosawa;;;akira kurosawa
singin' in the rain;stanley donen and gene kelly;;stanley donen and gene kelly;;stanley donen and gene kelly;;stanley donen and gene kelly;;;;;;;;;;stanley donen and gene kelly
close encounters of the third kind;steven spielberg;;steven spielberg;;;;;steven spielberg;;;;;;steven spielberg;;;steven spielberg
the seventh seal;ingmar bergman;ingmar bergman;;;;;ingmar bergman;;;;;;;ingmar bergman;;;ingmar bergman
rain man;barry levinson;barry levinson;;;;;;;barry levinson;;;;;;;;barry levinson
a streetcar named desire;elia kazan;elia kazan;;;;;elia kazan;;;;;;;elia kazan;;;elia kazan
the hurt locker;kathryn bigelow;;;;;;;;;;;kathryn bigelow;;;;;kathryn bigelow
the third man;reed, carol;;carol reed;;;;carol reed;;;;;;;;;;carol reed
dan in real life;peter hedges;;;;;;;;;;;;;;;;
frankenstein;james whale;;;;;;;james whale;;;;;;james whale;james whale;;james whale
the incredibles;brad bird;;;;;;;;;brad bird;;;;;;brad bird;brad bird
wild strawberries;ingmar bergman;;;;;;ingmar bergman;;;;;;;;ingmar bergman;;ingmar bergman
forgetting sarah marshall;stoller, nicholas;;;;;;;;;;;nick stoller;;;;;nick stoller
stranger than fiction;marc forster;;;;;;;;;;;;;;;;
the insider;michael mann;;;michael mann;;;;;;;;;;;michael mann;;michael mann
seven;david fincher;;david fincher;;;;david fincher;;;;;;;david fincher;;;david fincher
no country for old men;ethan coen, joel coen;;;;;;;;;ethan coen;;;;;;;ethan coen
the sting;george roy hill;george roy hill;;;george roy hill;;george roy hill;;;;;;;;;;george roy hill
crash;paul haggis;;;;;paul haggis;;;;;;;;;;;paul haggis
the sixth sense;m. night shyamalan;;m. night shyamalan;;;;m. night shyamalan;;;;;;;;;;m. night shyamalan
willy wonka & the chocolate factory;mel stuart;;;;;;mel stuart;;;;;;;;mel stuart;;mel stuart
a hard day's night;richard lester;;;;;;;;;;;;;;;;
sin city;robert rodriguez, frank miller;;;;;;frank miller and robert rodriguez;;;frank miller;;;;;;;frank miller and robert rodriguez
the grand illusion;jean renoir;;;jean renoir;;;;;;;;;;jean renoir;jean renoir;;jean renoir
the usual suspects;bryan singer;;bryan singer;;;;bryan singer;;;bryan singer;;;;;;;bryan singer
the grapes of wrath;john ford;john ford;;john ford;;;;;;;;;;john ford;;;john ford
solaris;andrei tarkovsky;;;;;;andrei tarkovsky;;;;;;;;;andrei tarkovsky;andrei tarkovsky
bowling for columbine;michael moore;;;;;michael moore;;;;;;;michael moore;;;;michael moore
dazed and confused;richard linklater;;;;richard linklater;;;richard linklater;;;;;;;;;richard linklater
there will be blood;paul thomas anderson;;;;;;;;;;;;;;;;
the king's speech;tom hooper;;;;;;;;;;;;;;;;
life of brian;terry jones;terry jones;;terry jones;terry jones;;;;;;;;;;;;terry jones
children of paradise;marcel carn?;;;;;;;marcel carn?;;;;;;marcel carn?;marcel carn?;;marcel carn?
the great escape;john sturges;john sturges;;john sturges;;;;;;;;;;;;john sturges;john sturges
the wizard of oz;victor fleming;;victor fleming;;;;victor fleming;;;;;;;;;victor fleming;victor fleming
the green mile;frank darabont;frank darabont;;frank darabont;;;;;;frank darabont;;;;;;;frank darabont
cinema paradiso;giuseppe tornatore;;;;giuseppe tornatore;;;giuseppe tornatore;;;;;;;giuseppe tornatore;;giuseppe tornatore
when harry met sally?;rob reiner;;;;rob reiner;;rob reiner;;;;;;;;rob reiner;;rob reiner
gandhi;richard attenborough;;;richard attenborough;;richard attenborough;;;;;;;;;richard attenborough;;richard attenborough
city of god;fernando meirelles;fernando meirelles;;;;;;fernando meirelles;;fernando meirelles;;;;;;;fernando meirelles
the hangover;todd phillips;;;;;;;;;todd phillips;;todd phillips;;;;;todd phillips
who framed roger rabbit;robert zemeckis;;;;robert zemeckis;;robert zemeckis;;;;;;;;robert zemeckis;;robert zemeckis
talladega nights: the ballad of ricky bobby;adam mckay;;;;;;;;;;;;;;;;
a few good men;rob reiner;;;;;rob reiner;;rob reiner;;;;;;;rob reiner;;rob reiner
the social network;david fincher;;;;;;;;;david fincher;;david fincher;;;;;david fincher
the sound of music;robert wise;robert wise;;;;;robert wise;;;;;;;robert wise;;;robert wise
the fugitive;andrew davis;andrew davis;;;;;;andrew davis;;;;;;;;andrew davis;andrew davis
up;pete docter, bob peterson;;;;;;;;;pete docter;;pete docter & bob peterson;;;;;pete docter
pretty woman;garry marshall;;;;garry marshall;;;;;garry marshall;;;;;;;garry marshall
pirates of the caribbean: the curse of the black pearl;gore verbinski;;;;;;;;gore verbinski;;;;;;;gore verbinski;gore verbinski
stand by me;rob reiner;rob reiner;;;;;rob reiner;;;;;;;;;rob reiner;rob reiner
the breakfast club;john hughes;;;;john hughes;;;;;;;;john hughes;;john hughes;;john hughes
young frankenstein;mel brooks;mel brooks;;;mel brooks;;mel brooks;;;;;;;;;;mel brooks
return of the jedi;richard marquand;;richard marquand;;;;;;richard marquand;;;;;;;richard marquand;richard marquand
unbreakable;shyamalan;;;;;;m. night shyamalan;;;;shyamalan;;;;;;m. night shyamalan
animal house;john landis;;;;john landis;;;;;;;;john landis;;john landis;;john landis
doubt;john patrick shanley;;;;;john patrick shanley;;;;;;john patrick shanley;;;;;john patrick shanley
the french connection;william friedkin;william friedkin;;;;;;william friedkin;;;;william friedkin;;;;;william friedkin
the philadelphia story;george cukor;george cukor;;;george cukor;;;;george cukor;;;;;;;;george cukor
persona;ingmar bergman;ingmar bergman;;;;;;;ingmar bergman;;;;;ingmar bergman;;;ingmar bergman
high fidelity;stephen frears;;;stephen frears;;stephen frears;;;;;;;;;;;stephen frears
big fish;tim burton;;;;;tim burton;;;;;;;tim burton;;;;tim burton
the conversation;francis ford coppola;francis ford coppola;;;;;;francis ford coppola;;;;;;francis ford coppola;;;francis ford coppola
spirited away;hayao miyazaki;;;;;;hayao miyazaki;;;;;;;;hayao miyazaki;hayao miyazaki;hayao miyazaki
the pianist;roman polanski;;;;;;;;roman polanski;;;;;;roman polanski;;roman polanski
barry lyndon;stanley kubrick;;;;;;;;;;kubrick;;stanley kubrick;;stanley kubrick;;kubrick
up in the air;reitman, jason;;;;;;;;;;;jason reitman;;;;;jason reitman
jfk;stone, oliver;;oliver stone;oliver stone;;;;;;;;;;;;;oliver stone
iron man;jon favreau;;;;;;;;;;;jon favreau;;;;;jon favreau
the battleship potemkin;sergei m. eisenstein;sergei m. eisenstein;;;;;;;;;;;sergei m. eisenstein;sergei m. eisenstein;;;sergei m. eisenstein
the bicycle thief;vittorio de sica;vittorio de sica;;;;;;;;;;;vittorio de sica;vittorio de sica;;;vittorio de sica
sunrise;f.w. murnau;;;;;;f.w. murnau;;;;;;;f.w. murnau;f.w. murnau;;f.w. murnau
inglourious basterds;quentin tarantino;;;;;;;;;quentin tarantino;;quentin tarantino;;;;;quentin tarantino
indiana jones and the temple of doom;steven spielberg;;;steven spielberg;;;;;;;;;;;steven spielberg;steven spielberg;steven spielberg
independence day;roland emmerich;;;roland emmerich;;;;;;roland emmerich;;;;;;roland emmerich;roland emmerich
austin powers: international man of mystery;jay roach;;;;jay roach;;;;;;roach;;jay roach;;;jay roach;jay roach
vertigo;alfred hitchcock;;alfred hitchcock;;;;alfred hitchcock;;;;;;;;;;alfred hitchcock
election;payne;;;;;;;alexander payne;;;;;;;;;alexander payne
rosemary's baby;roman polanski;;;;;;;;;;;;;;;;
platoon;oliver stone;;oliver stone;;;;;;oliver stone;;;;;oliver stone;;;oliver stone
babe;chris noonan;;;;chris noonan;;;;;;;;chris noonan;;;chris noonan;chris noonan
armageddon;michael bay;;;;;;;;;michael bay;;;michael bay;;;;michael bay
mr. smith goes to washington;frank capra;frank capra;;;;;;;frank capra;;;;;frank capra;;;frank capra
duck soup;leo mccarey;leo mccarey;;;leo mccarey;;;leo mccarey;;;;;;;;;leo mccarey
the blues brothers;john landis;;;;john landis;;;;;;;;john landis;;john landis;;john landis
star wars;george lucas;;george lucas;;;;george lucas;;;;;;;;;george lucas;george lucas
eyes wide shut;stanley kubrick;;;;;;;stanley kubrick;;;;;;;stanley kubrick;;stanley kubrick
hot fuzz;wright, edgar;;;;;;;;;;;;;;;;
yojimbo;kurosawa;;;;;;akira kurosawa;;;;;;;;akira kurosawa;;akira kurosawa
rear window;alfred hitchcock;;alfred hitchcock;;;;;;alfred hitchcock;;;;;;;;alfred hitchcock
paths of glory;stanley kubrick;stanley kubrick;;;;;;;stanley kubrick;;;;;stanley kubrick;;;stanley kubrick
the empire strikes back;irvin kershner;;irvin kershner;;;;;irvin kershner;;;;;;;;irvin kershner;irvin kershner
superman;richard donner;;;;;;richard donner;;;;;;;;richard donner;richard donner;richard donner
district 9;neill blomkamp;;;;;;;;;neill blomkamp;;neill blomkamp;;;;;neill blomkamp
patton;franklin j. schaffner;franklin j. schaffner;;;;;;;franklin j. schaffner;;;;;;;;franklin j. schaffner
psycho;alfred hitchcock;;alfred hitchcock;;;;;;alfred hitchcock;alfred hitchcock;;;;;;;alfred hitchcock
do the right thing;spike lee;spike lee;;;;;;spike lee;;;;;;spike lee;;;spike lee
